Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,71,119,45,Chaotic Good,"[ 13, 15, 07, 10, 09, 12 ]",11.0,Commoner,309
Dwarf: ,Male,68,163,51,Chaotic Neutral,"[ 03, 12, 09, 08, 09, 05 ]",7.67,Commoner,368
Dwarf: ,Female,63,123,48,Neutral Evil,"[ 12, 13, 09, 12, 12, 07 ]",10.83,Commoner,392
Dwarf: ,Male,66,154,45,True Neutral,"[ 04, 12, 03, 12, 08, 08 ]",7.83,Commoner,327
Dwarf: ,Female,64,123,46,True Neutral,"[ 12, 04, 09, 10, 12, 14 ]",10.17,Commoner,368
Dwarf: ,Male,67,151,45,Chaotic Neutral,"[ 06, 05, 08, 08, 06, 10 ]",7.17,Commoner,443
Dwarf: ,Male,57,151,45,Lawful Neutral,"[ 08, 10, 08, 08, 10, 08 ]",8.67,Commoner,275
Dwarf: ,Female,61,114,50,Lawful Evil,"[ 09, 09, 09, 06, 13, 10 ]",9.33,Commoner,317
Dwarf: ,Female,74,122,47,Chaotic Good,"[ 06, 13, 05, 05, 09, 13 ]",8.5,Commoner,413
Dwarf: ,Female,69,129,42,True Neutral,"[ 09, 12, 08, 11, 05, 07 ]",8.67,Commoner,315
Dwarf: ,Female,62,124,46,Chaotic Good,"[ 11, 04, 08, 08, 13, 11 ]",9.17,Commoner,329
Dwarf: ,Female,66,126,47,True Neutral,"[ 08, 08, 13, 08, 11, 12 ]",10.0,Commoner,298
Dwarf: ,Male,70,156,45,Neutral Evil,"[ 07, 13, 08, 07, 08, 06 ]",8.17,Commoner,300
Half-Elf: ,Male,16,139,68,Neutral Evil,"[ 13, 14, 14, 11, 10, 10 ]",12.0,Elite,152
Dwarf: ,Female,66,126,48,Chaotic Evil,"[ 09, 10, 09, 12, 09, 12 ]",10.17,Commoner,314
Dwarf: ,Female,66,120,46,True Neutral,"[ 06, 05, 06, 10, 07, 09 ]",7.17,Commoner,326
Dwarf: ,Male,63,137,48,Lawful Good,"[ 05, 06, 13, 12, 05, 11 ]",8.67,Commoner,351
Dwarf: ,Male,70,164,47,Chaotic Evil,"[ 07, 14, 06, 07, 09, 06 ]",8.17,Commoner,376
Dwarf: ,Female,65,128,50,Lawful Neutral,"[ 07, 09, 08, 08, 14, 13 ]",9.83,Commoner,347
Dwarf: ,Female,74,125,51,Neutral Good,"[ 08, 07, 07, 07, 12, 08 ]",8.17,Commoner,388
Dwarf: ,Female,78,129,48,Lawful Neutral,"[ 12, 13, 09, 14, 10, 07 ]",10.83,Commoner,419
Dwarf: ,Female,72,132,44,True Neutral,"[ 08, 08, 10, 16, 11, 11 ]",10.67,Commoner,253
Halfling: ,Female,28,60,41,True Neutral,"[ 14, 12, 16, 12, 11, 13 ]",13.0,Adventurer,173
Dwarf: ,Female,63,127,46,Chaotic Good,"[ 04, 09, 07, 06, 13, 12 ]",8.5,Commoner,396
Gnome: ,Female,81,79,42,Lawful Good,"[ 10, 13, 14, 10, 13, 14 ]",12.33,Elite,340
Dwarf: ,Female,58,126,44,True Neutral,"[ 08, 10, 06, 06, 05, 08 ]",7.17,Commoner,368
Dwarf: ,Male,66,160,49,Lawful Evil,"[ 10, 11, 08, 05, 12, 07 ]",8.83,Commoner,289
Dwarf: ,Female,67,125,46,Neutral Evil,"[ 07, 09, 08, 08, 07, 08 ]",7.83,Commoner,397
Dwarf: ,Female,72,125,45,Chaotic Neutral,"[ 05, 12, 09, 06, 09, 12 ]",8.83,Commoner,351
Gnome: ,Female,74,79,37,Neutral Evil,"[ 17, 12, 13, 08, 11, 09 ]",11.67,Elite,372
Dwarf: ,Female,80,118,42,Lawful Evil,"[ 09, 08, 07, 12, 09, 13 ]",9.67,Commoner,368
Dwarf: ,Male,64,152,46,Lawful Good,"[ 12, 07, 08, 04, 13, 09 ]",8.83,Commoner,344
Dwarf: ,Male,67,157,48,Lawful Neutral,"[ 15, 07, 08, 08, 05, 08 ]",8.5,Commoner,356
Dwarf: ,Female,76,129,51,Lawful Evil,"[ 11, 11, 13, 04, 07, 13 ]",9.83,Commoner,377
Dwarf: ,Male,76,148,48,Neutral Good,"[ 11, 12, 11, 09, 13, 08 ]",10.67,Commoner,358
Dwarf: ,Female,63,130,47,Chaotic Neutral,"[ 08, 06, 09, 09, 05, 10 ]",7.83,Commoner,343
Dwarf: ,Male,65,157,52,Chaotic Neutral,"[ 11, 07, 04, 08, 13, 12 ]",9.17,Commoner,409
Dwarf: ,Male,64,150,51,Chaotic Neutral,"[ 11, 09, 08, 09, 13, 12 ]",10.33,Commoner,347
Dwarf: ,Male,70,153,46,Lawful Neutral,"[ 12, 05, 09, 13, 11, 12 ]",10.33,Commoner,395
Dwarf: ,Female,67,129,47,Chaotic Evil,"[ 06, 04, 08, 08, 09, 11 ]",7.67,Commoner,284
Dwarf: ,Male,66,153,45,Neutral Good,"[ 08, 10, 09, 08, 07, 11 ]",8.83,Commoner,330
Dwarf: ,Female,63,128,47,Chaotic Neutral,"[ 11, 08, 06, 11, 08, 06 ]",8.33,Commoner,322
Dwarf: ,Male,72,143,53,Lawful Neutral,"[ 10, 10, 10, 09, 09, 08 ]",9.33,Commoner,322
Dwarf: ,Male,69,148,51,Lawful Neutral,"[ 13, 10, 08, 07, 04, 10 ]",8.67,Commoner,365
Dwarf: ,Male,68,156,49,Chaotic Neutral,"[ 17, 15, 05, 09, 06, 04 ]",9.33,Commoner,355
Dwarf: ,Female,71,124,46,Lawful Neutral,"[ 05, 09, 07, 08, 09, 05 ]",7.17,Commoner,321
Dwarf: ,Female,63,112,43,Chaotic Evil,"[ 11, 13, 11, 10, 04, 05 ]",9.0,Commoner,382
Dwarf: ,Male,63,155,51,Lawful Good,"[ 14, 10, 10, 10, 09, 13 ]",11.0,Commoner,357
Dwarf: ,Male,50,151,44,Neutral Good,"[ 10, 10, 18, 08, 10, 13 ]",11.5,Elite,301
Dwarf: ,Female,74,120,49,Chaotic Neutral,"[ 06, 05, 05, 13, 14, 18 ]",10.17,Commoner,373
Dwarf: ,Female,68,123,46,Lawful Evil,"[ 09, 13, 09, 09, 10, 08 ]",9.67,Commoner,322
Dwarf: ,Male,62,156,52,Chaotic Neutral,"[ 07, 09, 07, 06, 11, 10 ]",8.33,Commoner,387
Dwarf: ,Female,61,130,45,Lawful Evil,"[ 11, 08, 10, 09, 10, 09 ]",9.5,Commoner,336
Dwarf: ,Male,64,157,49,Neutral Good,"[ 12, 11, 08, 07, 09, 13 ]",10.0,Commoner,325
Dwarf: ,Male,58,153,47,Neutral Evil,"[ 07, 11, 08, 09, 07, 10 ]",8.67,Commoner,331
Dwarf: ,Female,73,118,42,Chaotic Good,"[ 12, 07, 15, 10, 08, 07 ]",9.83,Commoner,398
