Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,62,152,50,Lawful Neutral,"[ 11, 10, 10, 11, 12, 08 ]",10.33,Commoner,407
Dwarf: ,Female,61,128,46,Chaotic Neutral,"[ 13, 10, 12, 06, 15, 08 ]",10.67,Commoner,414
Dwarf: ,Female,75,123,42,Chaotic Good,"[ 10, 07, 05, 06, 09, 07 ]",7.33,Commoner,354
Dwarf: ,Female,68,129,48,Lawful Good,"[ 09, 13, 07, 10, 08, 07 ]",9.0,Commoner,425
Dwarf: ,Female,62,129,42,Lawful Evil,"[ 10, 09, 07, 07, 13, 08 ]",9.0,Commoner,311
Dwarf: ,Male,76,146,51,Lawful Good,"[ 08, 11, 07, 04, 09, 08 ]",7.83,Commoner,281
Dwarf: ,Male,68,155,51,Chaotic Evil,"[ 12, 06, 04, 10, 10, 07 ]",8.17,Commoner,357
Dwarf: ,Female,61,119,49,Chaotic Evil,"[ 14, 08, 11, 12, 11, 11 ]",11.17,Commoner,352
Dwarf: ,Female,62,133,44,Neutral Evil,"[ 10, 07, 10, 07, 11, 05 ]",8.33,Commoner,387
Dwarf: ,Male,66,157,47,Lawful Neutral,"[ 09, 11, 10, 10, 09, 06 ]",9.17,Commoner,354
Dwarf: ,Female,76,123,45,Chaotic Neutral,"[ 04, 07, 10, 08, 10, 11 ]",8.33,Commoner,380
Dwarf: ,Male,73,148,49,Lawful Good,"[ 13, 14, 14, 12, 09, 03 ]",10.83,Commoner,327
Dwarf: ,Female,63,136,51,Lawful Neutral,"[ 09, 07, 12, 08, 09, 07 ]",8.67,Commoner,321
Dwarf: ,Male,70,158,48,Chaotic Good,"[ 11, 08, 10, 07, 10, 12 ]",9.67,Commoner,294
Dwarf: ,Male,75,158,49,Lawful Neutral,"[ 10, 05, 11, 07, 12, 14 ]",9.83,Commoner,299
Halfling: ,Female,27,60,44,Neutral Good,"[ 13, 13, 14, 14, 10, 13 ]",12.83,Adventurer,157
Dwarf: ,Male,69,154,44,Lawful Evil,"[ 07, 06, 05, 09, 10, 14 ]",8.5,Commoner,376
Dwarf: ,Male,69,150,50,Neutral Good,"[ 14, 10, 13, 10, 08, 08 ]",10.5,Commoner,271
Dwarf: ,Female,73,119,48,Lawful Neutral,"[ 06, 11, 10, 08, 05, 11 ]",8.5,Commoner,325
Dwarf: ,Male,68,155,50,Chaotic Evil,"[ 10, 07, 07, 03, 07, 09 ]",7.17,Commoner,360
Dwarf: ,Male,67,149,49,Chaotic Neutral,"[ 12, 08, 07, 09, 09, 14 ]",9.83,Commoner,316
Dwarf: ,Female,66,126,46,True Neutral,"[ 06, 10, 14, 13, 05, 09 ]",9.5,Commoner,346
Dwarf: ,Male,71,154,53,Lawful Good,"[ 14, 13, 08, 05, 11, 12 ]",10.5,Commoner,377
Dwarf: ,Male,69,148,53,Lawful Good,"[ 12, 11, 08, 08, 13, 07 ]",9.83,Commoner,403
Dwarf: ,Female,66,122,46,Chaotic Neutral,"[ 07, 05, 10, 11, 08, 13 ]",9.0,Commoner,311
Dwarf: ,Female,67,132,47,Chaotic Good,"[ 10, 09, 09, 08, 10, 12 ]",9.67,Commoner,317
Halfling: ,Female,29,57,45,Chaotic Evil,"[ 13, 17, 15, 13, 08, 09 ]",12.5,Elite,196
Dwarf: ,Male,71,150,44,Chaotic Evil,"[ 12, 09, 05, 07, 07, 11 ]",8.5,Commoner,346
Dwarf: ,Female,67,132,47,Neutral Good,"[ 06, 11, 07, 08, 09, 11 ]",8.67,Commoner,267
Dwarf: ,Male,68,147,50,Chaotic Evil,"[ 10, 09, 10, 12, 09, 09 ]",9.83,Commoner,382
Dwarf: ,Male,71,163,49,Chaotic Neutral,"[ 05, 08, 11, 11, 07, 12 ]",9.0,Commoner,365
Dwarf: ,Male,71,158,46,Chaotic Evil,"[ 08, 09, 09, 11, 10, 12 ]",9.83,Commoner,405
Dwarf: ,Male,67,160,51,Chaotic Evil,"[ 13, 06, 13, 06, 11, 09 ]",9.67,Commoner,411
Dwarf: ,Female,71,134,48,Neutral Good,"[ 13, 10, 08, 10, 16, 11 ]",11.33,Elite,309
Dwarf: ,Female,69,124,49,True Neutral,"[ 07, 08, 04, 04, 10, 04 ]",6.17,Commoner,334
Dwarf: ,Male,67,153,52,Chaotic Good,"[ 04, 09, 09, 08, 08, 11 ]",8.17,Commoner,407
Dwarf: ,Female,62,131,44,True Neutral,"[ 07, 09, 11, 10, 08, 05 ]",8.33,Commoner,432
Dwarf: ,Male,61,149,46,Chaotic Neutral,"[ 10, 10, 10, 11, 12, 13 ]",11.0,Commoner,346
Dwarf: ,Male,70,156,52,Chaotic Neutral,"[ 07, 12, 11, 09, 09, 08 ]",9.33,Commoner,314
Dwarf: ,Female,58,118,48,Chaotic Neutral,"[ 08, 08, 06, 11, 10, 04 ]",7.83,Commoner,365
Dwarf: ,Female,65,131,51,Lawful Evil,"[ 08, 08, 11, 10, 07, 06 ]",8.33,Commoner,318
Halfling: ,Male,29,62,41,Chaotic Neutral,"[ 17, 17, 12, 11, 13, 04 ]",12.33,Elite,124
Dwarf: ,Female,80,126,44,Lawful Good,"[ 06, 07, 05, 12, 13, 14 ]",9.5,Commoner,373
Dwarf: ,Male,74,149,50,Chaotic Evil,"[ 09, 10, 12, 06, 08, 08 ]",8.83,Commoner,357
Dwarf: ,Female,70,129,48,Lawful Evil,"[ 11, 08, 06, 10, 08, 08 ]",8.5,Commoner,418
Dwarf: ,Male,62,160,47,Neutral Evil,"[ 15, 11, 11, 08, 08, 03 ]",9.33,Commoner,398
Dwarf: ,Male,79,147,47,Neutral Evil,"[ 08, 13, 12, 05, 08, 14 ]",10.0,Commoner,363
Dwarf: ,Female,63,123,43,Chaotic Good,"[ 06, 08, 11, 06, 09, 05 ]",7.5,Commoner,339
Dwarf: ,Male,65,153,44,Neutral Evil,"[ 08, 07, 07, 08, 10, 07 ]",7.83,Commoner,274
Dwarf: ,Male,68,151,47,Neutral Evil,"[ 08, 06, 06, 08, 13, 12 ]",8.83,Commoner,400
Dwarf: ,Male,69,158,46,Chaotic Evil,"[ 08, 11, 11, 08, 09, 07 ]",9.0,Commoner,364
Halfling: ,Female,30,64,46,Neutral Evil,"[ 04, 09, 13, 18, 15, 11 ]",11.67,Elite,125
Dwarf: ,Male,73,162,44,Neutral Evil,"[ 11, 07, 07, 05, 09, 06 ]",7.5,Commoner,354
Dwarf: ,Male,77,148,44,Chaotic Good,"[ 09, 12, 08, 14, 04, 09 ]",9.33,Commoner,350
Dwarf: ,Male,63,163,53,Neutral Good,"[ 08, 08, 13, 12, 11, 13 ]",10.83,Commoner,337
Dwarf: ,Female,69,126,47,Lawful Neutral,"[ 10, 11, 09, 10, 06, 11 ]",9.5,Commoner,309
Dwarf: ,Male,57,151,52,Chaotic Good,"[ 04, 09, 07, 10, 09, 10 ]",8.17,Commoner,358
Dwarf: ,Female,63,126,46,Lawful Evil,"[ 07, 08, 09, 11, 09, 13 ]",9.5,Commoner,354
Dwarf: ,Female,79,122,51,Neutral Good,"[ 06, 06, 09, 09, 08, 11 ]",8.17,Commoner,270
Dwarf: ,Female,67,135,48,Chaotic Evil,"[ 12, 12, 05, 11, 10, 10 ]",10.0,Commoner,414
Dwarf: ,Male,61,150,53,True Neutral,"[ 10, 11, 11, 08, 06, 09 ]",9.17,Commoner,336
Dwarf: ,Male,70,149,45,True Neutral,"[ 12, 10, 10, 08, 07, 14 ]",10.17,Commoner,372
Dwarf: ,Female,64,132,42,Lawful Evil,"[ 11, 08, 05, 07, 08, 10 ]",8.17,Commoner,405
Dwarf: ,Male,68,149,51,Chaotic Good,"[ 09, 06, 10, 08, 09, 10 ]",8.67,Commoner,381
Dwarf: ,Male,80,152,45,Neutral Evil,"[ 11, 13, 13, 07, 13, 09 ]",11.0,Commoner,322
Dwarf: ,Female,76,128,48,Lawful Neutral,"[ 09, 10, 10, 12, 04, 06 ]",8.5,Commoner,348
Dwarf: ,Male,63,146,53,Chaotic Neutral,"[ 06, 13, 13, 07, 13, 11 ]",10.5,Commoner,429
Dwarf: ,Male,68,151,45,Chaotic Neutral,"[ 09, 10, 04, 11, 13, 10 ]",9.5,Commoner,380
Dwarf: ,Male,63,156,46,Lawful Evil,"[ 14, 11, 04, 06, 08, 09 ]",8.67,Commoner,399
Dwarf: ,Female,70,139,48,Chaotic Neutral,"[ 08, 07, 07, 11, 07, 08 ]",8.0,Commoner,369
Dwarf: ,Male,64,148,49,Lawful Good,"[ 13, 10, 08, 09, 13, 10 ]",10.5,Commoner,380
Dwarf: ,Male,68,146,44,Lawful Evil,"[ 10, 07, 09, 06, 08, 08 ]",8.0,Commoner,383
Dwarf: ,Female,71,126,45,Lawful Neutral,"[ 11, 04, 11, 05, 08, 09 ]",8.0,Commoner,336
Dwarf: ,Male,77,139,50,Chaotic Neutral,"[ 08, 13, 09, 08, 06, 12 ]",9.33,Commoner,315
Dwarf: ,Male,63,156,47,Chaotic Good,"[ 08, 09, 11, 07, 15, 11 ]",10.17,Commoner,368
Dwarf: ,Female,76,131,46,Lawful Neutral,"[ 11, 11, 06, 06, 07, 05 ]",7.67,Commoner,402
Dwarf: ,Female,65,134,49,Neutral Good,"[ 07, 07, 07, 11, 10, 09 ]",8.5,Commoner,363
Dwarf: ,Male,75,162,50,Lawful Good,"[ 11, 09, 07, 04, 07, 14 ]",8.67,Commoner,376
Dwarf: ,Female,60,128,51,Lawful Evil,"[ 10, 11, 10, 09, 05, 07 ]",8.67,Commoner,332
Dwarf: ,Male,67,154,47,Chaotic Good,"[ 09, 06, 10, 11, 10, 13 ]",9.83,Commoner,298
Dwarf: ,Female,82,137,48,Lawful Neutral,"[ 06, 13, 11, 05, 07, 10 ]",8.67,Commoner,306
Dwarf: ,Female,67,129,46,True Neutral,"[ 12, 10, 07, 14, 14, 12 ]",11.5,Elite,387
Dwarf: ,Female,62,123,42,Chaotic Evil,"[ 08, 12, 18, 13, 09, 08 ]",11.33,Elite,402
Dwarf: ,Female,69,124,45,Chaotic Neutral,"[ 07, 06, 06, 06, 11, 11 ]",7.83,Commoner,378
Dwarf: ,Female,66,114,45,True Neutral,"[ 09, 09, 06, 07, 03, 10 ]",7.33,Commoner,293
Dwarf: ,Male,75,156,49,Chaotic Evil,"[ 07, 07, 08, 07, 10, 08 ]",7.83,Commoner,389
Dwarf: ,Male,65,150,52,Neutral Good,"[ 05, 10, 09, 10, 08, 06 ]",8.0,Commoner,344
Dwarf: ,Male,65,144,47,Neutral Good,"[ 05, 15, 11, 14, 04, 08 ]",9.5,Commoner,414
Dwarf: ,Male,62,144,48,Lawful Good,"[ 07, 10, 07, 11, 09, 07 ]",8.5,Commoner,320
Dwarf: ,Male,69,139,44,Chaotic Good,"[ 04, 18, 14, 09, 10, 14 ]",11.5,Elite,375
Dwarf: ,Male,76,159,46,Lawful Neutral,"[ 09, 08, 04, 07, 06, 11 ]",7.5,Commoner,298
Dwarf: ,Male,72,154,52,Lawful Evil,"[ 09, 10, 07, 13, 14, 08 ]",10.17,Commoner,298
Dwarf: ,Female,74,123,43,Chaotic Neutral,"[ 07, 10, 13, 12, 08, 07 ]",9.5,Commoner,401
