Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,75,129,46,Neutral Good,"[ 08, 14, 04, 06, 11, 05 ]",8.0,Commoner,424
Dwarf: ,Male,57,150,53,Lawful Evil,"[ 12, 12, 07, 08, 05, 08 ]",8.67,Commoner,401
Dwarf: ,Male,79,151,53,Lawful Good,"[ 14, 09, 06, 08, 06, 11 ]",9.0,Commoner,291
Dwarf: ,Male,62,145,46,Lawful Neutral,"[ 09, 11, 07, 09, 09, 10 ]",9.17,Commoner,343
Dwarf: ,Female,78,129,46,Chaotic Good,"[ 13, 13, 08, 08, 11, 10 ]",10.5,Commoner,368
Dwarf: ,Female,54,124,45,Neutral Good,"[ 07, 08, 10, 06, 04, 09 ]",7.33,Commoner,434
Dwarf: ,Male,68,158,48,Lawful Evil,"[ 04, 08, 06, 07, 04, 11 ]",6.67,Commoner,372
Dwarf: ,Female,77,118,51,Chaotic Neutral,"[ 08, 10, 09, 05, 08, 09 ]",8.17,Commoner,324
Dwarf: ,Male,57,162,51,True Neutral,"[ 07, 08, 10, 13, 11, 12 ]",10.17,Commoner,331
Half-Elf: ,Male,19,119,64,Neutral Good,"[ 12, 11, 14, 12, 11, 13 ]",12.17,Elite,177
Dwarf: ,Female,72,117,48,Chaotic Good,"[ 05, 09, 13, 10, 11, 08 ]",9.33,Commoner,411
Dwarf: ,Male,70,152,53,Lawful Evil,"[ 09, 11, 08, 08, 05, 12 ]",8.83,Commoner,359
Dwarf: ,Male,68,159,44,Chaotic Good,"[ 06, 11, 06, 06, 08, 12 ]",8.17,Commoner,290
Dwarf: ,Male,72,143,46,Neutral Evil,"[ 09, 11, 11, 11, 09, 11 ]",10.33,Commoner,325
Dwarf: ,Female,83,126,46,Lawful Good,"[ 12, 08, 05, 05, 10, 18 ]",9.67,Commoner,319
Dwarf: ,Female,67,135,51,Neutral Good,"[ 08, 12, 08, 04, 10, 14 ]",9.33,Commoner,311
Dwarf: ,Male,66,152,45,Neutral Good,"[ 08, 08, 06, 09, 08, 09 ]",8.0,Commoner,323
Dwarf: ,Female,67,125,51,Neutral Good,"[ 07, 07, 09, 09, 11, 10 ]",8.83,Commoner,276
Dwarf: ,Female,75,130,46,Chaotic Neutral,"[ 10, 14, 10, 07, 08, 10 ]",9.83,Commoner,275
Dwarf: ,Male,68,157,53,Neutral Good,"[ 09, 10, 10, 12, 07, 08 ]",9.33,Commoner,340
Dwarf: ,Female,69,116,49,Lawful Evil,"[ 13, 08, 09, 10, 09, 14 ]",10.5,Commoner,393
Dwarf: ,Male,62,145,53,Chaotic Neutral,"[ 13, 10, 05, 10, 11, 15 ]",10.67,Commoner,350
Dwarf: ,Male,77,150,53,Lawful Evil,"[ 10, 10, 07, 08, 08, 08 ]",8.5,Commoner,323
Dwarf: ,Female,70,137,43,True Neutral,"[ 12, 14, 09, 10, 06, 10 ]",10.17,Commoner,290
Dwarf: ,Female,76,139,45,Chaotic Good,"[ 08, 11, 09, 10, 10, 11 ]",9.83,Commoner,421
Dwarf: ,Female,60,127,44,Neutral Evil,"[ 14, 13, 12, 14, 10, 13 ]",12.67,Elite,266
