Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,63,122,42,Chaotic Evil,"[ 10, 09, 13, 10, 06, 13 ]",10.17,Commoner,410
Dwarf: ,Male,59,145,53,Chaotic Evil,"[ 09, 06, 10, 05, 09, 10 ]",8.17,Commoner,361
Dwarf: ,Female,69,121,50,True Neutral,"[ 11, 06, 08, 06, 10, 10 ]",8.5,Commoner,345
Dwarf: ,Female,63,117,47,True Neutral,"[ 12, 10, 08, 09, 09, 06 ]",9.0,Commoner,273
Halfling: ,Male,28,60,47,Chaotic Good,"[ 13, 14, 10, 13, 14, 17 ]",13.5,Adventurer,161
Dwarf: ,Female,74,117,45,Chaotic Good,"[ 11, 08, 10, 08, 07, 09 ]",8.83,Commoner,355
Dwarf: ,Male,76,148,44,Chaotic Neutral,"[ 12, 13, 05, 05, 06, 12 ]",8.83,Commoner,377
Dwarf: ,Female,60,132,50,Lawful Evil,"[ 07, 11, 09, 11, 09, 08 ]",9.17,Commoner,315
Dwarf: ,Male,66,149,49,Lawful Good,"[ 12, 12, 12, 07, 13, 11 ]",11.17,Commoner,310
Dwarf: ,Female,67,125,45,Lawful Neutral,"[ 08, 05, 08, 14, 13, 13 ]",10.17,Commoner,373
Dwarf: ,Male,69,153,47,Lawful Evil,"[ 05, 08, 08, 12, 13, 11 ]",9.5,Commoner,330
Dwarf: ,Male,52,140,47,Neutral Evil,"[ 14, 06, 14, 05, 07, 12 ]",9.67,Commoner,292
Dwarf: ,Male,73,149,47,Chaotic Evil,"[ 09, 09, 13, 03, 10, 04 ]",8.0,Commoner,440
Dwarf: ,Female,60,129,51,Chaotic Evil,"[ 06, 08, 11, 16, 09, 10 ]",10.0,Commoner,304
Dwarf: ,Male,68,149,48,Lawful Good,"[ 06, 11, 10, 07, 10, 10 ]",9.0,Commoner,363
Dwarf: ,Female,67,121,49,Chaotic Neutral,"[ 07, 08, 06, 09, 10, 09 ]",8.17,Commoner,299
Dwarf: ,Male,75,159,53,Lawful Neutral,"[ 07, 07, 07, 09, 05, 06 ]",6.83,Commoner,331
Dwarf: ,Male,64,148,46,Chaotic Good,"[ 09, 11, 12, 07, 09, 09 ]",9.5,Commoner,330
Dwarf: ,Male,66,155,45,True Neutral,"[ 07, 10, 07, 12, 09, 07 ]",8.67,Commoner,356
Dwarf: ,Female,67,130,42,Lawful Good,"[ 08, 12, 07, 13, 12, 12 ]",10.67,Commoner,312
Dwarf: ,Female,68,128,48,Lawful Evil,"[ 09, 14, 13, 08, 12, 10 ]",11.0,Commoner,367
Dwarf: ,Female,54,131,51,Neutral Evil,"[ 08, 13, 09, 08, 10, 10 ]",9.67,Commoner,415
Dwarf: ,Male,71,151,51,Lawful Evil,"[ 09, 05, 10, 07, 11, 08 ]",8.33,Commoner,281
Dwarf: ,Female,72,129,42,Chaotic Evil,"[ 13, 09, 06, 09, 10, 09 ]",9.33,Commoner,376
Dwarf: ,Male,75,156,48,Neutral Good,"[ 13, 08, 09, 03, 14, 10 ]",9.5,Commoner,296
Dwarf: ,Female,70,121,44,Lawful Good,"[ 10, 07, 08, 07, 13, 09 ]",9.0,Commoner,276
Dwarf: ,Male,73,145,45,Chaotic Good,"[ 06, 09, 13, 13, 10, 08 ]",9.83,Commoner,371
Dwarf: ,Female,60,121,47,Lawful Good,"[ 09, 10, 06, 06, 12, 07 ]",8.33,Commoner,295
Dwarf: ,Male,69,155,50,Chaotic Good,"[ 11, 08, 09, 10, 13, 14 ]",10.83,Commoner,349
Dwarf: ,Female,60,124,51,Lawful Evil,"[ 08, 10, 09, 13, 08, 09 ]",9.5,Commoner,363
Dwarf: ,Female,68,128,50,True Neutral,"[ 07, 09, 09, 12, 09, 10 ]",9.33,Commoner,314
Dwarf: ,Male,77,153,50,Lawful Neutral,"[ 08, 08, 08, 06, 05, 10 ]",7.5,Commoner,409
Elf: ,Male,115,106,63,Lawful Good,"[ 12, 12, 18, 11, 04, 17 ]",12.33,Elite,545
Dwarf: ,Female,59,126,46,Neutral Good,"[ 11, 09, 08, 12, 09, 07 ]",9.33,Commoner,440
Dwarf: ,Female,75,125,42,Lawful Neutral,"[ 11, 06, 05, 10, 08, 10 ]",8.33,Commoner,300
Dwarf: ,Male,65,147,46,True Neutral,"[ 11, 10, 07, 08, 08, 09 ]",8.83,Commoner,285
Gnome: ,Male,77,84,41,Chaotic Neutral,"[ 12, 13, 10, 10, 10, 15 ]",11.67,Elite,296
Dwarf: ,Female,56,135,45,Neutral Evil,"[ 08, 06, 06, 04, 12, 09 ]",7.5,Commoner,343
Dwarf: ,Female,63,122,50,Chaotic Good,"[ 10, 10, 09, 12, 14, 09 ]",10.67,Commoner,404
Dwarf: ,Female,64,121,45,Chaotic Evil,"[ 10, 11, 09, 09, 08, 11 ]",9.67,Commoner,345
