Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,69,150,46,True Neutral,"[ 15, 11, 09, 09, 14, 09 ]",11.17,Commoner,411
Dwarf: ,Female,61,129,43,Chaotic Evil,"[ 14, 11, 10, 10, 11, 11 ]",11.17,Commoner,402
Dwarf: ,Female,81,130,50,True Neutral,"[ 08, 05, 09, 07, 13, 10 ]",8.67,Commoner,370
Dwarf: ,Female,71,125,46,Chaotic Neutral,"[ 10, 12, 08, 06, 04, 13 ]",8.83,Commoner,356
Dwarf: ,Female,55,129,51,Lawful Neutral,"[ 10, 10, 11, 05, 08, 09 ]",8.83,Commoner,301
Dwarf: ,Female,75,127,46,Chaotic Good,"[ 06, 08, 12, 13, 12, 14 ]",10.83,Commoner,408
Dwarf: ,Male,77,164,48,Lawful Good,"[ 10, 05, 07, 08, 09, 06 ]",7.5,Commoner,439
Dwarf: ,Male,63,156,53,Lawful Evil,"[ 05, 08, 12, 11, 06, 07 ]",8.17,Commoner,322
Dwarf: ,Male,76,151,53,Chaotic Evil,"[ 07, 13, 05, 07, 10, 06 ]",8.0,Commoner,298
Dwarf: ,Male,55,156,49,Chaotic Evil,"[ 08, 10, 10, 12, 13, 08 ]",10.17,Commoner,303
Dwarf: ,Female,61,139,49,Neutral Good,"[ 12, 10, 05, 06, 13, 07 ]",8.83,Commoner,342
Dwarf: ,Female,70,126,43,Lawful Neutral,"[ 08, 06, 13, 09, 08, 10 ]",9.0,Commoner,368
Dwarf: ,Male,69,145,48,True Neutral,"[ 03, 11, 11, 09, 13, 12 ]",9.83,Commoner,391
Dwarf: ,Male,62,155,53,Chaotic Good,"[ 07, 05, 13, 12, 11, 09 ]",9.5,Commoner,325
Dwarf: ,Female,73,125,44,Chaotic Good,"[ 11, 06, 04, 04, 05, 06 ]",6.0,Commoner,393
Dwarf: ,Female,69,121,48,Neutral Good,"[ 12, 07, 09, 07, 07, 11 ]",8.83,Commoner,379
Dwarf: ,Male,74,144,44,Neutral Evil,"[ 12, 08, 13, 10, 10, 10 ]",10.5,Commoner,393
Dwarf: ,Female,62,129,47,Chaotic Evil,"[ 09, 11, 07, 12, 12, 06 ]",9.5,Commoner,271
Dwarf: ,Female,76,129,42,Chaotic Good,"[ 04, 08, 06, 11, 13, 10 ]",8.67,Commoner,283
Dwarf: ,Female,74,144,42,Lawful Neutral,"[ 06, 12, 08, 09, 17, 13 ]",10.83,Commoner,366
Dwarf: ,Female,69,126,48,Chaotic Evil,"[ 10, 12, 12, 09, 09, 07 ]",9.83,Commoner,414
Dwarf: ,Female,64,136,43,Neutral Good,"[ 05, 15, 12, 12, 13, 14 ]",11.83,Elite,329
Dwarf: ,Male,63,151,51,Chaotic Neutral,"[ 15, 12, 04, 09, 09, 07 ]",9.33,Commoner,362
Dwarf: ,Male,59,149,51,Chaotic Neutral,"[ 13, 06, 10, 08, 12, 10 ]",9.83,Commoner,365
