Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,66,132,51,Lawful Good,"[ 12, 09, 08, 09, 11, 11 ]",10.0,Commoner,354
Dwarf: ,Male,57,163,47,Chaotic Evil,"[ 12, 10, 12, 11, 06, 07 ]",9.67,Commoner,327
Dwarf: ,Female,59,138,47,True Neutral,"[ 12, 10, 07, 07, 12, 08 ]",9.33,Commoner,358
Halfling: ,Male,28,64,37,Lawful Neutral,"[ 15, 08, 15, 10, 09, 16 ]",12.17,Elite,129
Dwarf: ,Female,57,131,42,Neutral Evil,"[ 14, 12, 09, 07, 12, 11 ]",10.83,Commoner,394
Dwarf: ,Male,58,148,46,Chaotic Neutral,"[ 09, 06, 14, 14, 13, 08 ]",10.67,Commoner,362
Dwarf: ,Male,71,144,49,Lawful Evil,"[ 10, 10, 11, 10, 12, 05 ]",9.67,Commoner,385
Dwarf: ,Female,65,128,44,Lawful Neutral,"[ 09, 05, 08, 10, 10, 08 ]",8.33,Commoner,434
Dwarf: ,Female,63,119,44,True Neutral,"[ 11, 16, 04, 14, 06, 09 ]",10.0,Commoner,318
Dwarf: ,Male,61,148,50,Lawful Neutral,"[ 14, 11, 06, 09, 13, 12 ]",10.83,Commoner,395
Dwarf: ,Female,69,134,44,Neutral Evil,"[ 09, 08, 09, 06, 15, 08 ]",9.17,Commoner,360
Dwarf: ,Female,71,126,49,Chaotic Neutral,"[ 12, 10, 12, 05, 10, 10 ]",9.83,Commoner,376
Dwarf: ,Female,62,119,51,Lawful Neutral,"[ 08, 09, 04, 05, 08, 12 ]",7.67,Commoner,320
Dwarf: ,Male,68,161,53,Lawful Neutral,"[ 09, 07, 11, 09, 05, 06 ]",7.83,Commoner,395
Dwarf: ,Male,59,151,47,Lawful Good,"[ 08, 10, 08, 09, 10, 13 ]",9.67,Commoner,347
Dwarf: ,Male,57,159,50,Neutral Evil,"[ 03, 10, 13, 06, 11, 08 ]",8.5,Commoner,413
Dwarf: ,Male,61,161,44,Lawful Neutral,"[ 11, 12, 10, 05, 12, 06 ]",9.33,Commoner,331
Dwarf: ,Male,82,153,53,Lawful Neutral,"[ 11, 09, 11, 08, 13, 09 ]",10.17,Commoner,280
Dwarf: ,Male,68,153,46,Neutral Good,"[ 07, 05, 12, 04, 09, 10 ]",7.83,Commoner,319
Elf: ,Male,116,113,63,True Neutral,"[ 10, 15, 15, 14, 13, 15 ]",13.67,Adventurer,582
Dwarf: ,Male,59,151,53,Neutral Good,"[ 08, 07, 08, 09, 10, 09 ]",8.5,Commoner,382
Dwarf: ,Male,61,159,46,Lawful Neutral,"[ 17, 12, 14, 12, 05, 08 ]",11.33,Elite,418
Dwarf: ,Male,65,145,49,Lawful Neutral,"[ 08, 04, 05, 15, 09, 11 ]",8.67,Commoner,311
Dwarf: ,Female,65,123,46,Neutral Evil,"[ 07, 11, 11, 08, 06, 13 ]",9.33,Commoner,375
Dwarf: ,Female,64,127,47,Chaotic Neutral,"[ 11, 10, 10, 05, 13, 09 ]",9.67,Commoner,309
Dwarf: ,Female,76,118,42,Lawful Good,"[ 07, 05, 06, 10, 13, 11 ]",8.67,Commoner,323
Dwarf: ,Male,75,151,51,True Neutral,"[ 10, 12, 08, 13, 08, 07 ]",9.67,Commoner,366
Dwarf: ,Female,50,127,42,Lawful Good,"[ 05, 05, 10, 15, 16, 06 ]",9.5,Commoner,293
Dwarf: ,Male,52,157,47,True Neutral,"[ 10, 11, 09, 12, 06, 13 ]",10.17,Commoner,355
Dwarf: ,Male,80,145,47,True Neutral,"[ 12, 10, 11, 07, 06, 15 ]",10.17,Commoner,331
Dwarf: ,Female,56,121,45,Neutral Evil,"[ 08, 07, 11, 14, 09, 12 ]",10.17,Commoner,341
Dwarf: ,Male,66,151,46,Chaotic Neutral,"[ 12, 05, 17, 18, 07, 09 ]",11.33,Elite,375
Dwarf: ,Male,74,138,49,Chaotic Good,"[ 07, 18, 14, 03, 05, 05 ]",8.67,Commoner,362
Dwarf: ,Male,69,158,53,Neutral Evil,"[ 14, 14, 06, 09, 13, 09 ]",10.83,Commoner,350
Dwarf: ,Male,58,166,47,Lawful Good,"[ 09, 12, 09, 09, 05, 08 ]",8.67,Commoner,264
Dwarf: ,Female,73,130,51,Lawful Good,"[ 10, 07, 03, 05, 05, 07 ]",6.17,Commoner,312
Dwarf: ,Female,73,127,44,Lawful Neutral,"[ 10, 05, 07, 11, 09, 10 ]",8.67,Commoner,370
Dwarf: ,Female,66,115,47,True Neutral,"[ 09, 10, 04, 08, 12, 07 ]",8.33,Commoner,379
Dwarf: ,Male,64,156,51,Chaotic Good,"[ 10, 15, 11, 14, 09, 10 ]",11.5,Elite,313
Dwarf: ,Male,63,155,49,Lawful Neutral,"[ 17, 12, 10, 16, 12, 11 ]",13.0,Adventurer,322
Dwarf: ,Male,74,138,44,True Neutral,"[ 04, 08, 11, 07, 05, 08 ]",7.17,Commoner,314
Dwarf: ,Female,62,130,43,Neutral Good,"[ 13, 05, 10, 12, 09, 11 ]",10.0,Commoner,422
Dwarf: ,Female,73,117,49,Neutral Evil,"[ 09, 10, 10, 07, 07, 13 ]",9.33,Commoner,351
Dwarf: ,Female,74,124,51,Neutral Good,"[ 04, 11, 12, 06, 10, 07 ]",8.33,Commoner,408
Dwarf: ,Female,56,127,43,Chaotic Evil,"[ 14, 05, 11, 13, 09, 12 ]",10.67,Commoner,334
Dwarf: ,Male,69,150,52,Chaotic Evil,"[ 13, 05, 09, 10, 13, 11 ]",10.17,Commoner,335
Dwarf: ,Female,65,122,48,Lawful Neutral,"[ 09, 06, 10, 10, 08, 07 ]",8.33,Commoner,351
Dwarf: ,Male,75,151,45,Lawful Good,"[ 11, 10, 08, 09, 11, 14 ]",10.5,Commoner,380
Dwarf: ,Female,65,131,43,Chaotic Good,"[ 06, 07, 10, 08, 13, 10 ]",9.0,Commoner,332
Dwarf: ,Female,63,135,44,Chaotic Evil,"[ 05, 06, 07, 11, 11, 08 ]",8.0,Commoner,350
