Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,74,149,53,Chaotic Evil,"[ 08, 08, 10, 14, 04, 05 ]",8.17,Commoner,389
Dwarf: ,Female,67,120,43,True Neutral,"[ 11, 06, 12, 11, 11, 05 ]",9.33,Commoner,378
Dwarf: ,Female,79,128,47,Chaotic Good,"[ 12, 10, 12, 06, 06, 07 ]",8.83,Commoner,320
Dwarf: ,Female,67,132,50,Neutral Good,"[ 05, 12, 11, 04, 10, 09 ]",8.5,Commoner,319
Dwarf: ,Female,66,134,46,Chaotic Evil,"[ 09, 07, 10, 12, 08, 10 ]",9.33,Commoner,402
Dwarf: ,Female,66,124,45,Lawful Evil,"[ 11, 15, 10, 08, 09, 11 ]",10.67,Commoner,412
Half-Elf: ,Male,17,132,64,Neutral Good,"[ 10, 09, 16, 18, 13, 11 ]",12.83,Adventurer,161
Dwarf: ,Female,65,115,51,Chaotic Neutral,"[ 07, 14, 10, 06, 04, 03 ]",7.33,Commoner,317
Dwarf: ,Female,62,129,43,Neutral Evil,"[ 11, 09, 07, 08, 10, 05 ]",8.33,Commoner,422
Dwarf: ,Male,69,152,51,Lawful Neutral,"[ 04, 06, 06, 14, 10, 08 ]",8.0,Commoner,371
Dwarf: ,Female,66,118,51,Lawful Neutral,"[ 08, 11, 10, 10, 11, 10 ]",10.0,Commoner,309
Dwarf: ,Male,68,148,50,Chaotic Evil,"[ 11, 05, 07, 14, 07, 08 ]",8.67,Commoner,313
Halfling: ,Male,29,62,42,Lawful Evil,"[ 12, 08, 12, 15, 13, 14 ]",12.33,Elite,137
Dwarf: ,Male,68,154,45,Lawful Evil,"[ 05, 13, 09, 12, 05, 12 ]",9.33,Commoner,332
Dwarf: ,Female,75,123,49,Neutral Good,"[ 11, 12, 08, 13, 11, 10 ]",10.83,Commoner,356
Dwarf: ,Female,65,136,51,Lawful Evil,"[ 14, 12, 07, 09, 08, 11 ]",10.17,Commoner,305
Dwarf: ,Female,75,121,51,True Neutral,"[ 07, 09, 06, 09, 05, 11 ]",7.83,Commoner,315
Dwarf: ,Male,61,140,52,Chaotic Evil,"[ 13, 12, 08, 08, 10, 15 ]",11.0,Commoner,401
Half-Elf: ,Male,20,136,64,Lawful Good,"[ 13, 15, 12, 09, 13, 10 ]",12.0,Elite,163
Dwarf: ,Female,58,124,43,Neutral Evil,"[ 08, 08, 11, 13, 09, 09 ]",9.67,Commoner,336
Dwarf: ,Female,66,128,51,Chaotic Neutral,"[ 09, 05, 11, 10, 11, 09 ]",9.17,Commoner,321
Dwarf: ,Male,57,151,51,Chaotic Evil,"[ 08, 07, 12, 06, 06, 09 ]",8.0,Commoner,347
Dwarf: ,Male,63,143,53,Lawful Good,"[ 10, 15, 12, 05, 09, 10 ]",10.17,Commoner,270
Dwarf: ,Male,66,148,53,Chaotic Evil,"[ 09, 05, 05, 10, 11, 09 ]",8.17,Commoner,443
Dwarf: ,Female,71,122,46,True Neutral,"[ 14, 11, 10, 11, 07, 09 ]",10.33,Commoner,368
Elf: ,Male,118,102,56,Lawful Evil,"[ 11, 13, 18, 08, 11, 11 ]",12.0,Elite,492
Dwarf: ,Male,71,148,45,Neutral Evil,"[ 10, 09, 13, 13, 11, 12 ]",11.33,Elite,331
Dwarf: ,Male,64,149,53,Neutral Good,"[ 11, 06, 09, 05, 11, 06 ]",8.0,Commoner,361
Dwarf: ,Male,54,140,50,Lawful Good,"[ 06, 14, 12, 07, 07, 08 ]",9.0,Commoner,319
Dwarf: ,Male,58,152,53,Lawful Neutral,"[ 10, 09, 13, 05, 09, 08 ]",9.0,Commoner,328
Dwarf: ,Male,60,143,49,Neutral Evil,"[ 10, 12, 09, 08, 12, 12 ]",10.5,Commoner,358
Dwarf: ,Female,65,130,47,Lawful Evil,"[ 09, 11, 06, 13, 14, 07 ]",10.0,Commoner,366
Dwarf: ,Male,69,148,49,Lawful Good,"[ 13, 12, 05, 07, 07, 06 ]",8.33,Commoner,318
Dwarf: ,Male,79,153,48,Chaotic Neutral,"[ 07, 12, 07, 08, 07, 13 ]",9.0,Commoner,338
Dwarf: ,Female,59,129,47,Chaotic Evil,"[ 15, 07, 08, 14, 08, 14 ]",11.0,Commoner,308
Dwarf: ,Female,68,131,50,Neutral Good,"[ 10, 07, 14, 04, 09, 08 ]",8.67,Commoner,351
Dwarf: ,Female,71,129,48,Chaotic Evil,"[ 04, 08, 11, 09, 12, 06 ]",8.33,Commoner,355
Dwarf: ,Male,69,159,50,Lawful Neutral,"[ 12, 10, 09, 07, 07, 11 ]",9.33,Commoner,291
Dwarf: ,Female,67,125,48,True Neutral,"[ 09, 10, 10, 10, 13, 09 ]",10.17,Commoner,394
Human: ,Male,17,178,80,True Neutral,"[ 13, 12, 12, 14, 10, 11 ]",12.0,Elite,109
Dwarf: ,Male,74,145,46,Lawful Evil,"[ 07, 10, 10, 09, 09, 13 ]",9.67,Commoner,295
Dwarf: ,Male,69,161,48,Chaotic Neutral,"[ 11, 11, 10, 10, 04, 08 ]",9.0,Commoner,326
Dwarf: ,Male,75,145,50,Lawful Evil,"[ 11, 16, 04, 14, 12, 10 ]",11.17,Commoner,357
Human: ,Male,19,167,71,Chaotic Neutral,"[ 12, 14, 11, 08, 15, 15 ]",12.5,Elite,121
Dwarf: ,Female,66,130,46,Lawful Neutral,"[ 03, 04, 05, 17, 18, 16 ]",10.5,Commoner,302
Dwarf: ,Female,65,133,42,True Neutral,"[ 09, 06, 09, 11, 07, 08 ]",8.33,Commoner,319
Dwarf: ,Male,73,148,51,Chaotic Evil,"[ 12, 10, 06, 15, 06, 11 ]",10.0,Commoner,359
Human: ,Female,19,113,67,Neutral Evil,"[ 10, 14, 14, 15, 12, 11 ]",12.67,Elite,103
Dwarf: ,Female,66,126,47,Chaotic Evil,"[ 07, 06, 10, 11, 07, 11 ]",8.67,Commoner,388
Dwarf: ,Female,69,123,47,Lawful Neutral,"[ 10, 07, 08, 08, 10, 11 ]",9.0,Commoner,281
Dwarf: ,Female,68,130,42,Chaotic Evil,"[ 12, 09, 10, 06, 06, 08 ]",8.5,Commoner,357
Dwarf: ,Male,69,149,47,True Neutral,"[ 11, 08, 07, 07, 09, 10 ]",8.67,Commoner,347
Dwarf: ,Male,67,152,51,Lawful Evil,"[ 11, 07, 05, 07, 10, 13 ]",8.83,Commoner,421
Dwarf: ,Male,74,146,44,Lawful Evil,"[ 06, 11, 14, 11, 06, 11 ]",9.83,Commoner,436
Half-Elf: ,Female,17,103,68,Lawful Evil,"[ 12, 11, 07, 14, 13, 15 ]",12.0,Elite,143
Dwarf: ,Female,75,132,42,Lawful Neutral,"[ 14, 06, 09, 09, 07, 12 ]",9.5,Commoner,437
Dwarf: ,Female,58,125,49,Chaotic Neutral,"[ 11, 10, 09, 09, 11, 09 ]",9.83,Commoner,438
Dwarf: ,Female,62,125,47,Neutral Good,"[ 10, 06, 12, 14, 05, 13 ]",10.0,Commoner,293
Dwarf: ,Male,69,156,48,Chaotic Good,"[ 08, 12, 12, 05, 07, 11 ]",9.17,Commoner,368
Dwarf: ,Female,50,138,47,Neutral Evil,"[ 11, 08, 10, 13, 07, 07 ]",9.33,Commoner,345
Dwarf: ,Male,61,155,45,True Neutral,"[ 04, 11, 11, 09, 07, 09 ]",8.5,Commoner,315
Dwarf: ,Female,61,123,51,Lawful Evil,"[ 10, 13, 04, 09, 10, 10 ]",9.33,Commoner,360
Dwarf: ,Male,75,153,44,Lawful Evil,"[ 08, 06, 09, 04, 07, 09 ]",7.17,Commoner,381
Dwarf: ,Male,60,147,52,Lawful Good,"[ 09, 11, 11, 11, 08, 10 ]",10.0,Commoner,340
Dwarf: ,Female,67,116,44,Lawful Evil,"[ 08, 09, 08, 07, 09, 08 ]",8.17,Commoner,381
Dwarf: ,Female,71,127,43,Neutral Good,"[ 12, 08, 13, 06, 11, 10 ]",10.0,Commoner,351
