Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,74,122,42,Chaotic Evil,"[ 07, 04, 06, 11, 09, 10 ]",7.83,Commoner,315
Dwarf: ,Male,81,147,47,Neutral Good,"[ 09, 12, 09, 07, 06, 09 ]",8.67,Commoner,344
Dwarf: ,Female,64,121,45,Chaotic Evil,"[ 11, 03, 11, 08, 08, 14 ]",9.17,Commoner,276
Dwarf: ,Male,64,138,51,True Neutral,"[ 12, 11, 07, 07, 12, 06 ]",9.17,Commoner,419
Dwarf: ,Female,63,123,45,Lawful Evil,"[ 10, 08, 15, 07, 05, 15 ]",10.0,Commoner,315
Dwarf: ,Female,75,129,43,Chaotic Neutral,"[ 09, 12, 11, 05, 08, 14 ]",9.83,Commoner,427
Dwarf: ,Male,53,146,47,Neutral Good,"[ 10, 08, 07, 12, 10, 11 ]",9.67,Commoner,304
Dwarf: ,Male,70,159,49,True Neutral,"[ 13, 06, 10, 09, 09, 07 ]",9.0,Commoner,350
Dwarf: ,Female,74,125,51,Chaotic Good,"[ 08, 08, 09, 08, 11, 08 ]",8.67,Commoner,328
Dwarf: ,Male,57,148,51,Lawful Good,"[ 04, 07, 13, 10, 11, 08 ]",8.83,Commoner,329
Dwarf: ,Male,65,163,48,Chaotic Neutral,"[ 11, 09, 07, 09, 08, 06 ]",8.33,Commoner,422
Dwarf: ,Female,65,124,47,True Neutral,"[ 08, 11, 10, 10, 07, 14 ]",10.0,Commoner,263
Dwarf: ,Male,70,153,46,Chaotic Neutral,"[ 13, 09, 09, 18, 08, 09 ]",11.0,Commoner,314
Dwarf: ,Female,65,134,50,Lawful Neutral,"[ 11, 05, 06, 11, 09, 09 ]",8.5,Commoner,311
Dwarf: ,Male,70,153,53,Neutral Good,"[ 09, 05, 08, 08, 13, 10 ]",8.83,Commoner,272
Dwarf: ,Male,68,153,51,Chaotic Evil,"[ 09, 05, 06, 10, 13, 06 ]",8.17,Commoner,270
Dwarf: ,Female,59,131,49,Chaotic Good,"[ 08, 13, 08, 11, 09, 09 ]",9.67,Commoner,343
Dwarf: ,Female,65,142,49,Lawful Good,"[ 14, 05, 08, 07, 09, 10 ]",8.83,Commoner,372
Dwarf: ,Male,70,152,49,Chaotic Neutral,"[ 10, 06, 12, 08, 10, 08 ]",9.0,Commoner,371
Dwarf: ,Male,68,155,45,True Neutral,"[ 05, 12, 11, 08, 09, 08 ]",8.83,Commoner,363
Dwarf: ,Female,66,133,47,Lawful Evil,"[ 11, 07, 06, 08, 08, 06 ]",7.67,Commoner,319
Dwarf: ,Male,69,153,48,True Neutral,"[ 06, 05, 08, 13, 11, 05 ]",8.0,Commoner,342
Dwarf: ,Male,79,141,47,Lawful Evil,"[ 12, 11, 11, 10, 06, 07 ]",9.5,Commoner,307
Dwarf: ,Male,61,158,44,Lawful Evil,"[ 08, 08, 11, 09, 10, 12 ]",9.67,Commoner,395
Dwarf: ,Male,73,147,45,Chaotic Neutral,"[ 10, 08, 06, 13, 08, 09 ]",9.0,Commoner,330
Dwarf: ,Female,76,127,46,Neutral Evil,"[ 09, 11, 14, 06, 10, 08 ]",9.67,Commoner,417
Dwarf: ,Male,73,159,52,Lawful Evil,"[ 12, 10, 09, 05, 09, 14 ]",9.83,Commoner,294
