Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Halfling: ,Female,26,56,41,Chaotic Neutral,"[ 16, 11, 09, 10, 16, 15 ]",12.83,Adventurer,129
Dwarf: ,Female,59,142,47,Chaotic Evil,"[ 12, 09, 10, 08, 07, 10 ]",9.33,Commoner,309
Dwarf: ,Female,53,123,46,Neutral Good,"[ 12, 10, 05, 10, 06, 10 ]",8.83,Commoner,305
Dwarf: ,Male,69,161,46,Chaotic Evil,"[ 10, 10, 06, 03, 13, 15 ]",9.5,Commoner,367
Dwarf: ,Female,69,125,47,Chaotic Evil,"[ 13, 10, 09, 10, 09, 06 ]",9.5,Commoner,351
Dwarf: ,Male,66,153,50,Lawful Neutral,"[ 08, 09, 04, 11, 10, 11 ]",8.83,Commoner,429
Dwarf: ,Male,78,159,52,Neutral Good,"[ 12, 09, 09, 06, 09, 03 ]",8.0,Commoner,354
Dwarf: ,Male,61,151,47,Neutral Good,"[ 10, 07, 12, 11, 13, 07 ]",10.0,Commoner,359
Human: ,Female,16,138,71,Lawful Good,"[ 14, 13, 14, 18, 17, 08 ]",14.0,Adventurer,96
Dwarf: ,Female,69,124,45,Neutral Good,"[ 08, 12, 08, 08, 12, 10 ]",9.67,Commoner,287
Dwarf: ,Male,63,158,48,Lawful Good,"[ 08, 05, 09, 05, 12, 08 ]",7.83,Commoner,342
Dwarf: ,Female,62,126,46,Neutral Evil,"[ 09, 07, 12, 05, 14, 05 ]",8.67,Commoner,315
Dwarf: ,Male,66,161,50,True Neutral,"[ 14, 07, 11, 07, 11, 11 ]",10.17,Commoner,302
Dwarf: ,Female,58,122,48,True Neutral,"[ 04, 09, 11, 05, 12, 05 ]",7.67,Commoner,399
Dwarf: ,Female,67,130,46,Chaotic Neutral,"[ 12, 05, 09, 08, 11, 06 ]",8.5,Commoner,314
Dwarf: ,Male,66,154,53,True Neutral,"[ 08, 10, 12, 07, 12, 06 ]",9.17,Commoner,379
Dwarf: ,Male,63,148,47,Lawful Neutral,"[ 10, 07, 08, 09, 09, 10 ]",8.83,Commoner,409
Dwarf: ,Female,58,138,48,Neutral Evil,"[ 11, 12, 16, 07, 15, 08 ]",11.5,Elite,386
Dwarf: ,Male,68,153,48,True Neutral,"[ 10, 13, 07, 05, 10, 08 ]",8.83,Commoner,388
Dwarf: ,Female,72,131,43,Lawful Neutral,"[ 05, 05, 11, 09, 09, 13 ]",8.67,Commoner,346
Dwarf: ,Male,65,148,44,Chaotic Neutral,"[ 09, 12, 12, 12, 09, 04 ]",9.67,Commoner,311
Dwarf: ,Female,73,117,42,Lawful Good,"[ 11, 10, 04, 13, 10, 08 ]",9.33,Commoner,347
Dwarf: ,Male,66,150,49,Chaotic Good,"[ 11, 07, 11, 07, 07, 07 ]",8.33,Commoner,273
Dwarf: ,Male,65,143,44,Chaotic Neutral,"[ 09, 14, 10, 08, 12, 08 ]",10.17,Commoner,347
Half-Elf: ,Male,16,135,63,Neutral Evil,"[ 11, 18, 11, 10, 13, 15 ]",13.0,Adventurer,153
Dwarf: ,Female,61,121,42,Chaotic Neutral,"[ 08, 06, 07, 10, 04, 10 ]",7.5,Commoner,312
Dwarf: ,Female,70,123,47,Neutral Good,"[ 13, 10, 12, 07, 14, 04 ]",10.0,Commoner,363
Dwarf: ,Male,65,153,49,True Neutral,"[ 08, 08, 11, 09, 10, 04 ]",8.33,Commoner,378
Dwarf: ,Male,71,145,50,True Neutral,"[ 07, 09, 09, 09, 13, 06 ]",8.83,Commoner,352
Dwarf: ,Female,65,130,51,Chaotic Evil,"[ 11, 11, 09, 08, 05, 15 ]",9.83,Commoner,300
Dwarf: ,Male,73,152,51,Lawful Neutral,"[ 10, 07, 15, 10, 11, 12 ]",10.83,Commoner,348
Dwarf: ,Female,74,116,48,Chaotic Evil,"[ 05, 11, 12, 10, 11, 10 ]",9.83,Commoner,317
Dwarf: ,Female,75,121,51,Lawful Good,"[ 09, 12, 10, 13, 12, 10 ]",11.0,Commoner,384
Dwarf: ,Male,68,161,52,Lawful Neutral,"[ 08, 16, 07, 05, 17, 09 ]",10.33,Commoner,399
Dwarf: ,Male,60,145,48,Lawful Good,"[ 07, 09, 09, 04, 12, 10 ]",8.5,Commoner,438
Human: ,Female,19,127,64,True Neutral,"[ 10, 15, 12, 14, 09, 10 ]",11.67,Elite,116
Dwarf: ,Male,70,149,48,Neutral Evil,"[ 09, 12, 07, 09, 09, 09 ]",9.17,Commoner,375
Dwarf: ,Female,69,118,51,Lawful Good,"[ 06, 07, 11, 12, 10, 06 ]",8.67,Commoner,333
Dwarf: ,Female,62,126,48,True Neutral,"[ 09, 13, 08, 09, 11, 08 ]",9.67,Commoner,422
Dwarf: ,Male,75,156,45,Chaotic Evil,"[ 09, 06, 08, 11, 08, 14 ]",9.33,Commoner,393
Dwarf: ,Male,63,154,44,Neutral Evil,"[ 09, 11, 13, 11, 10, 08 ]",10.33,Commoner,311
Dwarf: ,Female,53,119,42,Chaotic Evil,"[ 11, 11, 12, 09, 09, 12 ]",10.67,Commoner,323
Dwarf: ,Male,63,160,46,Chaotic Good,"[ 11, 05, 11, 12, 12, 09 ]",10.0,Commoner,296
Dwarf: ,Female,62,129,49,Lawful Good,"[ 13, 08, 08, 09, 08, 06 ]",8.67,Commoner,366
Dwarf: ,Female,80,117,47,Chaotic Evil,"[ 09, 08, 13, 06, 14, 09 ]",9.83,Commoner,305
Dwarf: ,Female,76,123,49,Chaotic Evil,"[ 14, 12, 09, 09, 06, 11 ]",10.17,Commoner,338
Dwarf: ,Female,61,138,43,Neutral Evil,"[ 11, 13, 14, 11, 04, 08 ]",10.17,Commoner,313
Dwarf: ,Male,72,165,52,Lawful Neutral,"[ 10, 12, 07, 09, 11, 10 ]",9.83,Commoner,330
Dwarf: ,Male,60,143,45,Lawful Evil,"[ 08, 09, 11, 09, 11, 11 ]",9.83,Commoner,306
Dwarf: ,Female,71,124,48,Chaotic Neutral,"[ 10, 09, 06, 12, 14, 09 ]",10.0,Commoner,358
Dwarf: ,Male,80,153,50,Lawful Evil,"[ 13, 06, 09, 06, 09, 07 ]",8.33,Commoner,427
Dwarf: ,Male,59,155,53,Chaotic Evil,"[ 12, 09, 14, 06, 06, 08 ]",9.17,Commoner,375
Dwarf: ,Male,59,150,50,Lawful Good,"[ 08, 08, 12, 06, 05, 12 ]",8.5,Commoner,377
Dwarf: ,Male,69,164,45,Neutral Evil,"[ 14, 06, 10, 07, 06, 09 ]",8.67,Commoner,289
Dwarf: ,Female,60,122,47,True Neutral,"[ 13, 09, 13, 08, 12, 09 ]",10.67,Commoner,392
Dwarf: ,Female,77,126,49,Chaotic Evil,"[ 12, 10, 08, 11, 07, 13 ]",10.17,Commoner,298
Dwarf: ,Male,67,150,46,Lawful Good,"[ 10, 07, 10, 06, 13, 12 ]",9.67,Commoner,294
Dwarf: ,Female,71,120,44,Neutral Evil,"[ 09, 09, 13, 06, 05, 05 ]",7.83,Commoner,331
Dwarf: ,Female,59,128,42,Lawful Good,"[ 09, 09, 10, 11, 06, 10 ]",9.17,Commoner,365
Dwarf: ,Male,63,153,50,Chaotic Evil,"[ 07, 09, 06, 08, 11, 09 ]",8.33,Commoner,392
Dwarf: ,Female,64,134,50,Lawful Neutral,"[ 13, 09, 10, 07, 07, 08 ]",9.0,Commoner,401
Half-Elf: ,Male,18,132,65,Chaotic Evil,"[ 16, 10, 12, 11, 15, 17 ]",13.5,Adventurer,164
Human: ,Male,19,175,70,Chaotic Good,"[ 14, 08, 11, 12, 14, 18 ]",12.83,Adventurer,127
Dwarf: ,Female,64,129,46,Neutral Good,"[ 08, 12, 12, 07, 04, 09 ]",8.67,Commoner,380
Gnome: ,Male,80,79,43,Neutral Evil,"[ 10, 09, 14, 14, 13, 13 ]",12.17,Elite,366
Dwarf: ,Female,61,137,51,Chaotic Good,"[ 09, 11, 10, 07, 07, 10 ]",9.0,Commoner,405
Dwarf: ,Male,60,157,51,Chaotic Neutral,"[ 08, 07, 09, 05, 06, 10 ]",7.5,Commoner,332
Dwarf: ,Male,67,155,49,Neutral Evil,"[ 10, 09, 06, 11, 13, 10 ]",9.83,Commoner,383
Dwarf: ,Male,59,148,51,Neutral Good,"[ 08, 11, 06, 10, 08, 08 ]",8.5,Commoner,256
Dwarf: ,Male,77,153,44,True Neutral,"[ 07, 07, 09, 11, 09, 11 ]",9.0,Commoner,334
Dwarf: ,Female,72,131,49,True Neutral,"[ 16, 11, 10, 08, 11, 11 ]",11.17,Commoner,352
Dwarf: ,Male,75,159,44,Chaotic Good,"[ 11, 10, 11, 11, 11, 09 ]",10.5,Commoner,384
Dwarf: ,Male,74,165,46,Lawful Neutral,"[ 10, 10, 07, 09, 06, 09 ]",8.5,Commoner,328
Dwarf: ,Female,61,127,42,Lawful Neutral,"[ 07, 10, 10, 07, 08, 11 ]",8.83,Commoner,284
Dwarf: ,Male,50,151,48,Chaotic Evil,"[ 07, 07, 08, 03, 09, 10 ]",7.33,Commoner,337
Dwarf: ,Female,65,124,49,Lawful Evil,"[ 08, 09, 06, 14, 13, 09 ]",9.83,Commoner,329
Dwarf: ,Male,72,151,44,Chaotic Good,"[ 09, 11, 07, 05, 08, 11 ]",8.5,Commoner,368
Dwarf: ,Female,68,124,48,Lawful Evil,"[ 13, 11, 12, 12, 11, 06 ]",10.83,Commoner,394
Dwarf: ,Male,75,146,49,True Neutral,"[ 10, 12, 12, 13, 05, 12 ]",10.67,Commoner,354
Dwarf: ,Female,70,137,43,Chaotic Good,"[ 07, 08, 07, 13, 12, 10 ]",9.5,Commoner,360
Dwarf: ,Male,65,151,47,Lawful Evil,"[ 13, 11, 09, 12, 10, 07 ]",10.33,Commoner,386
Dwarf: ,Female,82,115,46,Chaotic Good,"[ 08, 11, 05, 13, 10, 12 ]",9.83,Commoner,334
