Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,66,148,46,Neutral Good,"[ 11, 12, 16, 11, 12, 13 ]",12.5,Elite,300
Dwarf: ,Male,72,155,44,Chaotic Neutral,"[ 08, 07, 12, 11, 09, 10 ]",9.5,Commoner,296
Dwarf: ,Male,73,163,51,Lawful Neutral,"[ 10, 09, 10, 12, 09, 11 ]",10.17,Commoner,288
Dwarf: ,Female,80,126,46,Lawful Evil,"[ 06, 09, 07, 13, 06, 07 ]",8.0,Commoner,355
Dwarf: ,Female,74,126,49,Neutral Good,"[ 14, 05, 07, 13, 10, 09 ]",9.67,Commoner,335
Dwarf: ,Male,75,152,50,Chaotic Good,"[ 13, 14, 12, 07, 14, 15 ]",12.5,Elite,279
Dwarf: ,Male,70,151,44,Chaotic Evil,"[ 09, 13, 08, 09, 14, 11 ]",10.67,Commoner,338
Dwarf: ,Male,59,151,48,Chaotic Neutral,"[ 10, 07, 05, 08, 10, 08 ]",8.0,Commoner,362
Dwarf: ,Female,51,128,44,Lawful Evil,"[ 12, 05, 16, 14, 08, 06 ]",10.17,Commoner,416
Elf: ,Female,124,80,58,Chaotic Neutral,"[ 09, 12, 08, 14, 18, 10 ]",11.83,Elite,576
Dwarf: ,Female,67,129,49,Lawful Neutral,"[ 10, 09, 09, 07, 08, 07 ]",8.33,Commoner,355
Dwarf: ,Female,73,122,44,Chaotic Evil,"[ 06, 05, 10, 07, 08, 07 ]",7.17,Commoner,351
Dwarf: ,Female,70,122,45,Lawful Neutral,"[ 12, 10, 12, 09, 06, 11 ]",10.0,Commoner,399
Dwarf: ,Female,75,126,45,Lawful Neutral,"[ 07, 09, 11, 11, 12, 06 ]",9.33,Commoner,400
Dwarf: ,Male,79,151,45,Neutral Good,"[ 06, 10, 07, 03, 11, 05 ]",7.0,Commoner,346
Dwarf: ,Female,68,125,49,Neutral Good,"[ 09, 14, 05, 06, 10, 07 ]",8.5,Commoner,310
Dwarf: ,Female,63,117,45,Chaotic Neutral,"[ 07, 11, 10, 08, 09, 12 ]",9.5,Commoner,300
Dwarf: ,Male,68,147,44,Lawful Evil,"[ 09, 11, 08, 09, 17, 13 ]",11.17,Commoner,371
Dwarf: ,Male,72,154,50,Neutral Good,"[ 07, 10, 06, 07, 11, 06 ]",7.83,Commoner,351
Dwarf: ,Male,64,143,53,Chaotic Evil,"[ 11, 08, 09, 08, 09, 11 ]",9.33,Commoner,390
Dwarf: ,Female,66,124,45,Lawful Evil,"[ 09, 10, 10, 09, 12, 08 ]",9.67,Commoner,392
Dwarf: ,Male,52,143,47,Lawful Good,"[ 07, 11, 08, 11, 12, 04 ]",8.83,Commoner,370
Dwarf: ,Female,74,123,42,True Neutral,"[ 08, 08, 04, 06, 12, 07 ]",7.5,Commoner,325
Dwarf: ,Female,55,127,44,Chaotic Neutral,"[ 11, 11, 09, 13, 11, 10 ]",10.83,Commoner,385
Dwarf: ,Female,74,127,43,Chaotic Neutral,"[ 14, 15, 09, 10, 11, 07 ]",11.0,Commoner,364
Dwarf: ,Female,74,124,51,True Neutral,"[ 09, 03, 10, 06, 12, 10 ]",8.33,Commoner,370
Dwarf: ,Female,71,122,45,Chaotic Neutral,"[ 05, 05, 12, 10, 06, 14 ]",8.67,Commoner,331
Human: ,Male,16,160,67,Chaotic Good,"[ 14, 10, 15, 14, 06, 12 ]",11.83,Elite,105
Dwarf: ,Male,71,154,51,Neutral Evil,"[ 07, 12, 12, 11, 05, 09 ]",9.33,Commoner,364
Dwarf: ,Male,70,155,53,Lawful Evil,"[ 05, 07, 10, 07, 13, 09 ]",8.5,Commoner,276
Dwarf: ,Male,67,151,52,Chaotic Good,"[ 10, 09, 10, 09, 11, 10 ]",9.83,Commoner,311
Dwarf: ,Male,61,141,48,True Neutral,"[ 11, 08, 12, 09, 08, 10 ]",9.67,Commoner,376
Dwarf: ,Male,77,149,47,Lawful Neutral,"[ 09, 07, 09, 08, 11, 06 ]",8.33,Commoner,330
Dwarf: ,Male,77,156,47,True Neutral,"[ 11, 09, 09, 10, 14, 06 ]",9.83,Commoner,309
Dwarf: ,Male,66,155,53,Chaotic Evil,"[ 11, 10, 13, 10, 10, 09 ]",10.5,Commoner,393
Dwarf: ,Female,66,126,42,Neutral Evil,"[ 10, 07, 09, 09, 04, 06 ]",7.5,Commoner,364
Dwarf: ,Male,70,157,44,Chaotic Neutral,"[ 07, 09, 10, 12, 08, 06 ]",8.67,Commoner,316
