Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,71,135,43,Neutral Good,"[ 10, 12, 12, 08, 15, 10 ]",11.17,Commoner,353
Dwarf: ,Female,66,125,42,Chaotic Evil,"[ 11, 10, 07, 14, 04, 09 ]",9.17,Commoner,373
Dwarf: ,Male,56,156,45,Chaotic Good,"[ 05, 08, 08, 11, 06, 09 ]",7.83,Commoner,325
Dwarf: ,Female,69,123,51,Lawful Evil,"[ 06, 15, 05, 12, 11, 12 ]",10.17,Commoner,393
Dwarf: ,Male,63,153,44,Neutral Good,"[ 06, 03, 13, 09, 10, 08 ]",8.17,Commoner,334
Dwarf: ,Female,72,125,45,Neutral Good,"[ 07, 12, 12, 11, 10, 08 ]",10.0,Commoner,380
Dwarf: ,Male,67,155,47,Lawful Neutral,"[ 14, 12, 13, 07, 11, 06 ]",10.5,Commoner,343
Dwarf: ,Male,64,139,44,True Neutral,"[ 12, 13, 09, 07, 08, 05 ]",9.0,Commoner,333
Dwarf: ,Female,68,118,42,Chaotic Good,"[ 10, 08, 10, 10, 10, 05 ]",8.83,Commoner,344
Dwarf: ,Female,75,123,44,Lawful Evil,"[ 11, 07, 12, 13, 08, 13 ]",10.67,Commoner,337
Dwarf: ,Female,75,134,47,Neutral Evil,"[ 07, 07, 10, 13, 08, 09 ]",9.0,Commoner,396
Dwarf: ,Male,51,153,51,Lawful Neutral,"[ 06, 11, 07, 08, 08, 04 ]",7.33,Commoner,410
Dwarf: ,Female,70,138,48,Chaotic Neutral,"[ 09, 04, 13, 11, 06, 12 ]",9.17,Commoner,367
Dwarf: ,Female,63,130,43,Neutral Good,"[ 08, 07, 12, 05, 08, 10 ]",8.33,Commoner,395
Dwarf: ,Male,71,145,53,Lawful Good,"[ 09, 09, 06, 09, 10, 11 ]",9.0,Commoner,394
Dwarf: ,Female,75,134,50,Chaotic Neutral,"[ 07, 12, 07, 09, 07, 12 ]",9.0,Commoner,397
Dwarf: ,Male,66,145,45,Lawful Neutral,"[ 07, 08, 06, 08, 04, 07 ]",6.67,Commoner,438
Dwarf: ,Female,69,121,47,Neutral Evil,"[ 08, 08, 13, 09, 12, 15 ]",10.83,Commoner,312
Dwarf: ,Female,73,127,51,True Neutral,"[ 06, 08, 10, 10, 12, 09 ]",9.17,Commoner,358
Dwarf: ,Female,60,136,51,Neutral Good,"[ 06, 12, 10, 09, 12, 14 ]",10.5,Commoner,351
Dwarf: ,Female,54,130,50,Neutral Evil,"[ 11, 04, 11, 09, 10, 06 ]",8.5,Commoner,337
Gnome: ,Female,73,78,42,Lawful Evil,"[ 09, 10, 16, 14, 17, 07 ]",12.17,Elite,382
Dwarf: ,Male,57,158,45,Neutral Good,"[ 07, 12, 09, 05, 09, 10 ]",8.67,Commoner,370
Dwarf: ,Male,60,153,49,Chaotic Evil,"[ 12, 06, 08, 09, 09, 08 ]",8.67,Commoner,378
Dwarf: ,Male,74,166,48,Neutral Evil,"[ 06, 06, 07, 08, 06, 11 ]",7.33,Commoner,369
Dwarf: ,Male,77,157,53,Neutral Evil,"[ 08, 13, 11, 12, 10, 11 ]",10.83,Commoner,291
Dwarf: ,Male,60,159,52,Lawful Evil,"[ 06, 07, 12, 11, 07, 07 ]",8.33,Commoner,412
Dwarf: ,Male,62,151,44,Lawful Good,"[ 07, 08, 10, 08, 07, 08 ]",8.0,Commoner,340
Dwarf: ,Female,65,136,48,Lawful Evil,"[ 12, 09, 08, 05, 11, 11 ]",9.33,Commoner,415
Dwarf: ,Male,70,166,50,Lawful Good,"[ 14, 10, 12, 07, 07, 06 ]",9.33,Commoner,315
Dwarf: ,Female,72,139,44,Chaotic Good,"[ 11, 07, 11, 13, 10, 12 ]",10.67,Commoner,383
Dwarf: ,Female,51,127,44,Lawful Evil,"[ 10, 10, 09, 11, 09, 14 ]",10.5,Commoner,373
Dwarf: ,Female,69,136,42,Neutral Good,"[ 07, 12, 08, 14, 10, 07 ]",9.67,Commoner,411
Dwarf: ,Male,52,147,50,Lawful Evil,"[ 10, 10, 12, 13, 12, 14 ]",11.83,Elite,402
Dwarf: ,Female,67,115,51,Neutral Good,"[ 04, 15, 05, 16, 17, 05 ]",10.33,Commoner,357
Dwarf: ,Female,74,130,46,Neutral Good,"[ 07, 05, 12, 08, 09, 09 ]",8.33,Commoner,286
Dwarf: ,Female,74,128,44,Chaotic Evil,"[ 10, 07, 06, 13, 10, 07 ]",8.83,Commoner,334
Dwarf: ,Female,73,130,47,Neutral Evil,"[ 14, 05, 07, 14, 06, 10 ]",9.33,Commoner,333
Dwarf: ,Female,73,124,48,Lawful Neutral,"[ 06, 12, 05, 13, 13, 11 ]",10.0,Commoner,347
Dwarf: ,Male,57,155,44,Neutral Evil,"[ 10, 10, 12, 08, 13, 12 ]",10.83,Commoner,378
