Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,68,160,53,Lawful Good,"[ 06, 04, 09, 18, 14, 10 ]",10.17,Commoner,384
Dwarf: ,Male,77,158,53,Lawful Neutral,"[ 08, 08, 11, 09, 10, 12 ]",9.67,Commoner,318
Dwarf: ,Male,72,157,52,Chaotic Good,"[ 12, 09, 18, 13, 09, 08 ]",11.5,Elite,385
Dwarf: ,Female,77,128,51,Chaotic Good,"[ 11, 11, 06, 08, 08, 13 ]",9.5,Commoner,275
Dwarf: ,Female,70,126,49,Neutral Evil,"[ 08, 08, 05, 11, 06, 10 ]",8.0,Commoner,383
Dwarf: ,Male,69,146,51,True Neutral,"[ 08, 11, 07, 05, 12, 09 ]",8.67,Commoner,324
Dwarf: ,Female,68,125,43,Neutral Good,"[ 06, 17, 10, 10, 15, 09 ]",11.17,Commoner,348
Half-Elf: ,Male,20,136,72,True Neutral,"[ 10, 13, 14, 15, 12, 09 ]",12.17,Elite,158
Dwarf: ,Female,68,132,49,True Neutral,"[ 09, 08, 06, 10, 08, 06 ]",7.83,Commoner,443
Dwarf: ,Male,62,154,45,Lawful Evil,"[ 11, 04, 09, 08, 07, 12 ]",8.5,Commoner,408
