Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,63,127,45,Chaotic Neutral,"[ 04, 10, 11, 09, 11, 05 ]",8.33,Commoner,351
Dwarf: ,Female,73,122,46,Lawful Evil,"[ 12, 09, 07, 08, 10, 09 ]",9.17,Commoner,379
Dwarf: ,Female,68,135,45,Chaotic Good,"[ 09, 09, 10, 10, 07, 11 ]",9.33,Commoner,334
Dwarf: ,Female,69,126,43,Chaotic Evil,"[ 10, 11, 12, 13, 09, 04 ]",9.83,Commoner,309
Human: ,Female,19,134,66,Neutral Evil,"[ 16, 10, 09, 15, 12, 09 ]",11.83,Elite,110
Dwarf: ,Female,72,135,48,Neutral Good,"[ 13, 08, 14, 08, 09, 08 ]",10.0,Commoner,330
Dwarf: ,Male,69,146,52,Neutral Evil,"[ 13, 08, 09, 11, 08, 09 ]",9.67,Commoner,410
Halfling: ,Female,25,58,40,True Neutral,"[ 10, 15, 13, 18, 09, 11 ]",12.67,Elite,167
Dwarf: ,Female,70,128,50,Chaotic Neutral,"[ 05, 13, 06, 08, 07, 08 ]",7.83,Commoner,351
Dwarf: ,Female,71,120,45,Chaotic Good,"[ 06, 04, 06, 08, 08, 09 ]",6.83,Commoner,373
Dwarf: ,Female,69,125,44,Lawful Good,"[ 08, 13, 11, 10, 18, 09 ]",11.5,Elite,381
Dwarf: ,Female,72,129,44,Neutral Good,"[ 08, 12, 07, 10, 08, 09 ]",9.0,Commoner,381
Dwarf: ,Female,68,139,42,Neutral Good,"[ 08, 10, 08, 05, 06, 05 ]",7.0,Commoner,319
Dwarf: ,Female,70,134,48,Lawful Neutral,"[ 07, 10, 07, 04, 11, 06 ]",7.5,Commoner,389
Dwarf: ,Female,79,136,42,Lawful Evil,"[ 03, 09, 08, 07, 09, 13 ]",8.17,Commoner,402
Half-Elf: ,Female,21,108,65,Lawful Good,"[ 12, 11, 16, 15, 16, 12 ]",13.67,Adventurer,150
Dwarf: ,Female,58,121,48,Lawful Evil,"[ 14, 11, 11, 08, 11, 06 ]",10.17,Commoner,282
Dwarf: ,Male,62,148,45,Lawful Good,"[ 10, 12, 10, 12, 15, 13 ]",12.0,Elite,339
Dwarf: ,Female,69,125,50,Lawful Good,"[ 12, 09, 03, 07, 08, 08 ]",7.83,Commoner,367
Dwarf: ,Female,66,134,50,Lawful Good,"[ 10, 12, 10, 06, 04, 05 ]",7.83,Commoner,364
Dwarf: ,Male,66,163,51,Lawful Neutral,"[ 15, 09, 11, 08, 09, 13 ]",10.83,Commoner,404
Halfling: ,Male,27,58,35,Chaotic Good,"[ 11, 15, 12, 13, 17, 09 ]",12.83,Adventurer,129
Dwarf: ,Male,67,152,51,Chaotic Evil,"[ 08, 08, 07, 12, 10, 12 ]",9.5,Commoner,282
Dwarf: ,Female,76,126,50,True Neutral,"[ 11, 13, 04, 12, 14, 10 ]",10.67,Commoner,346
Dwarf: ,Female,81,121,47,Chaotic Neutral,"[ 14, 08, 11, 13, 14, 08 ]",11.33,Elite,336
Dwarf: ,Female,76,132,50,Chaotic Evil,"[ 08, 07, 12, 06, 11, 06 ]",8.33,Commoner,346
Dwarf: ,Male,82,148,49,Lawful Neutral,"[ 12, 07, 08, 06, 09, 11 ]",8.83,Commoner,351
Dwarf: ,Female,79,122,51,Chaotic Good,"[ 11, 11, 12, 07, 05, 10 ]",9.33,Commoner,263
Dwarf: ,Female,64,117,43,Chaotic Neutral,"[ 09, 08, 09, 07, 14, 07 ]",9.0,Commoner,323
Dwarf: ,Female,70,122,46,Chaotic Good,"[ 13, 05, 12, 09, 08, 09 ]",9.33,Commoner,320
Dwarf: ,Female,63,136,47,Lawful Neutral,"[ 10, 11, 09, 06, 07, 07 ]",8.33,Commoner,405
Dwarf: ,Male,81,155,45,Lawful Good,"[ 13, 11, 08, 08, 11, 08 ]",9.83,Commoner,433
Halfling: ,Female,29,61,40,Chaotic Evil,"[ 14, 11, 15, 11, 08, 16 ]",12.5,Elite,158
Dwarf: ,Male,63,146,44,Lawful Evil,"[ 12, 04, 08, 08, 07, 08 ]",7.83,Commoner,352
Dwarf: ,Male,66,163,48,Lawful Good,"[ 12, 08, 03, 07, 11, 12 ]",8.83,Commoner,280
Dwarf: ,Female,77,129,44,Lawful Evil,"[ 12, 14, 14, 08, 06, 12 ]",11.0,Commoner,407
Dwarf: ,Male,73,159,44,True Neutral,"[ 12, 07, 04, 09, 08, 13 ]",8.83,Commoner,286
Dwarf: ,Female,69,121,50,Neutral Good,"[ 09, 09, 12, 08, 07, 09 ]",9.0,Commoner,326
Dwarf: ,Female,64,129,49,Lawful Neutral,"[ 14, 05, 09, 13, 04, 11 ]",9.33,Commoner,351
Dwarf: ,Female,74,131,43,Neutral Good,"[ 10, 09, 05, 06, 03, 08 ]",6.83,Commoner,303
Dwarf: ,Female,76,120,44,Neutral Evil,"[ 07, 13, 13, 05, 12, 09 ]",9.83,Commoner,388
Dwarf: ,Male,67,158,44,Chaotic Good,"[ 09, 11, 13, 07, 08, 08 ]",9.33,Commoner,336
Dwarf: ,Female,69,129,47,Neutral Good,"[ 09, 07, 12, 12, 08, 09 ]",9.5,Commoner,372
Dwarf: ,Female,73,129,43,Lawful Good,"[ 08, 07, 08, 12, 15, 09 ]",9.83,Commoner,378
Dwarf: ,Male,67,149,45,Neutral Good,"[ 12, 08, 06, 10, 06, 05 ]",7.83,Commoner,360
Dwarf: ,Male,66,146,51,Lawful Good,"[ 08, 15, 08, 09, 09, 09 ]",9.67,Commoner,365
Dwarf: ,Female,64,130,49,Chaotic Good,"[ 10, 06, 07, 09, 11, 10 ]",8.83,Commoner,421
Dwarf: ,Female,66,139,45,Chaotic Neutral,"[ 09, 07, 07, 10, 05, 11 ]",8.17,Commoner,398
Dwarf: ,Female,63,133,46,Lawful Good,"[ 09, 07, 09, 07, 06, 11 ]",8.17,Commoner,365
Dwarf: ,Male,77,154,49,Chaotic Good,"[ 14, 07, 13, 05, 06, 11 ]",9.33,Commoner,380
Dwarf: ,Female,56,132,43,Lawful Good,"[ 08, 12, 07, 03, 06, 03 ]",6.5,Commoner,316
Dwarf: ,Female,69,129,49,Chaotic Neutral,"[ 05, 11, 11, 08, 07, 09 ]",8.5,Commoner,327
Dwarf: ,Female,66,142,51,Lawful Good,"[ 10, 04, 07, 10, 05, 08 ]",7.33,Commoner,384
Dwarf: ,Male,69,155,44,Lawful Neutral,"[ 07, 12, 09, 14, 08, 09 ]",9.83,Commoner,371
Dwarf: ,Male,79,153,46,Lawful Neutral,"[ 06, 11, 05, 05, 10, 04 ]",6.83,Commoner,381
