Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,69,128,43,Chaotic Evil,"[ 12, 06, 08, 07, 08, 11 ]",8.67,Commoner,398
Dwarf: ,Male,63,143,52,Neutral Good,"[ 08, 09, 08, 13, 16, 12 ]",11.0,Commoner,348
Halfling: ,Male,29,65,41,Chaotic Good,"[ 13, 11, 13, 13, 15, 10 ]",12.5,Elite,119
Dwarf: ,Male,67,148,50,Chaotic Evil,"[ 10, 12, 12, 11, 15, 05 ]",10.83,Commoner,363
Dwarf: ,Male,66,148,47,Chaotic Good,"[ 06, 09, 11, 04, 11, 09 ]",8.33,Commoner,314
Elf: ,Female,115,95,57,Lawful Neutral,"[ 13, 10, 08, 10, 13, 16 ]",11.67,Elite,564
Dwarf: ,Male,73,149,50,Neutral Evil,"[ 07, 09, 15, 05, 10, 08 ]",9.0,Commoner,282
Dwarf: ,Male,75,154,53,Chaotic Neutral,"[ 09, 11, 09, 07, 07, 04 ]",7.83,Commoner,322
Dwarf: ,Male,78,149,48,Lawful Neutral,"[ 08, 08, 07, 09, 05, 09 ]",7.67,Commoner,379
Dwarf: ,Female,65,130,47,Chaotic Evil,"[ 09, 08, 07, 10, 10, 10 ]",9.0,Commoner,324
Dwarf: ,Female,76,127,44,Chaotic Neutral,"[ 07, 08, 08, 10, 10, 12 ]",9.17,Commoner,398
Dwarf: ,Male,56,155,50,Neutral Good,"[ 09, 08, 11, 14, 08, 03 ]",8.83,Commoner,318
Dwarf: ,Female,72,124,48,Neutral Evil,"[ 18, 17, 12, 09, 06, 04 ]",11.0,Commoner,352
Dwarf: ,Female,54,131,49,Neutral Good,"[ 12, 11, 10, 05, 14, 05 ]",9.5,Commoner,376
Dwarf: ,Female,62,119,51,Lawful Good,"[ 09, 11, 07, 14, 09, 08 ]",9.67,Commoner,374
Dwarf: ,Male,59,156,46,Neutral Good,"[ 08, 11, 05, 05, 09, 10 ]",8.0,Commoner,281
Dwarf: ,Female,72,121,46,Neutral Good,"[ 07, 07, 08, 05, 06, 10 ]",7.17,Commoner,390
Dwarf: ,Male,68,152,50,Chaotic Neutral,"[ 10, 06, 05, 09, 10, 10 ]",8.33,Commoner,270
Dwarf: ,Female,67,124,50,True Neutral,"[ 09, 08, 11, 11, 06, 05 ]",8.33,Commoner,362
Dwarf: ,Male,68,152,46,Lawful Neutral,"[ 10, 12, 12, 11, 09, 08 ]",10.33,Commoner,383
Dwarf: ,Male,74,158,50,Chaotic Neutral,"[ 06, 07, 03, 13, 11, 09 ]",8.17,Commoner,336
Dwarf: ,Female,65,125,47,Neutral Evil,"[ 13, 10, 10, 09, 07, 08 ]",9.5,Commoner,309
Dwarf: ,Male,50,147,44,True Neutral,"[ 13, 10, 12, 09, 06, 12 ]",10.33,Commoner,391
