Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,67,141,49,Chaotic Evil,"[ 11, 08, 14, 11, 09, 14 ]",11.17,Commoner,318
Dwarf: ,Male,65,143,48,Chaotic Evil,"[ 09, 10, 10, 10, 09, 10 ]",9.67,Commoner,322
Dwarf: ,Male,63,153,53,True Neutral,"[ 15, 08, 09, 15, 13, 09 ]",11.5,Elite,336
Dwarf: ,Female,70,126,43,Chaotic Good,"[ 06, 12, 11, 10, 15, 04 ]",9.67,Commoner,441
Dwarf: ,Female,61,130,48,Lawful Evil,"[ 07, 09, 08, 17, 09, 12 ]",10.33,Commoner,419
Dwarf: ,Male,63,150,48,True Neutral,"[ 11, 10, 10, 10, 13, 05 ]",9.83,Commoner,388
Dwarf: ,Female,63,132,49,Lawful Evil,"[ 10, 07, 13, 13, 06, 09 ]",9.67,Commoner,292
Dwarf: ,Male,57,150,49,Lawful Good,"[ 07, 11, 13, 07, 14, 08 ]",10.0,Commoner,430
Dwarf: ,Male,73,152,45,Chaotic Evil,"[ 05, 09, 14, 06, 10, 08 ]",8.67,Commoner,381
Dwarf: ,Male,62,153,50,Chaotic Evil,"[ 10, 08, 06, 08, 09, 09 ]",8.33,Commoner,323
Dwarf: ,Male,68,148,48,Lawful Neutral,"[ 08, 11, 11, 09, 16, 09 ]",10.67,Commoner,409
Dwarf: ,Male,60,157,53,Chaotic Evil,"[ 10, 08, 12, 13, 09, 10 ]",10.33,Commoner,389
Dwarf: ,Male,75,147,44,Chaotic Neutral,"[ 10, 16, 04, 04, 11, 13 ]",9.67,Commoner,411
Dwarf: ,Female,59,129,44,Lawful Good,"[ 06, 12, 13, 13, 12, 06 ]",10.33,Commoner,375
Dwarf: ,Female,59,135,45,Lawful Neutral,"[ 05, 06, 08, 13, 06, 12 ]",8.33,Commoner,335
Dwarf: ,Female,70,130,44,Lawful Good,"[ 10, 08, 07, 12, 14, 07 ]",9.67,Commoner,340
Dwarf: ,Female,64,119,44,Neutral Good,"[ 05, 05, 08, 10, 07, 09 ]",7.33,Commoner,388
Dwarf: ,Male,65,156,49,Neutral Good,"[ 07, 05, 07, 04, 11, 11 ]",7.5,Commoner,386
Dwarf: ,Female,59,130,51,Lawful Evil,"[ 12, 09, 10, 07, 11, 08 ]",9.5,Commoner,383
Dwarf: ,Male,74,149,46,Neutral Evil,"[ 09, 09, 10, 12, 07, 10 ]",9.5,Commoner,357
Dwarf: ,Male,62,144,50,Chaotic Neutral,"[ 03, 12, 09, 12, 06, 12 ]",9.0,Commoner,360
Dwarf: ,Male,75,147,46,True Neutral,"[ 08, 10, 07, 10, 09, 05 ]",8.17,Commoner,378
Dwarf: ,Female,63,131,47,Chaotic Evil,"[ 11, 06, 07, 09, 08, 09 ]",8.33,Commoner,381
Gnome: ,Female,79,76,40,Lawful Neutral,"[ 13, 13, 10, 14, 14, 09 ]",12.17,Elite,282
Dwarf: ,Male,74,153,45,Chaotic Evil,"[ 03, 14, 08, 06, 08, 07 ]",7.67,Commoner,326
Dwarf: ,Female,69,127,46,Neutral Evil,"[ 09, 14, 09, 12, 07, 09 ]",10.0,Commoner,345
Dwarf: ,Male,73,149,53,Lawful Neutral,"[ 12, 08, 10, 09, 05, 12 ]",9.33,Commoner,336
Dwarf: ,Female,64,137,49,Chaotic Good,"[ 12, 07, 09, 07, 09, 11 ]",9.17,Commoner,354
