Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,66,129,47,Chaotic Good,"[ 09, 08, 07, 10, 12, 08 ]",9.0,Commoner,322
Dwarf: ,Male,64,155,47,Chaotic Evil,"[ 09, 09, 08, 05, 06, 08 ]",7.5,Commoner,383
Dwarf: ,Female,73,127,47,Chaotic Neutral,"[ 12, 08, 06, 05, 04, 12 ]",7.83,Commoner,300
Dwarf: ,Male,67,148,52,Neutral Evil,"[ 10, 03, 07, 08, 08, 11 ]",7.83,Commoner,288
Dwarf: ,Male,69,146,52,Chaotic Neutral,"[ 11, 14, 12, 11, 08, 04 ]",10.0,Commoner,304
Dwarf: ,Male,71,146,46,Lawful Evil,"[ 09, 09, 09, 07, 07, 08 ]",8.17,Commoner,401
Dwarf: ,Female,66,133,44,Neutral Good,"[ 09, 06, 11, 08, 09, 09 ]",8.67,Commoner,313
Dwarf: ,Female,64,117,46,Chaotic Evil,"[ 09, 11, 13, 07, 08, 04 ]",8.67,Commoner,360
Dwarf: ,Female,65,130,48,Chaotic Good,"[ 11, 08, 08, 09, 07, 08 ]",8.5,Commoner,366
Dwarf: ,Male,69,141,50,Lawful Evil,"[ 09, 09, 12, 13, 06, 09 ]",9.67,Commoner,348
Dwarf: ,Male,74,153,52,Chaotic Good,"[ 09, 09, 09, 08, 11, 10 ]",9.33,Commoner,357
Dwarf: ,Male,75,156,51,Lawful Evil,"[ 06, 04, 09, 07, 08, 05 ]",6.5,Commoner,380
Dwarf: ,Female,62,130,48,Lawful Evil,"[ 08, 13, 03, 11, 06, 07 ]",8.0,Commoner,312
Dwarf: ,Male,71,145,53,Lawful Evil,"[ 08, 08, 11, 10, 10, 05 ]",8.67,Commoner,397
Dwarf: ,Female,70,122,47,Chaotic Evil,"[ 13, 10, 08, 11, 12, 07 ]",10.17,Commoner,409
Dwarf: ,Male,70,147,45,True Neutral,"[ 09, 09, 08, 08, 08, 09 ]",8.5,Commoner,352
Dwarf: ,Male,65,151,47,Chaotic Good,"[ 11, 07, 08, 11, 09, 12 ]",9.67,Commoner,287
Dwarf: ,Male,58,162,47,Lawful Evil,"[ 09, 13, 13, 08, 08, 08 ]",9.83,Commoner,416
Dwarf: ,Female,78,131,51,Neutral Evil,"[ 07, 06, 15, 16, 06, 10 ]",10.0,Commoner,341
Halfling: ,Female,27,57,41,Neutral Evil,"[ 08, 12, 15, 10, 15, 12 ]",12.0,Elite,187
Dwarf: ,Male,74,155,47,Chaotic Evil,"[ 08, 07, 11, 09, 10, 08 ]",8.83,Commoner,288
Dwarf: ,Female,73,125,51,Lawful Neutral,"[ 05, 07, 04, 06, 09, 11 ]",7.0,Commoner,359
Dwarf: ,Female,75,138,47,Chaotic Neutral,"[ 11, 10, 08, 04, 08, 09 ]",8.33,Commoner,374
Dwarf: ,Female,69,132,43,Chaotic Neutral,"[ 10, 12, 06, 07, 10, 11 ]",9.33,Commoner,404
Dwarf: ,Female,67,118,47,Neutral Evil,"[ 14, 10, 10, 08, 08, 07 ]",9.5,Commoner,318
Dwarf: ,Male,72,155,49,Chaotic Neutral,"[ 10, 11, 10, 09, 10, 10 ]",10.0,Commoner,358
Dwarf: ,Female,65,136,49,Chaotic Evil,"[ 09, 08, 14, 14, 10, 10 ]",10.83,Commoner,389
Dwarf: ,Female,68,119,44,Lawful Evil,"[ 11, 13, 11, 13, 05, 09 ]",10.33,Commoner,353
Dwarf: ,Female,62,122,44,True Neutral,"[ 09, 15, 13, 04, 04, 04 ]",8.17,Commoner,300
Dwarf: ,Male,60,155,49,Chaotic Evil,"[ 07, 09, 04, 08, 10, 11 ]",8.17,Commoner,326
Dwarf: ,Female,64,128,44,True Neutral,"[ 07, 11, 07, 13, 07, 11 ]",9.33,Commoner,385
Dwarf: ,Male,69,150,44,Chaotic Neutral,"[ 08, 05, 13, 09, 12, 07 ]",9.0,Commoner,370
Dwarf: ,Male,70,155,51,Lawful Neutral,"[ 12, 11, 06, 10, 08, 11 ]",9.67,Commoner,276
Dwarf: ,Female,65,125,44,Chaotic Neutral,"[ 08, 12, 13, 06, 08, 05 ]",8.67,Commoner,410
Dwarf: ,Male,67,156,44,Chaotic Good,"[ 08, 10, 07, 12, 05, 11 ]",8.83,Commoner,416
Dwarf: ,Male,77,148,49,Lawful Evil,"[ 05, 09, 08, 11, 17, 05 ]",9.17,Commoner,379
Dwarf: ,Male,76,148,46,Lawful Good,"[ 09, 11, 10, 07, 04, 08 ]",8.17,Commoner,313
Dwarf: ,Female,72,135,43,Chaotic Evil,"[ 04, 10, 07, 12, 14, 08 ]",9.17,Commoner,395
Dwarf: ,Male,66,154,45,Chaotic Neutral,"[ 09, 10, 07, 12, 11, 08 ]",9.5,Commoner,389
Dwarf: ,Male,67,162,48,True Neutral,"[ 07, 12, 09, 12, 10, 12 ]",10.33,Commoner,337
Dwarf: ,Female,70,120,44,True Neutral,"[ 07, 09, 06, 03, 10, 12 ]",7.83,Commoner,377
Dwarf: ,Male,70,152,44,Neutral Evil,"[ 07, 09, 06, 10, 10, 06 ]",8.0,Commoner,379
Gnome: ,Male,83,82,39,True Neutral,"[ 14, 18, 17, 09, 10, 09 ]",12.83,Adventurer,343
Dwarf: ,Male,67,164,44,Neutral Good,"[ 07, 09, 11, 13, 05, 10 ]",9.17,Commoner,415
Dwarf: ,Male,75,140,47,Chaotic Evil,"[ 14, 03, 06, 11, 12, 09 ]",9.17,Commoner,326
Dwarf: ,Male,66,150,47,Neutral Evil,"[ 13, 10, 10, 12, 05, 07 ]",9.5,Commoner,316
Dwarf: ,Female,73,133,51,Lawful Good,"[ 07, 05, 10, 05, 15, 09 ]",8.5,Commoner,373
Dwarf: ,Male,69,149,46,Lawful Good,"[ 13, 13, 11, 14, 13, 06 ]",11.67,Elite,322
Dwarf: ,Male,76,162,47,Neutral Evil,"[ 11, 12, 09, 06, 15, 12 ]",10.83,Commoner,276
Dwarf: ,Male,70,160,46,Chaotic Good,"[ 04, 11, 07, 09, 08, 10 ]",8.17,Commoner,329
Dwarf: ,Male,64,147,53,Neutral Evil,"[ 05, 08, 06, 05, 08, 09 ]",6.83,Commoner,396
Dwarf: ,Male,61,151,52,Chaotic Neutral,"[ 12, 10, 08, 14, 09, 05 ]",9.67,Commoner,354
Dwarf: ,Female,69,131,49,Neutral Good,"[ 09, 06, 14, 10, 07, 09 ]",9.17,Commoner,264
Dwarf: ,Female,61,125,49,Lawful Neutral,"[ 09, 06, 11, 13, 10, 08 ]",9.5,Commoner,396
Dwarf: ,Female,75,132,43,Chaotic Good,"[ 04, 06, 10, 05, 07, 13 ]",7.5,Commoner,393
Dwarf: ,Male,74,146,44,Neutral Evil,"[ 09, 05, 09, 06, 07, 12 ]",8.0,Commoner,298
Dwarf: ,Female,68,128,44,Lawful Evil,"[ 06, 09, 12, 08, 09, 13 ]",9.5,Commoner,322
Dwarf: ,Female,74,133,51,Neutral Good,"[ 11, 08, 05, 08, 08, 03 ]",7.17,Commoner,262
Dwarf: ,Male,73,152,50,Chaotic Neutral,"[ 10, 14, 08, 07, 08, 13 ]",10.0,Commoner,347
Dwarf: ,Female,64,130,48,Neutral Good,"[ 07, 12, 12, 15, 12, 10 ]",11.33,Elite,334
Dwarf: ,Male,71,148,51,Chaotic Good,"[ 08, 05, 08, 09, 07, 07 ]",7.33,Commoner,380
Dwarf: ,Female,60,128,49,Neutral Evil,"[ 07, 14, 07, 07, 09, 07 ]",8.5,Commoner,374
Dwarf: ,Female,75,124,49,Chaotic Neutral,"[ 09, 09, 08, 10, 08, 13 ]",9.5,Commoner,298
Human: ,Female,17,138,69,Neutral Evil,"[ 12, 16, 17, 13, 10, 09 ]",12.83,Adventurer,110
Dwarf: ,Male,63,151,45,Lawful Neutral,"[ 12, 09, 15, 06, 05, 13 ]",10.0,Commoner,361
Dwarf: ,Male,60,158,51,Neutral Good,"[ 05, 11, 12, 12, 06, 13 ]",9.83,Commoner,308
Dwarf: ,Female,63,117,42,Chaotic Evil,"[ 06, 12, 05, 06, 10, 08 ]",7.83,Commoner,382
Dwarf: ,Female,63,125,47,Neutral Good,"[ 06, 13, 10, 09, 09, 13 ]",10.0,Commoner,389
Dwarf: ,Female,76,130,50,Lawful Evil,"[ 08, 08, 11, 08, 06, 12 ]",8.83,Commoner,393
Dwarf: ,Male,72,154,51,Lawful Evil,"[ 11, 09, 11, 12, 09, 11 ]",10.5,Commoner,324
Dwarf: ,Male,76,147,44,Chaotic Neutral,"[ 05, 13, 07, 13, 10, 08 ]",9.33,Commoner,365
Dwarf: ,Female,61,135,42,Lawful Evil,"[ 04, 09, 11, 07, 08, 09 ]",8.0,Commoner,343
Dwarf: ,Female,57,129,44,Lawful Good,"[ 10, 05, 11, 12, 09, 10 ]",9.5,Commoner,380
Dwarf: ,Female,74,119,51,Neutral Good,"[ 08, 11, 11, 11, 11, 10 ]",10.33,Commoner,410
Dwarf: ,Female,67,132,45,Neutral Evil,"[ 08, 10, 10, 14, 09, 12 ]",10.5,Commoner,380
Dwarf: ,Male,63,152,52,Lawful Neutral,"[ 15, 11, 07, 12, 07, 09 ]",10.17,Commoner,375
Dwarf: ,Male,69,151,48,Chaotic Good,"[ 12, 14, 07, 06, 05, 07 ]",8.5,Commoner,336
Dwarf: ,Male,66,159,48,Neutral Good,"[ 11, 07, 09, 10, 08, 11 ]",9.33,Commoner,439
Dwarf: ,Female,70,121,51,Neutral Evil,"[ 09, 11, 11, 05, 12, 09 ]",9.5,Commoner,319
Dwarf: ,Male,64,150,52,Lawful Good,"[ 09, 04, 08, 09, 09, 04 ]",7.17,Commoner,400
Dwarf: ,Male,59,154,44,Chaotic Neutral,"[ 13, 12, 08, 07, 10, 09 ]",9.83,Commoner,305
Dwarf: ,Male,66,155,52,Lawful Neutral,"[ 06, 09, 07, 12, 11, 12 ]",9.5,Commoner,411
Dwarf: ,Male,70,160,47,True Neutral,"[ 05, 08, 07, 09, 12, 08 ]",8.17,Commoner,406
Dwarf: ,Male,75,148,49,Neutral Evil,"[ 09, 07, 07, 08, 05, 07 ]",7.17,Commoner,312
Dwarf: ,Female,67,111,49,Lawful Neutral,"[ 10, 09, 15, 08, 12, 06 ]",10.0,Commoner,336
Dwarf: ,Male,68,156,49,Lawful Evil,"[ 11, 09, 08, 11, 14, 09 ]",10.33,Commoner,283
Dwarf: ,Female,71,123,49,Lawful Neutral,"[ 09, 03, 08, 09, 08, 09 ]",7.67,Commoner,340
Dwarf: ,Female,48,126,43,Chaotic Neutral,"[ 07, 05, 09, 08, 06, 07 ]",7.0,Commoner,321
Dwarf: ,Male,64,146,53,Lawful Neutral,"[ 11, 05, 12, 07, 09, 13 ]",9.5,Commoner,328
Dwarf: ,Female,67,136,44,Chaotic Evil,"[ 11, 11, 11, 11, 10, 06 ]",10.0,Commoner,357
Halfling: ,Female,24,63,38,Chaotic Evil,"[ 16, 13, 12, 16, 10, 12 ]",13.17,Adventurer,192
Dwarf: ,Female,60,122,50,Neutral Good,"[ 05, 11, 10, 06, 10, 11 ]",8.83,Commoner,407
Dwarf: ,Male,64,158,52,Lawful Neutral,"[ 10, 06, 07, 07, 09, 05 ]",7.33,Commoner,385
Dwarf: ,Male,81,148,51,True Neutral,"[ 12, 12, 06, 10, 08, 09 ]",9.5,Commoner,325
Dwarf: ,Male,63,143,46,Chaotic Neutral,"[ 11, 09, 12, 10, 11, 08 ]",10.17,Commoner,363
Dwarf: ,Female,81,127,50,Lawful Good,"[ 09, 13, 16, 10, 09, 12 ]",11.5,Elite,355
Dwarf: ,Female,66,129,50,Lawful Neutral,"[ 05, 07, 03, 06, 07, 06 ]",5.67,Commoner,367
Dwarf: ,Male,76,143,48,Chaotic Evil,"[ 11, 08, 12, 12, 11, 09 ]",10.5,Commoner,307
Dwarf: ,Female,55,126,45,Neutral Evil,"[ 11, 08, 10, 08, 06, 10 ]",8.83,Commoner,313
Dwarf: ,Female,69,129,46,Lawful Good,"[ 12, 04, 08, 07, 11, 07 ]",8.17,Commoner,352
Halfling: ,Female,28,61,45,True Neutral,"[ 11, 12, 14, 12, 16, 08 ]",12.17,Elite,178
Dwarf: ,Female,79,125,46,Chaotic Evil,"[ 09, 06, 07, 10, 08, 09 ]",8.17,Commoner,334
Dwarf: ,Male,71,162,53,Lawful Evil,"[ 09, 12, 08, 10, 06, 07 ]",8.67,Commoner,342
Elf: ,Female,120,93,56,Lawful Neutral,"[ 10, 10, 18, 13, 08, 13 ]",12.0,Elite,538
Dwarf: ,Male,72,148,50,Lawful Evil,"[ 12, 11, 07, 06, 09, 12 ]",9.5,Commoner,407
Dwarf: ,Female,65,135,47,Lawful Evil,"[ 11, 10, 03, 09, 04, 09 ]",7.67,Commoner,402
Dwarf: ,Female,70,129,49,Chaotic Good,"[ 10, 07, 10, 10, 13, 09 ]",9.83,Commoner,369
Dwarf: ,Female,67,131,47,Chaotic Evil,"[ 10, 09, 08, 11, 10, 05 ]",8.83,Commoner,373
Dwarf: ,Male,70,150,44,True Neutral,"[ 09, 06, 14, 08, 10, 08 ]",9.17,Commoner,351
Dwarf: ,Female,65,127,43,Chaotic Good,"[ 07, 10, 10, 10, 10, 08 ]",9.17,Commoner,381
Dwarf: ,Male,62,161,51,Neutral Good,"[ 07, 09, 08, 12, 09, 08 ]",8.83,Commoner,337
Dwarf: ,Female,77,129,51,Lawful Neutral,"[ 07, 15, 11, 07, 15, 07 ]",10.33,Commoner,339
Dwarf: ,Male,70,161,50,True Neutral,"[ 08, 09, 09, 07, 07, 08 ]",8.0,Commoner,317
Dwarf: ,Female,71,130,50,Neutral Evil,"[ 12, 12, 11, 09, 06, 07 ]",9.5,Commoner,319
Dwarf: ,Female,66,118,47,Neutral Evil,"[ 09, 13, 09, 04, 13, 05 ]",8.83,Commoner,411
Dwarf: ,Female,72,123,46,Chaotic Neutral,"[ 10, 09, 08, 07, 08, 10 ]",8.67,Commoner,335
Dwarf: ,Male,59,155,45,Neutral Evil,"[ 09, 08, 09, 07, 11, 13 ]",9.5,Commoner,353
Dwarf: ,Male,67,151,44,Neutral Good,"[ 06, 12, 11, 13, 13, 06 ]",10.17,Commoner,331
Dwarf: ,Male,63,153,46,Lawful Neutral,"[ 08, 10, 10, 12, 05, 12 ]",9.5,Commoner,344
Dwarf: ,Male,79,156,51,Lawful Evil,"[ 08, 11, 08, 12, 08, 07 ]",9.0,Commoner,354
Dwarf: ,Male,77,159,47,Chaotic Good,"[ 10, 09, 10, 08, 09, 13 ]",9.83,Commoner,383
Dwarf: ,Female,75,129,49,Chaotic Neutral,"[ 07, 10, 08, 10, 12, 05 ]",8.67,Commoner,352
Dwarf: ,Female,69,142,51,Lawful Evil,"[ 13, 12, 08, 16, 09, 07 ]",10.83,Commoner,320
Dwarf: ,Female,65,118,50,Lawful Neutral,"[ 13, 10, 08, 08, 11, 13 ]",10.5,Commoner,430
Dwarf: ,Female,69,118,42,Chaotic Good,"[ 11, 11, 05, 13, 10, 10 ]",10.0,Commoner,332
Dwarf: ,Female,64,128,46,Neutral Evil,"[ 06, 08, 07, 05, 10, 10 ]",7.67,Commoner,360
Dwarf: ,Female,62,134,46,Lawful Evil,"[ 06, 10, 10, 09, 09, 10 ]",9.0,Commoner,377
Dwarf: ,Female,67,139,46,Neutral Good,"[ 06, 09, 11, 09, 09, 06 ]",8.33,Commoner,358
Elf: ,Male,113,102,56,True Neutral,"[ 07, 14, 05, 15, 17, 13 ]",11.83,Elite,549
Dwarf: ,Female,65,124,47,Neutral Good,"[ 09, 10, 10, 04, 04, 07 ]",7.33,Commoner,361
Dwarf: ,Female,71,135,44,Chaotic Good,"[ 10, 10, 06, 09, 12, 12 ]",9.83,Commoner,329
Dwarf: ,Male,65,152,45,Lawful Good,"[ 12, 11, 06, 15, 13, 10 ]",11.17,Commoner,392
