Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,67,122,51,Lawful Good,"[ 09, 11, 08, 07, 09, 08 ]",8.67,Commoner,283
Dwarf: ,Male,76,153,51,Chaotic Neutral,"[ 07, 07, 08, 13, 10, 06 ]",8.5,Commoner,306
Dwarf: ,Female,71,136,51,Chaotic Neutral,"[ 08, 09, 07, 06, 05, 08 ]",7.17,Commoner,427
Dwarf: ,Female,89,130,51,Lawful Neutral,"[ 09, 11, 10, 08, 09, 07 ]",9.0,Commoner,404
Dwarf: ,Female,68,130,42,Chaotic Neutral,"[ 09, 06, 03, 09, 07, 10 ]",7.33,Commoner,356
Dwarf: ,Male,70,150,44,True Neutral,"[ 12, 08, 11, 06, 10, 05 ]",8.67,Commoner,366
Dwarf: ,Male,64,152,48,Neutral Evil,"[ 07, 14, 07, 09, 11, 06 ]",9.0,Commoner,367
Dwarf: ,Male,60,161,44,Neutral Good,"[ 11, 13, 03, 12, 11, 11 ]",10.17,Commoner,297
Dwarf: ,Female,65,122,51,True Neutral,"[ 07, 09, 09, 06, 08, 06 ]",7.5,Commoner,310
Dwarf: ,Female,77,119,42,Neutral Evil,"[ 13, 11, 08, 07, 10, 10 ]",9.83,Commoner,301
Dwarf: ,Male,60,148,52,Lawful Evil,"[ 08, 12, 06, 07, 10, 10 ]",8.83,Commoner,367
Dwarf: ,Male,73,148,45,Lawful Neutral,"[ 10, 14, 08, 11, 08, 07 ]",9.67,Commoner,390
Dwarf: ,Female,66,135,48,Lawful Good,"[ 10, 11, 12, 12, 12, 07 ]",10.67,Commoner,349
