Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,72,134,46,Chaotic Good,"[ 06, 13, 07, 10, 05, 07 ]",8.0,Commoner,362
Dwarf: ,Female,64,119,49,Lawful Neutral,"[ 09, 12, 12, 08, 12, 10 ]",10.5,Commoner,369
Dwarf: ,Female,64,132,47,Chaotic Neutral,"[ 06, 09, 05, 06, 12, 08 ]",7.67,Commoner,296
Dwarf: ,Male,84,155,44,Lawful Neutral,"[ 10, 07, 08, 11, 06, 12 ]",9.0,Commoner,304
Dwarf: ,Female,71,120,47,True Neutral,"[ 15, 12, 08, 10, 13, 06 ]",10.67,Commoner,348
Dwarf: ,Male,62,147,47,Lawful Good,"[ 06, 10, 11, 08, 11, 08 ]",9.0,Commoner,385
Dwarf: ,Female,63,134,46,Chaotic Good,"[ 10, 09, 15, 05, 11, 07 ]",9.5,Commoner,271
Dwarf: ,Male,73,147,49,Lawful Good,"[ 10, 09, 13, 08, 14, 14 ]",11.33,Elite,298
Dwarf: ,Male,68,149,52,Chaotic Neutral,"[ 08, 07, 13, 10, 06, 12 ]",9.33,Commoner,407
Dwarf: ,Female,64,128,46,Lawful Evil,"[ 13, 05, 09, 09, 11, 11 ]",9.67,Commoner,362
Dwarf: ,Male,67,164,53,Neutral Evil,"[ 06, 09, 06, 06, 03, 08 ]",6.33,Commoner,361
Dwarf: ,Male,70,165,49,Neutral Good,"[ 04, 10, 11, 08, 10, 07 ]",8.33,Commoner,288
Dwarf: ,Male,75,147,46,Chaotic Evil,"[ 13, 10, 07, 07, 09, 10 ]",9.33,Commoner,354
Dwarf: ,Female,64,137,48,True Neutral,"[ 08, 11, 09, 11, 14, 13 ]",11.0,Commoner,322
Dwarf: ,Male,74,159,51,Chaotic Good,"[ 07, 10, 14, 13, 12, 08 ]",10.67,Commoner,341
Dwarf: ,Male,60,155,50,Chaotic Evil,"[ 08, 13, 09, 10, 05, 08 ]",8.83,Commoner,346
Dwarf: ,Male,76,155,52,Neutral Evil,"[ 06, 07, 10, 08, 08, 05 ]",7.33,Commoner,375
Dwarf: ,Male,69,154,53,Lawful Neutral,"[ 15, 11, 09, 12, 08, 11 ]",11.0,Commoner,393
Dwarf: ,Female,58,129,43,Chaotic Neutral,"[ 06, 10, 04, 10, 07, 05 ]",7.0,Commoner,367
Elf: ,Female,118,91,58,Chaotic Good,"[ 15, 13, 06, 12, 14, 14 ]",12.33,Elite,628
Dwarf: ,Male,73,158,48,Lawful Evil,"[ 06, 13, 11, 15, 12, 08 ]",10.83,Commoner,378
