Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,68,131,50,True Neutral,"[ 09, 10, 10, 11, 10, 08 ]",9.67,Commoner,324
Dwarf: ,Female,74,134,48,Lawful Evil,"[ 13, 06, 08, 09, 08, 12 ]",9.33,Commoner,286
Dwarf: ,Female,70,126,49,Neutral Good,"[ 14, 08, 09, 03, 09, 10 ]",8.83,Commoner,326
Dwarf: ,Male,51,158,49,Chaotic Evil,"[ 10, 09, 10, 11, 11, 09 ]",10.0,Commoner,378
Dwarf: ,Female,70,127,47,Chaotic Good,"[ 06, 06, 08, 13, 07, 08 ]",8.0,Commoner,361
Dwarf: ,Female,60,129,45,Chaotic Good,"[ 07, 09, 12, 09, 06, 10 ]",8.83,Commoner,278
Dwarf: ,Male,66,149,53,Chaotic Good,"[ 14, 05, 09, 11, 07, 10 ]",9.33,Commoner,307
Dwarf: ,Female,65,127,43,Lawful Evil,"[ 13, 10, 05, 09, 07, 04 ]",8.0,Commoner,421
Dwarf: ,Female,63,131,48,Lawful Neutral,"[ 11, 11, 08, 11, 12, 05 ]",9.67,Commoner,385
Dwarf: ,Male,63,139,50,Lawful Evil,"[ 14, 08, 11, 07, 07, 05 ]",8.67,Commoner,390
Human: ,Male,19,178,68,Lawful Good,"[ 09, 13, 09, 14, 14, 15 ]",12.33,Elite,119
Dwarf: ,Female,74,137,50,Chaotic Good,"[ 06, 12, 08, 09, 05, 09 ]",8.17,Commoner,360
Dwarf: ,Female,76,137,44,Chaotic Good,"[ 10, 13, 06, 16, 11, 11 ]",11.17,Commoner,361
Dwarf: ,Male,66,155,51,Neutral Good,"[ 10, 10, 13, 10, 07, 09 ]",9.83,Commoner,382
Dwarf: ,Male,70,160,48,Chaotic Good,"[ 12, 05, 12, 07, 09, 13 ]",9.67,Commoner,342
Dwarf: ,Female,64,118,44,Lawful Evil,"[ 12, 08, 07, 09, 10, 09 ]",9.17,Commoner,394
Dwarf: ,Male,77,147,45,Chaotic Evil,"[ 13, 07, 06, 11, 09, 12 ]",9.67,Commoner,328
Dwarf: ,Female,62,122,47,Lawful Good,"[ 10, 11, 09, 13, 08, 07 ]",9.67,Commoner,369
Gnome: ,Male,72,85,41,Lawful Evil,"[ 18, 16, 12, 13, 10, 08 ]",12.83,Adventurer,404
Dwarf: ,Male,60,147,46,Lawful Evil,"[ 09, 11, 09, 07, 08, 05 ]",8.17,Commoner,422
Dwarf: ,Female,69,120,46,Chaotic Good,"[ 10, 08, 07, 08, 13, 06 ]",8.67,Commoner,328
Dwarf: ,Male,63,156,46,Lawful Neutral,"[ 12, 07, 10, 09, 11, 08 ]",9.5,Commoner,376
Halfling: ,Male,27,63,34,Chaotic Evil,"[ 11, 09, 12, 15, 12, 11 ]",11.67,Elite,121
Dwarf: ,Female,61,127,50,Chaotic Good,"[ 11, 07, 10, 06, 13, 09 ]",9.33,Commoner,354
Dwarf: ,Male,64,145,51,Chaotic Neutral,"[ 12, 10, 08, 09, 09, 05 ]",8.83,Commoner,380
Dwarf: ,Female,79,127,48,Chaotic Neutral,"[ 06, 14, 08, 11, 13, 08 ]",10.0,Commoner,375
Dwarf: ,Male,62,150,50,Lawful Neutral,"[ 04, 10, 12, 13, 10, 08 ]",9.5,Commoner,448
Dwarf: ,Female,80,125,47,Neutral Evil,"[ 09, 12, 12, 10, 07, 08 ]",9.67,Commoner,356
Dwarf: ,Female,72,131,46,Chaotic Neutral,"[ 10, 10, 13, 08, 09, 12 ]",10.33,Commoner,351
Elf: ,Female,112,87,51,Chaotic Neutral,"[ 10, 08, 13, 17, 16, 11 ]",12.5,Elite,501
Dwarf: ,Male,61,149,50,Lawful Good,"[ 06, 08, 11, 09, 08, 05 ]",7.83,Commoner,336
Dwarf: ,Female,70,124,50,Chaotic Good,"[ 09, 09, 12, 11, 07, 11 ]",9.83,Commoner,410
Dwarf: ,Female,71,118,44,Neutral Evil,"[ 05, 06, 07, 07, 13, 09 ]",7.83,Commoner,283
Dwarf: ,Female,65,130,43,Chaotic Neutral,"[ 05, 07, 11, 10, 13, 09 ]",9.17,Commoner,395
Dwarf: ,Male,64,153,47,Neutral Good,"[ 08, 08, 10, 14, 13, 08 ]",10.17,Commoner,348
Dwarf: ,Male,73,149,52,Neutral Good,"[ 11, 11, 08, 11, 03, 08 ]",8.67,Commoner,353
Dwarf: ,Male,74,152,53,Lawful Evil,"[ 09, 10, 11, 08, 09, 11 ]",9.67,Commoner,388
Dwarf: ,Female,71,123,42,Chaotic Neutral,"[ 08, 11, 09, 08, 08, 11 ]",9.17,Commoner,309
Dwarf: ,Male,62,155,51,Neutral Evil,"[ 11, 12, 09, 10, 05, 09 ]",9.33,Commoner,383
Half-Elf: ,Male,17,131,64,Neutral Good,"[ 17, 12, 10, 12, 10, 14 ]",12.5,Elite,156
Dwarf: ,Male,73,150,52,Chaotic Neutral,"[ 11, 09, 05, 08, 08, 10 ]",8.5,Commoner,378
Dwarf: ,Female,63,122,45,Lawful Good,"[ 12, 09, 12, 10, 10, 12 ]",10.83,Commoner,348
Dwarf: ,Female,60,129,44,True Neutral,"[ 10, 12, 08, 04, 07, 13 ]",9.0,Commoner,372
Human: ,Female,16,124,73,Lawful Evil,"[ 13, 15, 13, 14, 12, 11 ]",13.0,Adventurer,92
Dwarf: ,Female,59,125,43,Neutral Evil,"[ 12, 10, 08, 13, 12, 09 ]",10.67,Commoner,373
Dwarf: ,Male,61,157,48,Lawful Good,"[ 06, 08, 06, 09, 11, 12 ]",8.67,Commoner,364
Dwarf: ,Male,76,151,45,Neutral Evil,"[ 06, 10, 07, 10, 10, 10 ]",8.83,Commoner,320
Dwarf: ,Male,62,152,47,Chaotic Good,"[ 09, 12, 09, 11, 09, 09 ]",9.83,Commoner,346
Dwarf: ,Male,73,146,45,Chaotic Good,"[ 09, 12, 08, 12, 09, 10 ]",10.0,Commoner,382
Dwarf: ,Male,68,149,53,Lawful Good,"[ 11, 09, 05, 09, 08, 10 ]",8.67,Commoner,367
Dwarf: ,Female,65,120,45,Lawful Good,"[ 08, 09, 09, 03, 10, 10 ]",8.17,Commoner,327
Dwarf: ,Female,66,134,51,Lawful Neutral,"[ 06, 10, 09, 08, 07, 07 ]",7.83,Commoner,400
Dwarf: ,Male,64,154,50,Lawful Evil,"[ 17, 08, 07, 14, 08, 05 ]",9.83,Commoner,299
Dwarf: ,Male,68,139,49,Chaotic Evil,"[ 09, 10, 10, 10, 08, 11 ]",9.67,Commoner,386
Dwarf: ,Male,72,155,49,Chaotic Evil,"[ 07, 11, 09, 09, 13, 14 ]",10.5,Commoner,381
Dwarf: ,Male,56,156,45,Neutral Good,"[ 10, 15, 13, 08, 14, 08 ]",11.33,Elite,275
Dwarf: ,Male,68,147,45,Neutral Evil,"[ 07, 08, 06, 09, 09, 06 ]",7.5,Commoner,400
Dwarf: ,Male,68,140,44,Neutral Evil,"[ 12, 08, 11, 07, 12, 09 ]",9.83,Commoner,387
Dwarf: ,Female,54,128,44,Lawful Evil,"[ 06, 08, 07, 13, 09, 11 ]",9.0,Commoner,288
Dwarf: ,Female,78,128,47,Chaotic Good,"[ 10, 10, 07, 11, 07, 08 ]",8.83,Commoner,385
Dwarf: ,Male,62,152,50,Neutral Evil,"[ 16, 12, 12, 10, 07, 11 ]",11.33,Elite,394
Dwarf: ,Female,65,122,46,True Neutral,"[ 08, 09, 13, 14, 18, 12 ]",12.33,Elite,361
Dwarf: ,Female,63,141,44,Neutral Evil,"[ 08, 06, 07, 09, 03, 06 ]",6.5,Commoner,309
Dwarf: ,Female,70,120,48,Neutral Good,"[ 09, 10, 09, 12, 05, 06 ]",8.5,Commoner,410
Dwarf: ,Male,72,153,46,Lawful Evil,"[ 13, 08, 11, 14, 12, 10 ]",11.33,Elite,267
Dwarf: ,Female,73,124,47,Lawful Evil,"[ 08, 12, 10, 05, 09, 07 ]",8.5,Commoner,397
Dwarf: ,Male,66,149,44,Chaotic Good,"[ 08, 08, 09, 11, 13, 10 ]",9.83,Commoner,363
Dwarf: ,Female,60,130,46,Neutral Good,"[ 06, 09, 09, 07, 08, 09 ]",8.0,Commoner,311
Dwarf: ,Male,68,152,48,Chaotic Evil,"[ 09, 09, 07, 10, 07, 09 ]",8.5,Commoner,349
Dwarf: ,Male,77,151,44,Neutral Good,"[ 09, 12, 12, 14, 11, 08 ]",11.0,Commoner,306
Dwarf: ,Male,78,154,50,Neutral Good,"[ 09, 09, 10, 09, 09, 08 ]",9.0,Commoner,402
