Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,63,145,50,Neutral Evil,"[ 11, 11, 11, 12, 12, 06 ]",10.5,Commoner,367
Dwarf: ,Female,66,126,43,Chaotic Neutral,"[ 08, 09, 09, 07, 07, 10 ]",8.33,Commoner,342
Dwarf: ,Female,59,122,44,Chaotic Neutral,"[ 06, 15, 06, 09, 15, 10 ]",10.17,Commoner,420
Dwarf: ,Male,67,147,53,Lawful Evil,"[ 04, 07, 05, 04, 06, 08 ]",5.67,Commoner,296
Dwarf: ,Male,68,153,44,Lawful Neutral,"[ 04, 10, 06, 08, 08, 08 ]",7.33,Commoner,386
Dwarf: ,Male,66,147,52,Chaotic Good,"[ 07, 06, 12, 08, 10, 05 ]",8.0,Commoner,367
Dwarf: ,Female,75,133,51,Neutral Evil,"[ 06, 05, 11, 12, 09, 08 ]",8.5,Commoner,369
Dwarf: ,Female,60,119,51,Neutral Good,"[ 10, 05, 06, 15, 09, 07 ]",8.67,Commoner,418
Dwarf: ,Male,67,154,53,Chaotic Neutral,"[ 05, 14, 06, 12, 10, 10 ]",9.5,Commoner,359
Dwarf: ,Male,67,152,45,Lawful Neutral,"[ 10, 06, 09, 12, 07, 13 ]",9.5,Commoner,303
Dwarf: ,Female,60,130,46,Neutral Evil,"[ 11, 06, 09, 08, 15, 09 ]",9.67,Commoner,381
Dwarf: ,Female,62,126,42,Chaotic Evil,"[ 11, 10, 13, 08, 11, 08 ]",10.17,Commoner,342
Dwarf: ,Male,58,148,48,Chaotic Good,"[ 10, 09, 08, 05, 08, 07 ]",7.83,Commoner,364
Dwarf: ,Female,67,117,47,Lawful Good,"[ 11, 08, 05, 12, 06, 08 ]",8.33,Commoner,276
Dwarf: ,Female,71,131,43,Lawful Neutral,"[ 05, 09, 09, 14, 07, 13 ]",9.5,Commoner,359
Dwarf: ,Male,73,157,46,Lawful Neutral,"[ 08, 11, 12, 12, 10, 06 ]",9.83,Commoner,341
