Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,64,127,42,Chaotic Neutral,"[ 05, 05, 08, 10, 09, 08 ]",7.5,Commoner,398
Dwarf: ,Female,57,124,50,Neutral Good,"[ 04, 05, 11, 10, 06, 10 ]",7.67,Commoner,362
Dwarf: ,Female,84,127,44,Lawful Good,"[ 06, 05, 13, 09, 06, 09 ]",8.0,Commoner,297
Dwarf: ,Male,68,154,53,Chaotic Good,"[ 10, 09, 10, 11, 11, 09 ]",10.0,Commoner,335
Dwarf: ,Female,67,118,46,Chaotic Good,"[ 06, 08, 07, 11, 09, 05 ]",7.67,Commoner,353
Dwarf: ,Male,60,149,44,Lawful Evil,"[ 10, 11, 11, 11, 10, 10 ]",10.5,Commoner,327
Dwarf: ,Male,71,155,49,Lawful Neutral,"[ 12, 09, 07, 14, 12, 10 ]",10.67,Commoner,413
Dwarf: ,Female,79,120,47,Neutral Good,"[ 07, 13, 11, 11, 07, 10 ]",9.83,Commoner,304
Dwarf: ,Male,66,152,52,Chaotic Neutral,"[ 12, 13, 07, 09, 13, 12 ]",11.0,Commoner,433
Dwarf: ,Female,71,139,46,Chaotic Neutral,"[ 13, 11, 14, 11, 07, 07 ]",10.5,Commoner,386
Dwarf: ,Female,76,130,48,Lawful Neutral,"[ 09, 09, 08, 11, 11, 06 ]",9.0,Commoner,326
Halfling: ,Female,27,58,39,Lawful Good,"[ 06, 11, 13, 16, 16, 10 ]",12.0,Elite,190
Dwarf: ,Female,73,119,48,Lawful Evil,"[ 15, 13, 06, 05, 11, 08 ]",9.67,Commoner,358
Dwarf: ,Male,69,158,45,Chaotic Good,"[ 10, 06, 11, 07, 11, 09 ]",9.0,Commoner,287
Dwarf: ,Male,62,155,49,True Neutral,"[ 06, 11, 12, 10, 07, 11 ]",9.5,Commoner,372
Dwarf: ,Female,59,123,43,Lawful Neutral,"[ 10, 08, 10, 10, 08, 08 ]",9.0,Commoner,309
Dwarf: ,Female,57,117,43,Neutral Good,"[ 09, 11, 07, 10, 12, 03 ]",8.67,Commoner,355
Dwarf: ,Female,60,125,47,Chaotic Neutral,"[ 06, 07, 08, 12, 08, 07 ]",8.0,Commoner,381
Dwarf: ,Female,75,123,43,True Neutral,"[ 10, 08, 09, 10, 08, 11 ]",9.33,Commoner,292
Dwarf: ,Female,67,122,44,True Neutral,"[ 12, 10, 11, 11, 08, 05 ]",9.5,Commoner,342
Dwarf: ,Male,82,142,50,True Neutral,"[ 11, 10, 15, 11, 07, 09 ]",10.5,Commoner,411
Gnome: ,Male,72,84,44,Lawful Evil,"[ 14, 14, 09, 13, 14, 14 ]",13.0,Adventurer,417
Human: ,Female,17,125,71,Chaotic Good,"[ 08, 13, 16, 15, 14, 06 ]",12.0,Elite,99
Dwarf: ,Female,71,122,43,Neutral Good,"[ 07, 05, 15, 06, 07, 09 ]",8.17,Commoner,367
Dwarf: ,Female,68,133,47,Lawful Good,"[ 09, 03, 10, 06, 12, 04 ]",7.33,Commoner,340
Dwarf: ,Female,57,125,49,Neutral Good,"[ 12, 10, 07, 12, 07, 10 ]",9.67,Commoner,337
Dwarf: ,Male,79,151,48,Neutral Good,"[ 12, 09, 05, 10, 07, 13 ]",9.33,Commoner,354
Dwarf: ,Female,71,138,42,Chaotic Neutral,"[ 11, 13, 12, 11, 04, 08 ]",9.83,Commoner,313
Dwarf: ,Male,70,163,51,Neutral Good,"[ 08, 12, 16, 08, 11, 12 ]",11.17,Commoner,358
Dwarf: ,Male,68,154,50,Neutral Evil,"[ 07, 08, 13, 09, 08, 10 ]",9.17,Commoner,367
Dwarf: ,Male,61,154,53,Lawful Neutral,"[ 07, 10, 09, 06, 03, 14 ]",8.17,Commoner,311
Dwarf: ,Male,70,154,49,Neutral Evil,"[ 13, 11, 11, 09, 13, 10 ]",11.17,Commoner,396
Dwarf: ,Female,63,119,47,Chaotic Evil,"[ 04, 11, 08, 09, 10, 10 ]",8.67,Commoner,302
Dwarf: ,Male,62,154,44,Chaotic Neutral,"[ 12, 10, 14, 09, 10, 12 ]",11.17,Commoner,343
Dwarf: ,Male,62,157,52,Chaotic Neutral,"[ 07, 08, 09, 13, 07, 09 ]",8.83,Commoner,397
