Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,55,123,48,Lawful Good,"[ 09, 07, 04, 09, 10, 12 ]",8.5,Commoner,386
Dwarf: ,Female,70,128,49,True Neutral,"[ 03, 09, 10, 13, 10, 07 ]",8.67,Commoner,423
Half-Elf: ,Male,21,131,68,Lawful Good,"[ 18, 17, 09, 09, 09, 13 ]",12.5,Elite,159
Dwarf: ,Female,57,132,42,Chaotic Good,"[ 11, 11, 06, 07, 09, 11 ]",9.17,Commoner,318
Dwarf: ,Male,66,159,50,Chaotic Good,"[ 07, 03, 10, 16, 10, 16 ]",10.33,Commoner,369
Human: ,Female,16,142,75,Chaotic Evil,"[ 15, 13, 11, 10, 08, 18 ]",12.5,Elite,107
Dwarf: ,Male,65,153,49,Neutral Evil,"[ 08, 08, 07, 09, 10, 08 ]",8.33,Commoner,360
Halfling: ,Male,27,63,36,Lawful Evil,"[ 12, 17, 12, 17, 11, 11 ]",13.33,Adventurer,189
Dwarf: ,Female,71,133,47,Chaotic Neutral,"[ 12, 09, 07, 12, 10, 09 ]",9.83,Commoner,315
Dwarf: ,Female,78,117,47,True Neutral,"[ 06, 09, 08, 05, 05, 09 ]",7.0,Commoner,371
Half-Elf: ,Female,21,104,60,Lawful Good,"[ 09, 13, 15, 15, 16, 18 ]",14.33,Adventurer,165
Dwarf: ,Male,71,151,51,Chaotic Good,"[ 08, 05, 05, 09, 06, 08 ]",6.83,Commoner,372
Dwarf: ,Male,63,159,53,Lawful Neutral,"[ 08, 07, 08, 09, 09, 10 ]",8.5,Commoner,282
Dwarf: ,Male,64,161,52,Neutral Good,"[ 08, 13, 12, 08, 06, 17 ]",10.67,Commoner,406
Dwarf: ,Male,68,149,53,Lawful Neutral,"[ 13, 06, 09, 13, 10, 15 ]",11.0,Commoner,333
Dwarf: ,Male,60,151,49,Lawful Neutral,"[ 12, 11, 11, 12, 10, 13 ]",11.5,Elite,274
Dwarf: ,Male,72,145,48,Lawful Good,"[ 04, 10, 09, 07, 12, 10 ]",8.67,Commoner,371
Dwarf: ,Male,62,153,53,Chaotic Evil,"[ 05, 10, 08, 12, 09, 06 ]",8.33,Commoner,395
Dwarf: ,Male,52,164,49,Neutral Evil,"[ 09, 08, 11, 04, 08, 08 ]",8.0,Commoner,304
Dwarf: ,Female,68,129,45,Chaotic Evil,"[ 04, 09, 07, 08, 14, 09 ]",8.5,Commoner,279
Dwarf: ,Female,75,122,51,Chaotic Good,"[ 17, 12, 09, 15, 09, 09 ]",11.83,Elite,327
Dwarf: ,Female,67,131,43,Chaotic Neutral,"[ 09, 11, 08, 12, 04, 08 ]",8.67,Commoner,333
Dwarf: ,Female,73,126,45,Neutral Good,"[ 11, 09, 09, 10, 06, 06 ]",8.5,Commoner,325
Dwarf: ,Male,70,143,51,Neutral Evil,"[ 13, 14, 11, 05, 09, 06 ]",9.67,Commoner,350
Dwarf: ,Female,78,135,45,Chaotic Good,"[ 09, 06, 06, 08, 10, 08 ]",7.83,Commoner,348
Dwarf: ,Male,76,159,53,Lawful Good,"[ 05, 10, 03, 07, 13, 06 ]",7.33,Commoner,343
Dwarf: ,Male,66,147,46,True Neutral,"[ 06, 03, 10, 10, 03, 07 ]",6.5,Commoner,363
Dwarf: ,Male,70,145,52,Lawful Evil,"[ 08, 10, 08, 10, 06, 11 ]",8.83,Commoner,374
Dwarf: ,Male,66,158,48,Chaotic Good,"[ 10, 12, 06, 06, 14, 08 ]",9.33,Commoner,393
Dwarf: ,Male,63,142,49,Lawful Good,"[ 13, 11, 07, 05, 10, 10 ]",9.33,Commoner,421
Dwarf: ,Male,69,155,47,Lawful Good,"[ 06, 12, 08, 11, 11, 08 ]",9.33,Commoner,371
Dwarf: ,Male,57,157,48,True Neutral,"[ 14, 06, 10, 10, 08, 13 ]",10.17,Commoner,314
Dwarf: ,Female,74,127,42,Neutral Evil,"[ 12, 08, 06, 06, 06, 08 ]",7.67,Commoner,419
Dwarf: ,Male,63,149,45,Lawful Good,"[ 09, 05, 08, 09, 07, 12 ]",8.33,Commoner,349
Dwarf: ,Female,69,132,45,Lawful Neutral,"[ 11, 09, 05, 12, 08, 13 ]",9.67,Commoner,321
Dwarf: ,Male,69,147,52,Chaotic Neutral,"[ 10, 03, 13, 18, 11, 09 ]",10.67,Commoner,332
Dwarf: ,Female,66,119,44,Lawful Neutral,"[ 11, 13, 12, 07, 08, 12 ]",10.5,Commoner,393
Dwarf: ,Female,64,133,51,Chaotic Evil,"[ 05, 08, 04, 07, 11, 08 ]",7.17,Commoner,311
Dwarf: ,Male,65,159,48,Chaotic Neutral,"[ 10, 07, 05, 06, 09, 06 ]",7.17,Commoner,277
Dwarf: ,Male,64,145,50,Neutral Good,"[ 11, 03, 10, 09, 11, 08 ]",8.67,Commoner,418
Dwarf: ,Female,63,130,44,Chaotic Neutral,"[ 11, 05, 05, 11, 11, 10 ]",8.83,Commoner,307
Dwarf: ,Female,53,129,44,Lawful Neutral,"[ 11, 09, 09, 13, 05, 10 ]",9.5,Commoner,387
Dwarf: ,Male,71,155,49,Lawful Good,"[ 08, 08, 12, 13, 04, 11 ]",9.33,Commoner,327
Dwarf: ,Female,68,137,47,Lawful Evil,"[ 09, 09, 08, 12, 10, 09 ]",9.5,Commoner,345
Dwarf: ,Male,57,155,52,Lawful Good,"[ 09, 07, 14, 10, 06, 10 ]",9.33,Commoner,403
Dwarf: ,Female,64,125,51,Chaotic Evil,"[ 08, 10, 10, 11, 08, 13 ]",10.0,Commoner,368
Dwarf: ,Male,68,142,47,True Neutral,"[ 10, 10, 07, 06, 06, 12 ]",8.5,Commoner,363
Dwarf: ,Female,71,133,42,Chaotic Good,"[ 11, 06, 06, 11, 06, 09 ]",8.17,Commoner,348
Dwarf: ,Female,77,122,42,True Neutral,"[ 07, 12, 12, 08, 10, 10 ]",9.83,Commoner,330
Dwarf: ,Male,68,150,53,Neutral Good,"[ 13, 10, 10, 12, 04, 10 ]",9.83,Commoner,275
Dwarf: ,Female,61,130,47,Lawful Good,"[ 08, 08, 11, 09, 10, 08 ]",9.0,Commoner,423
Dwarf: ,Female,69,134,49,Chaotic Good,"[ 09, 10, 16, 10, 07, 08 ]",10.0,Commoner,350
Dwarf: ,Female,74,123,48,Lawful Good,"[ 14, 07, 10, 11, 13, 10 ]",10.83,Commoner,344
Dwarf: ,Male,67,162,49,True Neutral,"[ 13, 12, 10, 08, 09, 08 ]",10.0,Commoner,391
Dwarf: ,Male,74,147,44,Neutral Evil,"[ 10, 05, 11, 11, 12, 10 ]",9.83,Commoner,289
Dwarf: ,Male,66,157,45,Lawful Neutral,"[ 11, 07, 10, 08, 09, 06 ]",8.5,Commoner,296
Dwarf: ,Male,70,157,47,Neutral Good,"[ 08, 05, 10, 10, 07, 12 ]",8.67,Commoner,374
Dwarf: ,Male,71,143,49,Chaotic Neutral,"[ 14, 12, 12, 09, 04, 10 ]",10.17,Commoner,408
Human: ,Female,19,141,73,Chaotic Evil,"[ 14, 13, 11, 09, 17, 11 ]",12.5,Elite,122
Dwarf: ,Female,68,128,46,Lawful Good,"[ 10, 11, 10, 04, 10, 11 ]",9.33,Commoner,270
Dwarf: ,Female,76,132,46,Chaotic Evil,"[ 09, 09, 10, 10, 10, 14 ]",10.33,Commoner,308
Dwarf: ,Female,62,134,46,Chaotic Good,"[ 05, 10, 06, 10, 08, 06 ]",7.5,Commoner,293
Dwarf: ,Female,61,127,48,Chaotic Neutral,"[ 08, 09, 10, 09, 09, 09 ]",9.0,Commoner,434
Dwarf: ,Male,56,150,47,Neutral Evil,"[ 10, 11, 09, 08, 09, 10 ]",9.5,Commoner,357
Dwarf: ,Male,54,150,52,True Neutral,"[ 13, 10, 11, 11, 10, 13 ]",11.33,Elite,371
Dwarf: ,Male,72,152,48,Chaotic Evil,"[ 11, 10, 05, 08, 11, 07 ]",8.67,Commoner,395
Dwarf: ,Female,69,127,49,Lawful Neutral,"[ 12, 14, 08, 07, 10, 08 ]",9.83,Commoner,327
Dwarf: ,Male,59,155,45,Chaotic Neutral,"[ 08, 14, 07, 11, 08, 06 ]",9.0,Commoner,260
