Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,71,123,42,True Neutral,"[ 10, 14, 10, 10, 14, 08 ]",11.0,Commoner,399
Dwarf: ,Male,55,152,53,Lawful Neutral,"[ 09, 13, 10, 10, 09, 15 ]",11.0,Commoner,352
Dwarf: ,Male,63,155,46,True Neutral,"[ 11, 08, 10, 10, 08, 08 ]",9.17,Commoner,305
Dwarf: ,Male,64,151,45,Lawful Neutral,"[ 13, 10, 08, 08, 06, 09 ]",9.0,Commoner,263
Dwarf: ,Male,66,156,48,Lawful Evil,"[ 10, 06, 12, 12, 06, 09 ]",9.17,Commoner,353
Dwarf: ,Female,58,120,42,Chaotic Neutral,"[ 11, 05, 11, 11, 10, 08 ]",9.33,Commoner,298
Dwarf: ,Male,64,148,47,Chaotic Good,"[ 04, 12, 12, 09, 10, 08 ]",9.17,Commoner,416
Dwarf: ,Male,73,166,48,Neutral Evil,"[ 08, 12, 08, 05, 11, 08 ]",8.67,Commoner,338
Dwarf: ,Male,67,145,52,Neutral Good,"[ 07, 13, 11, 08, 09, 12 ]",10.0,Commoner,432
Dwarf: ,Female,64,120,49,Chaotic Neutral,"[ 10, 08, 06, 09, 11, 04 ]",8.0,Commoner,361
Dwarf: ,Female,70,130,42,Lawful Evil,"[ 10, 11, 08, 14, 12, 07 ]",10.33,Commoner,385
Half-Elf: ,Male,20,136,65,Neutral Evil,"[ 17, 13, 11, 10, 09, 10 ]",11.67,Elite,155
Dwarf: ,Female,65,126,46,Chaotic Evil,"[ 15, 06, 12, 09, 10, 08 ]",10.0,Commoner,374
Dwarf: ,Female,79,120,48,Lawful Good,"[ 08, 08, 08, 11, 08, 10 ]",8.83,Commoner,356
Dwarf: ,Male,65,154,48,Lawful Neutral,"[ 09, 07, 07, 07, 07, 10 ]",7.83,Commoner,323
Dwarf: ,Male,69,156,46,Chaotic Evil,"[ 10, 09, 10, 05, 09, 11 ]",9.0,Commoner,313
Halfling: ,Male,29,71,41,Chaotic Good,"[ 15, 09, 10, 13, 16, 10 ]",12.17,Elite,155
Dwarf: ,Female,71,132,47,Chaotic Neutral,"[ 12, 08, 08, 10, 05, 05 ]",8.0,Commoner,384
Human: ,Male,19,174,71,Lawful Neutral,"[ 08, 14, 12, 15, 11, 10 ]",11.67,Elite,111
Dwarf: ,Female,63,129,51,Lawful Neutral,"[ 12, 11, 09, 04, 09, 11 ]",9.33,Commoner,338
Gnome: ,Male,84,81,40,Neutral Evil,"[ 11, 11, 13, 12, 11, 13 ]",11.83,Elite,429
Dwarf: ,Female,74,115,50,Lawful Neutral,"[ 11, 14, 13, 06, 14, 11 ]",11.5,Elite,332
Dwarf: ,Female,62,126,50,Neutral Evil,"[ 08, 09, 07, 12, 08, 07 ]",8.5,Commoner,330
Dwarf: ,Male,66,158,46,Neutral Good,"[ 07, 14, 15, 07, 08, 18 ]",11.5,Elite,392
Dwarf: ,Female,71,121,45,Chaotic Good,"[ 10, 10, 14, 14, 08, 10 ]",11.0,Commoner,355
Dwarf: ,Male,61,144,53,Lawful Good,"[ 09, 09, 15, 07, 06, 10 ]",9.33,Commoner,381
Dwarf: ,Male,69,155,45,Chaotic Good,"[ 18, 09, 13, 06, 11, 05 ]",10.33,Commoner,371
Dwarf: ,Male,67,154,47,Chaotic Good,"[ 07, 09, 10, 07, 09, 18 ]",10.0,Commoner,374
Dwarf: ,Female,74,134,50,Chaotic Evil,"[ 08, 12, 10, 10, 10, 08 ]",9.67,Commoner,421
Dwarf: ,Male,62,151,53,Neutral Evil,"[ 12, 06, 07, 11, 08, 10 ]",9.0,Commoner,422
Dwarf: ,Male,74,151,52,Lawful Good,"[ 07, 10, 07, 09, 03, 09 ]",7.5,Commoner,407
Dwarf: ,Male,60,146,49,Lawful Good,"[ 10, 07, 08, 09, 09, 10 ]",8.83,Commoner,356
Dwarf: ,Female,75,128,42,Neutral Evil,"[ 10, 09, 07, 09, 07, 07 ]",8.17,Commoner,317
Dwarf: ,Male,70,156,49,Neutral Evil,"[ 06, 06, 07, 08, 07, 06 ]",6.67,Commoner,377
Dwarf: ,Male,77,150,52,Neutral Evil,"[ 14, 10, 12, 11, 17, 09 ]",12.17,Elite,426
Dwarf: ,Male,78,165,51,Chaotic Good,"[ 06, 08, 09, 08, 10, 11 ]",8.67,Commoner,396
Dwarf: ,Female,71,135,47,Lawful Neutral,"[ 11, 07, 07, 07, 10, 06 ]",8.0,Commoner,384
Dwarf: ,Female,72,124,42,Lawful Good,"[ 11, 09, 08, 13, 05, 10 ]",9.33,Commoner,400
Dwarf: ,Male,62,162,47,Neutral Good,"[ 12, 10, 05, 08, 11, 09 ]",9.17,Commoner,347
Dwarf: ,Female,67,132,51,Lawful Evil,"[ 08, 13, 10, 05, 10, 05 ]",8.5,Commoner,344
Dwarf: ,Female,59,124,44,Lawful Evil,"[ 14, 13, 11, 07, 12, 09 ]",11.0,Commoner,262
Dwarf: ,Male,60,156,49,Lawful Neutral,"[ 08, 09, 07, 12, 12, 05 ]",8.83,Commoner,381
Dwarf: ,Female,61,126,50,Lawful Neutral,"[ 13, 09, 12, 08, 12, 06 ]",10.0,Commoner,381
Dwarf: ,Female,59,132,45,Neutral Evil,"[ 10, 10, 12, 07, 11, 08 ]",9.67,Commoner,363
Dwarf: ,Male,64,151,45,Chaotic Evil,"[ 08, 08, 09, 11, 12, 11 ]",9.83,Commoner,373
Dwarf: ,Male,58,157,52,Lawful Good,"[ 10, 13, 09, 04, 10, 14 ]",10.0,Commoner,364
Halfling: ,Female,26,63,39,True Neutral,"[ 10, 08, 13, 12, 12, 15 ]",11.67,Elite,179
Dwarf: ,Male,64,153,49,Lawful Good,"[ 06, 10, 06, 11, 11, 07 ]",8.5,Commoner,350
Dwarf: ,Female,76,134,50,Neutral Evil,"[ 03, 13, 06, 06, 08, 10 ]",7.67,Commoner,324
Dwarf: ,Female,71,123,42,True Neutral,"[ 07, 09, 08, 09, 07, 08 ]",8.0,Commoner,329
Dwarf: ,Male,64,157,53,Lawful Neutral,"[ 11, 04, 12, 13, 11, 07 ]",9.67,Commoner,263
Dwarf: ,Female,77,125,43,Lawful Evil,"[ 04, 12, 08, 09, 13, 08 ]",9.0,Commoner,373
Dwarf: ,Female,64,118,50,Chaotic Good,"[ 09, 11, 08, 11, 06, 07 ]",8.67,Commoner,351
