Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,70,142,51,Chaotic Good,"[ 05, 10, 05, 18, 08, 11 ]",9.5,Commoner,397
Dwarf: ,Female,83,123,45,Chaotic Neutral,"[ 11, 06, 08, 07, 10, 10 ]",8.67,Commoner,292
Dwarf: ,Male,71,160,52,Lawful Evil,"[ 07, 07, 07, 07, 12, 06 ]",7.67,Commoner,340
Dwarf: ,Male,78,144,46,Lawful Neutral,"[ 08, 04, 10, 08, 03, 07 ]",6.67,Commoner,368
Dwarf: ,Male,68,145,53,Lawful Good,"[ 12, 05, 11, 04, 05, 08 ]",7.5,Commoner,352
Dwarf: ,Male,67,143,44,Neutral Evil,"[ 10, 12, 08, 10, 11, 10 ]",10.17,Commoner,428
Dwarf: ,Male,65,161,50,Lawful Good,"[ 07, 09, 05, 13, 08, 09 ]",8.5,Commoner,405
Dwarf: ,Female,77,127,50,Lawful Evil,"[ 09, 09, 12, 09, 11, 07 ]",9.5,Commoner,397
Dwarf: ,Male,63,153,45,Chaotic Evil,"[ 08, 11, 07, 10, 10, 07 ]",8.83,Commoner,348
Dwarf: ,Female,67,134,44,Chaotic Evil,"[ 09, 06, 05, 10, 09, 12 ]",8.5,Commoner,368
Dwarf: ,Male,69,152,48,True Neutral,"[ 07, 11, 13, 09, 13, 14 ]",11.17,Commoner,347
Dwarf: ,Male,56,150,49,True Neutral,"[ 10, 11, 06, 08, 12, 13 ]",10.0,Commoner,395
Dwarf: ,Female,57,127,47,Chaotic Evil,"[ 07, 06, 12, 06, 11, 10 ]",8.67,Commoner,302
Dwarf: ,Male,65,146,46,Lawful Neutral,"[ 14, 08, 07, 13, 11, 12 ]",10.83,Commoner,330
Dwarf: ,Female,65,128,51,Lawful Evil,"[ 06, 05, 10, 08, 09, 05 ]",7.17,Commoner,366
Dwarf: ,Female,66,122,43,Lawful Neutral,"[ 08, 10, 14, 13, 05, 06 ]",9.33,Commoner,375
Dwarf: ,Female,76,131,51,Lawful Neutral,"[ 09, 10, 06, 09, 06, 07 ]",7.83,Commoner,292
Dwarf: ,Female,78,130,49,Chaotic Evil,"[ 08, 12, 11, 07, 10, 11 ]",9.83,Commoner,342
Dwarf: ,Male,73,144,44,True Neutral,"[ 07, 09, 11, 09, 05, 04 ]",7.5,Commoner,344
Dwarf: ,Female,65,124,44,Neutral Evil,"[ 12, 11, 07, 10, 09, 05 ]",9.0,Commoner,272
Dwarf: ,Male,77,162,53,Lawful Good,"[ 06, 14, 18, 05, 10, 14 ]",11.17,Commoner,299
Dwarf: ,Female,61,125,47,Neutral Evil,"[ 07, 06, 08, 12, 10, 09 ]",8.67,Commoner,374
Dwarf: ,Female,79,128,42,Lawful Neutral,"[ 09, 07, 11, 06, 08, 11 ]",8.67,Commoner,428
Dwarf: ,Male,65,156,44,True Neutral,"[ 06, 09, 12, 13, 04, 10 ]",9.0,Commoner,319
Dwarf: ,Male,74,149,50,True Neutral,"[ 11, 09, 07, 05, 14, 08 ]",9.0,Commoner,359
Dwarf: ,Male,47,147,53,Neutral Good,"[ 14, 10, 07, 12, 11, 10 ]",10.67,Commoner,400
Dwarf: ,Male,68,154,52,Lawful Evil,"[ 12, 08, 08, 13, 07, 13 ]",10.17,Commoner,417
Dwarf: ,Female,69,127,50,Lawful Good,"[ 08, 14, 10, 09, 12, 10 ]",10.5,Commoner,314
Gnome: ,Female,89,81,40,Chaotic Good,"[ 11, 17, 13, 09, 11, 10 ]",11.83,Elite,405
Dwarf: ,Male,61,167,52,Neutral Good,"[ 16, 13, 16, 11, 12, 13 ]",13.5,Adventurer,425
Dwarf: ,Female,71,128,51,Chaotic Good,"[ 07, 08, 07, 11, 04, 07 ]",7.33,Commoner,278
Dwarf: ,Male,70,154,46,Lawful Good,"[ 08, 08, 09, 09, 10, 07 ]",8.5,Commoner,320
Dwarf: ,Male,58,156,44,Neutral Good,"[ 09, 10, 08, 12, 08, 05 ]",8.67,Commoner,352
Dwarf: ,Female,66,136,51,Lawful Neutral,"[ 08, 07, 09, 08, 08, 10 ]",8.33,Commoner,314
Dwarf: ,Male,67,141,45,True Neutral,"[ 11, 10, 13, 14, 08, 10 ]",11.0,Commoner,354
Dwarf: ,Female,69,122,45,Lawful Good,"[ 08, 09, 13, 13, 09, 10 ]",10.33,Commoner,325
Dwarf: ,Male,70,145,47,Lawful Evil,"[ 15, 09, 06, 11, 04, 12 ]",9.5,Commoner,281
Dwarf: ,Male,71,164,51,Lawful Neutral,"[ 03, 12, 08, 10, 05, 05 ]",7.17,Commoner,320
Dwarf: ,Female,61,131,42,Neutral Evil,"[ 10, 13, 07, 09, 09, 13 ]",10.17,Commoner,354
Dwarf: ,Male,78,155,50,Chaotic Evil,"[ 10, 13, 08, 04, 05, 08 ]",8.0,Commoner,276
Dwarf: ,Male,73,151,51,Neutral Evil,"[ 06, 11, 06, 13, 09, 11 ]",9.33,Commoner,406
Dwarf: ,Male,59,149,46,Neutral Good,"[ 11, 10, 11, 09, 13, 11 ]",10.83,Commoner,417
Dwarf: ,Male,67,146,48,Chaotic Neutral,"[ 12, 09, 07, 09, 08, 07 ]",8.67,Commoner,387
Dwarf: ,Female,50,132,47,Lawful Good,"[ 07, 09, 07, 09, 09, 04 ]",7.5,Commoner,364
Dwarf: ,Male,67,145,50,Chaotic Evil,"[ 10, 10, 11, 10, 09, 08 ]",9.67,Commoner,302
Dwarf: ,Male,78,143,49,Chaotic Neutral,"[ 13, 07, 11, 08, 08, 12 ]",9.83,Commoner,377
Dwarf: ,Male,64,150,45,Chaotic Good,"[ 06, 06, 11, 07, 08, 12 ]",8.33,Commoner,350
Dwarf: ,Female,76,120,50,Lawful Neutral,"[ 15, 10, 08, 13, 10, 08 ]",10.67,Commoner,305
Elf: ,Female,121,95,53,Neutral Good,"[ 13, 12, 15, 04, 13, 15 ]",12.0,Elite,498
Dwarf: ,Male,73,150,47,Chaotic Good,"[ 11, 09, 07, 14, 11, 05 ]",9.5,Commoner,389
Dwarf: ,Female,74,128,47,Lawful Neutral,"[ 11, 08, 08, 08, 09, 08 ]",8.67,Commoner,298
Dwarf: ,Female,76,138,47,Neutral Evil,"[ 07, 12, 08, 12, 12, 12 ]",10.5,Commoner,375
Dwarf: ,Female,64,121,46,True Neutral,"[ 14, 07, 08, 11, 04, 08 ]",8.67,Commoner,396
Dwarf: ,Male,75,151,51,Neutral Evil,"[ 11, 14, 08, 13, 06, 14 ]",11.0,Commoner,304
