Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,60,151,52,Lawful Neutral,"[ 08, 11, 12, 08, 04, 10 ]",8.83,Commoner,363
Dwarf: ,Male,66,154,51,True Neutral,"[ 08, 06, 07, 08, 06, 08 ]",7.17,Commoner,320
Dwarf: ,Male,59,144,50,Chaotic Neutral,"[ 12, 08, 08, 12, 16, 11 ]",11.17,Commoner,324
Dwarf: ,Female,56,127,45,Chaotic Neutral,"[ 08, 10, 09, 09, 10, 09 ]",9.17,Commoner,353
Dwarf: ,Male,69,161,49,Chaotic Evil,"[ 04, 06, 12, 07, 07, 05 ]",6.83,Commoner,329
Dwarf: ,Male,62,147,49,Chaotic Good,"[ 12, 08, 12, 13, 08, 10 ]",10.5,Commoner,293
Dwarf: ,Male,68,160,52,Neutral Good,"[ 09, 06, 08, 07, 11, 06 ]",7.83,Commoner,297
Dwarf: ,Male,65,148,51,Chaotic Good,"[ 12, 11, 13, 09, 09, 12 ]",11.0,Commoner,395
Dwarf: ,Male,66,158,46,Chaotic Neutral,"[ 09, 13, 09, 07, 04, 11 ]",8.83,Commoner,387
Dwarf: ,Male,68,151,50,Lawful Evil,"[ 05, 15, 10, 06, 12, 08 ]",9.33,Commoner,343
Dwarf: ,Male,71,155,53,Lawful Evil,"[ 14, 05, 08, 13, 10, 06 ]",9.33,Commoner,312
Dwarf: ,Male,52,166,46,Lawful Good,"[ 08, 10, 12, 08, 07, 14 ]",9.83,Commoner,423
Elf: ,Female,121,94,54,Chaotic Evil,"[ 11, 13, 12, 14, 11, 13 ]",12.33,Elite,649
Elf: ,Female,116,87,59,Neutral Evil,"[ 17, 09, 08, 11, 12, 16 ]",12.17,Elite,573
Dwarf: ,Female,63,139,51,Chaotic Evil,"[ 11, 06, 08, 08, 10, 06 ]",8.17,Commoner,260
Dwarf: ,Male,71,143,49,Neutral Evil,"[ 12, 10, 10, 05, 06, 10 ]",8.83,Commoner,368
Dwarf: ,Female,63,130,47,Chaotic Good,"[ 07, 06, 07, 08, 09, 11 ]",8.0,Commoner,327
Dwarf: ,Female,65,120,48,Chaotic Good,"[ 11, 12, 09, 10, 09, 05 ]",9.33,Commoner,305
Dwarf: ,Female,74,124,42,True Neutral,"[ 14, 06, 08, 10, 17, 11 ]",11.0,Commoner,338
Dwarf: ,Female,59,131,43,Chaotic Neutral,"[ 06, 07, 08, 12, 08, 08 ]",8.17,Commoner,390
Dwarf: ,Male,62,148,47,Chaotic Neutral,"[ 09, 10, 09, 05, 12, 11 ]",9.33,Commoner,416
Dwarf: ,Female,60,130,46,Chaotic Good,"[ 14, 12, 10, 10, 08, 10 ]",10.67,Commoner,376
Dwarf: ,Male,69,156,50,Chaotic Neutral,"[ 13, 10, 07, 09, 12, 12 ]",10.5,Commoner,328
Dwarf: ,Male,70,150,49,True Neutral,"[ 14, 12, 08, 07, 10, 11 ]",10.33,Commoner,363
Dwarf: ,Male,61,152,53,Chaotic Evil,"[ 08, 07, 11, 10, 10, 10 ]",9.33,Commoner,384
Elf: ,Male,120,104,64,Lawful Neutral,"[ 08, 17, 14, 12, 16, 06 ]",12.17,Elite,598
Dwarf: ,Male,63,152,51,Chaotic Neutral,"[ 11, 14, 10, 10, 18, 11 ]",12.33,Elite,334
Dwarf: ,Female,73,128,50,True Neutral,"[ 06, 07, 11, 09, 03, 07 ]",7.17,Commoner,332
Dwarf: ,Male,68,149,47,Neutral Good,"[ 06, 10, 09, 13, 08, 13 ]",9.83,Commoner,357
Dwarf: ,Male,81,165,47,Lawful Evil,"[ 08, 06, 13, 12, 12, 08 ]",9.83,Commoner,301
Dwarf: ,Male,68,154,46,Neutral Good,"[ 12, 17, 06, 06, 14, 08 ]",10.5,Commoner,422
Dwarf: ,Male,72,149,48,Lawful Evil,"[ 09, 09, 06, 08, 09, 09 ]",8.33,Commoner,315
Dwarf: ,Male,71,143,53,Lawful Good,"[ 08, 06, 09, 08, 05, 10 ]",7.67,Commoner,361
Dwarf: ,Male,72,159,45,Neutral Evil,"[ 08, 08, 09, 13, 09, 13 ]",10.0,Commoner,264
Dwarf: ,Female,65,130,44,Chaotic Good,"[ 13, 08, 12, 08, 10, 08 ]",9.83,Commoner,414
Dwarf: ,Male,68,148,48,Chaotic Good,"[ 08, 14, 07, 06, 10, 07 ]",8.67,Commoner,370
Human: ,Female,18,124,73,Lawful Evil,"[ 12, 10, 09, 12, 14, 14 ]",11.83,Elite,100
Human: ,Male,19,169,73,Chaotic Evil,"[ 08, 11, 15, 16, 14, 16 ]",13.33,Adventurer,119
Dwarf: ,Female,66,128,48,Neutral Evil,"[ 12, 09, 10, 07, 10, 04 ]",8.67,Commoner,297
Dwarf: ,Female,64,123,45,Lawful Neutral,"[ 12, 11, 04, 12, 09, 12 ]",10.0,Commoner,331
Dwarf: ,Female,65,134,47,True Neutral,"[ 13, 10, 06, 09, 07, 09 ]",9.0,Commoner,343
Gnome: ,Female,85,82,38,Chaotic Evil,"[ 12, 12, 11, 14, 13, 12 ]",12.33,Elite,399
Dwarf: ,Female,82,129,43,Chaotic Good,"[ 09, 10, 10, 05, 11, 08 ]",8.83,Commoner,406
Dwarf: ,Male,68,146,47,True Neutral,"[ 13, 05, 06, 09, 11, 08 ]",8.67,Commoner,271
Dwarf: ,Male,68,156,51,Chaotic Evil,"[ 08, 07, 04, 04, 08, 11 ]",7.0,Commoner,352
Dwarf: ,Male,60,148,48,True Neutral,"[ 10, 06, 10, 09, 12, 08 ]",9.17,Commoner,343
Human: ,Female,19,143,68,Chaotic Good,"[ 09, 12, 15, 10, 13, 11 ]",11.67,Elite,116
Dwarf: ,Female,72,126,45,Lawful Neutral,"[ 15, 05, 14, 09, 13, 03 ]",9.83,Commoner,374
