Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,66,135,47,Neutral Good,"[ 12, 08, 13, 10, 10, 12 ]",10.83,Commoner,378
Dwarf: ,Female,61,131,49,Lawful Neutral,"[ 12, 06, 04, 08, 10, 09 ]",8.17,Commoner,385
Dwarf: ,Male,66,162,47,Chaotic Evil,"[ 13, 09, 16, 11, 10, 08 ]",11.17,Commoner,330
Dwarf: ,Male,75,162,45,Neutral Good,"[ 13, 10, 09, 09, 11, 08 ]",10.0,Commoner,293
Dwarf: ,Female,66,125,51,True Neutral,"[ 04, 06, 09, 07, 12, 08 ]",7.67,Commoner,312
Dwarf: ,Female,69,119,49,Neutral Evil,"[ 10, 12, 11, 07, 11, 11 ]",10.33,Commoner,414
Dwarf: ,Female,63,121,42,True Neutral,"[ 07, 06, 09, 08, 09, 06 ]",7.5,Commoner,340
Dwarf: ,Female,71,126,44,Chaotic Evil,"[ 10, 05, 06, 12, 07, 08 ]",8.0,Commoner,300
Dwarf: ,Female,64,120,44,Lawful Neutral,"[ 11, 14, 11, 17, 10, 05 ]",11.33,Elite,313
Dwarf: ,Male,68,156,51,Lawful Good,"[ 08, 11, 05, 10, 07, 11 ]",8.67,Commoner,295
Dwarf: ,Male,70,154,45,Chaotic Evil,"[ 07, 11, 12, 08, 11, 08 ]",9.5,Commoner,405
Dwarf: ,Female,70,123,48,True Neutral,"[ 08, 11, 12, 06, 07, 12 ]",9.33,Commoner,389
Dwarf: ,Female,66,114,43,True Neutral,"[ 09, 11, 05, 11, 12, 09 ]",9.5,Commoner,289
Dwarf: ,Male,60,156,46,Lawful Good,"[ 09, 12, 12, 07, 15, 06 ]",10.17,Commoner,323
Dwarf: ,Female,69,124,48,True Neutral,"[ 11, 06, 06, 14, 09, 12 ]",9.67,Commoner,315
Dwarf: ,Female,60,120,44,Chaotic Neutral,"[ 10, 10, 06, 10, 06, 08 ]",8.33,Commoner,269
Dwarf: ,Female,63,123,49,Chaotic Evil,"[ 07, 10, 09, 09, 12, 06 ]",8.83,Commoner,276
Dwarf: ,Female,65,126,48,Lawful Neutral,"[ 08, 07, 05, 09, 10, 10 ]",8.17,Commoner,400
Dwarf: ,Male,54,159,53,Lawful Neutral,"[ 08, 09, 10, 06, 08, 10 ]",8.5,Commoner,310
Dwarf: ,Male,69,158,48,Neutral Good,"[ 12, 06, 12, 14, 14, 06 ]",10.67,Commoner,309
Dwarf: ,Female,70,138,48,Neutral Evil,"[ 04, 13, 08, 11, 05, 12 ]",8.83,Commoner,319
Dwarf: ,Male,78,155,53,Neutral Evil,"[ 10, 09, 06, 11, 11, 07 ]",9.0,Commoner,349
Dwarf: ,Male,55,154,44,Lawful Good,"[ 14, 07, 13, 13, 07, 11 ]",10.83,Commoner,347
Dwarf: ,Male,67,150,44,Lawful Neutral,"[ 07, 10, 12, 13, 12, 06 ]",10.0,Commoner,330
Dwarf: ,Male,71,156,47,Lawful Good,"[ 10, 09, 11, 12, 11, 15 ]",11.33,Elite,372
Dwarf: ,Male,61,151,44,Chaotic Evil,"[ 10, 06, 06, 09, 14, 09 ]",9.0,Commoner,309
Dwarf: ,Male,66,152,49,Lawful Neutral,"[ 15, 12, 13, 09, 08, 10 ]",11.17,Commoner,400
Dwarf: ,Female,63,133,47,Lawful Good,"[ 12, 07, 06, 06, 13, 10 ]",9.0,Commoner,382
Dwarf: ,Male,66,152,53,Neutral Good,"[ 08, 12, 05, 11, 14, 16 ]",11.0,Commoner,317
Dwarf: ,Male,70,144,51,Neutral Evil,"[ 11, 12, 15, 08, 06, 10 ]",10.33,Commoner,294
Dwarf: ,Female,74,117,44,Chaotic Good,"[ 13, 12, 07, 10, 06, 09 ]",9.5,Commoner,410
Dwarf: ,Male,65,150,53,Neutral Evil,"[ 08, 07, 09, 08, 10, 10 ]",8.67,Commoner,366
Dwarf: ,Male,62,155,45,Lawful Neutral,"[ 14, 06, 05, 05, 07, 11 ]",8.0,Commoner,342
Dwarf: ,Female,73,118,42,Lawful Evil,"[ 08, 09, 08, 07, 05, 04 ]",6.83,Commoner,351
Dwarf: ,Female,68,126,44,Neutral Evil,"[ 11, 10, 07, 05, 12, 06 ]",8.5,Commoner,410
Dwarf: ,Female,66,127,50,Chaotic Evil,"[ 08, 09, 12, 12, 11, 11 ]",10.5,Commoner,319
Dwarf: ,Male,61,158,45,Neutral Good,"[ 12, 08, 08, 07, 08, 10 ]",8.83,Commoner,307
Dwarf: ,Female,62,127,44,Chaotic Evil,"[ 08, 09, 08, 12, 09, 10 ]",9.33,Commoner,274
Dwarf: ,Female,76,125,46,Chaotic Evil,"[ 10, 09, 10, 07, 05, 07 ]",8.0,Commoner,387
Dwarf: ,Female,75,132,43,Chaotic Neutral,"[ 10, 09, 08, 09, 13, 11 ]",10.0,Commoner,361
Dwarf: ,Male,75,151,51,Neutral Evil,"[ 08, 11, 10, 04, 13, 07 ]",8.83,Commoner,319
Dwarf: ,Female,76,125,43,Lawful Good,"[ 09, 08, 06, 14, 09, 08 ]",9.0,Commoner,403
Dwarf: ,Female,70,126,49,Lawful Evil,"[ 06, 04, 09, 10, 04, 13 ]",7.67,Commoner,296
Dwarf: ,Male,76,154,49,Chaotic Good,"[ 08, 09, 07, 06, 07, 08 ]",7.5,Commoner,343
Dwarf: ,Male,66,153,52,Lawful Neutral,"[ 07, 05, 09, 14, 13, 06 ]",9.0,Commoner,277
Dwarf: ,Male,61,148,48,Lawful Neutral,"[ 10, 09, 06, 15, 10, 10 ]",10.0,Commoner,319
Dwarf: ,Male,67,150,49,Chaotic Neutral,"[ 08, 07, 13, 09, 09, 10 ]",9.33,Commoner,424
Dwarf: ,Female,66,125,51,Lawful Neutral,"[ 09, 12, 09, 10, 10, 07 ]",9.5,Commoner,359
Dwarf: ,Female,67,126,49,Neutral Evil,"[ 05, 09, 09, 07, 09, 05 ]",7.33,Commoner,331
Dwarf: ,Female,58,135,46,Chaotic Good,"[ 09, 07, 16, 13, 07, 12 ]",10.67,Commoner,389
Dwarf: ,Female,68,115,51,Neutral Good,"[ 11, 11, 10, 10, 08, 10 ]",10.0,Commoner,298
Dwarf: ,Male,68,156,51,Lawful Good,"[ 12, 06, 07, 10, 11, 09 ]",9.17,Commoner,387
Dwarf: ,Male,70,143,47,Lawful Neutral,"[ 05, 12, 08, 08, 11, 12 ]",9.33,Commoner,396
Dwarf: ,Male,64,139,46,Neutral Evil,"[ 06, 08, 06, 08, 12, 12 ]",8.67,Commoner,398
Dwarf: ,Female,66,130,45,Lawful Good,"[ 09, 04, 03, 14, 18, 15 ]",10.5,Commoner,374
Dwarf: ,Female,71,128,47,Chaotic Neutral,"[ 11, 08, 07, 07, 07, 08 ]",8.0,Commoner,284
Dwarf: ,Male,69,159,46,Lawful Neutral,"[ 13, 10, 14, 11, 06, 11 ]",10.83,Commoner,401
Dwarf: ,Male,71,152,52,Chaotic Evil,"[ 07, 10, 11, 12, 04, 09 ]",8.83,Commoner,271
Dwarf: ,Female,71,125,45,True Neutral,"[ 11, 11, 12, 06, 11, 08 ]",9.83,Commoner,392
Dwarf: ,Female,62,124,45,Lawful Good,"[ 06, 07, 09, 12, 08, 08 ]",8.33,Commoner,374
Dwarf: ,Male,67,155,44,Chaotic Evil,"[ 11, 11, 07, 08, 15, 11 ]",10.5,Commoner,341
Dwarf: ,Female,63,132,51,True Neutral,"[ 08, 08, 07, 07, 09, 08 ]",7.83,Commoner,363
Dwarf: ,Female,61,134,42,Lawful Evil,"[ 06, 10, 06, 12, 07, 13 ]",9.0,Commoner,314
Dwarf: ,Male,78,159,45,Lawful Neutral,"[ 12, 09, 08, 08, 15, 08 ]",10.0,Commoner,303
Dwarf: ,Male,60,149,53,Chaotic Evil,"[ 07, 08, 08, 06, 07, 10 ]",7.67,Commoner,393
Dwarf: ,Female,68,130,42,Lawful Evil,"[ 08, 09, 13, 11, 09, 08 ]",9.67,Commoner,348
Dwarf: ,Female,66,136,42,Chaotic Good,"[ 14, 09, 10, 10, 13, 10 ]",11.0,Commoner,342
Dwarf: ,Male,64,149,48,Lawful Neutral,"[ 08, 08, 08, 11, 08, 11 ]",9.0,Commoner,371
Dwarf: ,Male,72,146,45,Lawful Evil,"[ 12, 14, 12, 10, 13, 07 ]",11.33,Elite,412
Dwarf: ,Male,66,149,45,Lawful Evil,"[ 11, 05, 06, 12, 05, 10 ]",8.17,Commoner,328
Dwarf: ,Male,54,151,51,Chaotic Good,"[ 13, 03, 04, 13, 09, 11 ]",8.83,Commoner,277
Dwarf: ,Male,69,141,48,Chaotic Neutral,"[ 09, 08, 11, 07, 05, 07 ]",7.83,Commoner,426
Dwarf: ,Male,67,153,45,Lawful Good,"[ 06, 07, 06, 11, 10, 04 ]",7.33,Commoner,299
Half-Elf: ,Female,19,110,67,Neutral Good,"[ 08, 17, 13, 12, 11, 12 ]",12.17,Elite,143
Dwarf: ,Female,73,122,44,Chaotic Evil,"[ 11, 03, 09, 06, 07, 06 ]",7.0,Commoner,311
Dwarf: ,Male,74,155,53,Lawful Evil,"[ 07, 09, 05, 09, 06, 08 ]",7.33,Commoner,394
Dwarf: ,Male,67,150,50,Neutral Evil,"[ 08, 10, 10, 05, 12, 07 ]",8.67,Commoner,381
Dwarf: ,Female,65,136,48,Lawful Evil,"[ 10, 09, 09, 08, 06, 12 ]",9.0,Commoner,347
Dwarf: ,Female,66,134,44,Neutral Good,"[ 06, 07, 08, 11, 10, 11 ]",8.83,Commoner,344
Dwarf: ,Female,62,131,47,Lawful Good,"[ 06, 10, 09, 10, 07, 07 ]",8.17,Commoner,395
Dwarf: ,Male,67,148,45,Chaotic Neutral,"[ 10, 05, 08, 09, 08, 09 ]",8.17,Commoner,335
Dwarf: ,Male,71,157,49,Lawful Neutral,"[ 06, 10, 10, 07, 13, 10 ]",9.33,Commoner,364
Dwarf: ,Female,76,143,43,Neutral Good,"[ 10, 10, 08, 10, 12, 08 ]",9.67,Commoner,278
Dwarf: ,Male,71,158,45,Chaotic Neutral,"[ 14, 09, 07, 05, 09, 07 ]",8.5,Commoner,356
Dwarf: ,Female,69,128,46,True Neutral,"[ 12, 10, 11, 08, 09, 08 ]",9.67,Commoner,366
Dwarf: ,Female,67,120,43,Chaotic Neutral,"[ 04, 06, 04, 12, 12, 10 ]",8.0,Commoner,332
Dwarf: ,Male,63,152,53,Neutral Evil,"[ 08, 12, 13, 09, 13, 08 ]",10.5,Commoner,389
Human: ,Female,19,132,71,Lawful Good,"[ 12, 12, 13, 09, 16, 12 ]",12.33,Elite,97
Dwarf: ,Female,62,131,51,Chaotic Good,"[ 09, 10, 11, 08, 11, 13 ]",10.33,Commoner,345
Dwarf: ,Male,71,159,45,Chaotic Neutral,"[ 08, 08, 09, 11, 11, 07 ]",9.0,Commoner,315
Dwarf: ,Male,71,159,48,Neutral Good,"[ 08, 07, 07, 06, 12, 10 ]",8.33,Commoner,326
Dwarf: ,Female,65,134,49,Lawful Neutral,"[ 15, 17, 03, 08, 18, 03 ]",10.67,Commoner,377
Dwarf: ,Male,74,162,50,Lawful Good,"[ 04, 13, 08, 09, 15, 05 ]",9.0,Commoner,353
Dwarf: ,Male,79,152,53,Neutral Evil,"[ 10, 07, 06, 09, 15, 13 ]",10.0,Commoner,400
Halfling: ,Male,27,65,38,Neutral Good,"[ 08, 07, 16, 14, 15, 13 ]",12.17,Elite,169
Dwarf: ,Male,73,153,52,Lawful Neutral,"[ 11, 08, 09, 13, 09, 14 ]",10.67,Commoner,320
Dwarf: ,Female,62,121,42,True Neutral,"[ 13, 10, 16, 09, 10, 05 ]",10.5,Commoner,392
Dwarf: ,Male,64,160,50,Lawful Good,"[ 10, 11, 11, 06, 12, 08 ]",9.67,Commoner,265
Dwarf: ,Male,69,151,44,Lawful Neutral,"[ 10, 03, 09, 06, 13, 07 ]",8.0,Commoner,302
Dwarf: ,Female,66,131,46,Lawful Evil,"[ 07, 11, 09, 12, 09, 07 ]",9.17,Commoner,342
Dwarf: ,Female,63,122,47,Lawful Good,"[ 05, 05, 14, 08, 13, 11 ]",9.33,Commoner,306
Dwarf: ,Male,62,151,52,Chaotic Neutral,"[ 08, 14, 06, 08, 04, 09 ]",8.17,Commoner,348
Dwarf: ,Male,63,148,45,Chaotic Good,"[ 08, 13, 12, 07, 06, 07 ]",8.83,Commoner,373
Dwarf: ,Male,68,156,51,Chaotic Good,"[ 10, 06, 10, 10, 13, 12 ]",10.17,Commoner,408
Dwarf: ,Female,62,129,42,Neutral Good,"[ 09, 07, 15, 14, 10, 09 ]",10.67,Commoner,418
Dwarf: ,Female,71,119,42,Chaotic Good,"[ 14, 09, 11, 09, 10, 06 ]",9.83,Commoner,400
Dwarf: ,Female,70,125,44,Chaotic Neutral,"[ 15, 07, 10, 05, 09, 12 ]",9.67,Commoner,339
Dwarf: ,Male,58,153,46,Lawful Good,"[ 13, 10, 07, 08, 08, 10 ]",9.33,Commoner,415
Dwarf: ,Female,83,130,46,Chaotic Good,"[ 11, 08, 07, 10, 09, 08 ]",8.83,Commoner,374
Dwarf: ,Female,72,125,48,Lawful Neutral,"[ 08, 10, 08, 14, 12, 09 ]",10.17,Commoner,347
Dwarf: ,Male,73,145,52,Chaotic Neutral,"[ 11, 09, 11, 11, 11, 09 ]",10.33,Commoner,310
Dwarf: ,Male,66,151,44,True Neutral,"[ 10, 07, 05, 11, 12, 09 ]",9.0,Commoner,307
Dwarf: ,Male,70,150,46,Lawful Evil,"[ 14, 09, 11, 12, 05, 08 ]",9.83,Commoner,258
Dwarf: ,Male,66,155,53,Neutral Evil,"[ 11, 11, 11, 07, 09, 04 ]",8.83,Commoner,367
Dwarf: ,Female,61,119,46,Lawful Good,"[ 11, 04, 13, 12, 03, 11 ]",9.0,Commoner,298
Dwarf: ,Female,71,128,50,True Neutral,"[ 10, 07, 13, 08, 11, 10 ]",9.83,Commoner,302
Dwarf: ,Male,64,143,51,Chaotic Neutral,"[ 07, 12, 08, 06, 08, 05 ]",7.67,Commoner,302
Dwarf: ,Female,78,124,46,Lawful Evil,"[ 12, 08, 12, 13, 09, 08 ]",10.33,Commoner,373
Dwarf: ,Male,72,156,44,Lawful Evil,"[ 05, 10, 08, 12, 09, 06 ]",8.33,Commoner,400
Dwarf: ,Female,72,115,49,Chaotic Evil,"[ 07, 10, 11, 11, 11, 09 ]",9.83,Commoner,371
Dwarf: ,Female,69,125,51,Chaotic Evil,"[ 09, 10, 09, 12, 05, 14 ]",9.83,Commoner,386
Dwarf: ,Male,77,139,44,Neutral Evil,"[ 09, 10, 10, 10, 10, 09 ]",9.67,Commoner,372
Dwarf: ,Male,72,154,52,Chaotic Good,"[ 10, 07, 12, 10, 13, 16 ]",11.33,Elite,409
