Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,84,143,49,Lawful Evil,"[ 06, 11, 09, 13, 10, 08 ]",9.5,Commoner,357
Dwarf: ,Male,73,156,44,Lawful Good,"[ 08, 11, 09, 11, 11, 14 ]",10.67,Commoner,356
Dwarf: ,Female,60,122,49,Neutral Evil,"[ 09, 10, 08, 13, 05, 08 ]",8.83,Commoner,371
Dwarf: ,Male,64,150,53,Chaotic Evil,"[ 08, 11, 08, 10, 10, 09 ]",9.33,Commoner,435
Dwarf: ,Female,69,129,42,Chaotic Good,"[ 09, 08, 10, 06, 06, 08 ]",7.83,Commoner,361
Dwarf: ,Male,66,158,45,Chaotic Evil,"[ 12, 08, 06, 17, 16, 15 ]",12.33,Elite,333
Dwarf: ,Male,72,151,50,Chaotic Neutral,"[ 06, 08, 07, 10, 10, 14 ]",9.17,Commoner,306
Dwarf: ,Male,64,163,53,Lawful Good,"[ 11, 07, 12, 07, 10, 12 ]",9.83,Commoner,397
Dwarf: ,Female,76,131,47,True Neutral,"[ 10, 12, 07, 14, 13, 06 ]",10.33,Commoner,325
Dwarf: ,Male,68,156,45,True Neutral,"[ 10, 14, 08, 10, 04, 10 ]",9.33,Commoner,425
Dwarf: ,Male,76,161,50,Neutral Good,"[ 11, 10, 06, 05, 05, 12 ]",8.17,Commoner,435
Dwarf: ,Female,66,129,48,Chaotic Neutral,"[ 07, 10, 09, 05, 14, 11 ]",9.33,Commoner,373
Dwarf: ,Male,64,143,49,Lawful Neutral,"[ 15, 08, 11, 16, 07, 06 ]",10.5,Commoner,435
Dwarf: ,Male,56,158,48,Lawful Good,"[ 12, 08, 08, 12, 09, 08 ]",9.5,Commoner,291
Dwarf: ,Male,74,146,51,Neutral Evil,"[ 08, 11, 09, 06, 08, 13 ]",9.17,Commoner,331
Dwarf: ,Male,63,145,45,Neutral Good,"[ 10, 09, 11, 11, 06, 09 ]",9.33,Commoner,377
Dwarf: ,Male,72,151,51,Neutral Evil,"[ 03, 09, 09, 10, 08, 11 ]",8.33,Commoner,389
Dwarf: ,Male,70,149,47,Chaotic Good,"[ 17, 18, 07, 06, 10, 03 ]",10.17,Commoner,335
Dwarf: ,Male,69,163,50,Neutral Good,"[ 11, 05, 05, 09, 08, 07 ]",7.5,Commoner,328
Dwarf: ,Female,73,116,47,Neutral Evil,"[ 12, 06, 09, 11, 07, 11 ]",9.33,Commoner,391
Dwarf: ,Male,69,156,49,Lawful Evil,"[ 06, 07, 09, 07, 08, 11 ]",8.0,Commoner,359
Dwarf: ,Male,76,153,47,Chaotic Good,"[ 07, 05, 07, 06, 13, 07 ]",7.5,Commoner,322
Dwarf: ,Male,71,149,50,Chaotic Neutral,"[ 08, 12, 12, 10, 05, 09 ]",9.33,Commoner,418
Dwarf: ,Male,74,150,45,Neutral Evil,"[ 07, 12, 07, 13, 11, 12 ]",10.33,Commoner,293
Dwarf: ,Male,57,159,45,Neutral Good,"[ 04, 04, 12, 06, 10, 09 ]",7.5,Commoner,395
Human: ,Male,16,177,75,True Neutral,"[ 10, 12, 13, 09, 18, 10 ]",12.0,Elite,111
Dwarf: ,Female,67,127,49,Neutral Good,"[ 13, 05, 08, 06, 13, 06 ]",8.5,Commoner,371
Dwarf: ,Female,72,125,43,Neutral Evil,"[ 05, 08, 06, 10, 12, 04 ]",7.5,Commoner,360
Dwarf: ,Male,72,159,51,Lawful Neutral,"[ 10, 07, 05, 09, 12, 09 ]",8.67,Commoner,411
Dwarf: ,Female,73,127,47,Lawful Good,"[ 09, 05, 06, 10, 09, 06 ]",7.5,Commoner,326
Dwarf: ,Male,69,150,48,Chaotic Evil,"[ 14, 07, 08, 11, 10, 12 ]",10.33,Commoner,364
Dwarf: ,Male,64,157,50,Chaotic Evil,"[ 13, 08, 09, 08, 07, 11 ]",9.33,Commoner,402
