Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,59,163,49,Chaotic Good,"[ 13, 14, 11, 06, 16, 03 ]",10.5,Commoner,348
Half-Elf: ,Female,18,113,64,Lawful Neutral,"[ 10, 12, 09, 17, 16, 11 ]",12.5,Elite,155
Dwarf: ,Female,62,127,46,Lawful Neutral,"[ 13, 09, 10, 10, 11, 12 ]",10.83,Commoner,397
Dwarf: ,Female,66,124,47,Lawful Good,"[ 11, 09, 09, 13, 15, 04 ]",10.17,Commoner,298
Dwarf: ,Male,78,153,47,Chaotic Good,"[ 09, 05, 09, 09, 07, 13 ]",8.67,Commoner,341
Dwarf: ,Male,71,146,48,Lawful Evil,"[ 08, 05, 13, 09, 09, 08 ]",8.67,Commoner,409
Dwarf: ,Female,59,123,45,Chaotic Good,"[ 09, 12, 14, 05, 12, 14 ]",11.0,Commoner,345
Dwarf: ,Female,69,134,49,Neutral Good,"[ 13, 09, 12, 08, 10, 04 ]",9.33,Commoner,370
Dwarf: ,Female,63,124,42,Lawful Neutral,"[ 06, 12, 10, 07, 08, 11 ]",9.0,Commoner,323
Dwarf: ,Female,70,114,48,Chaotic Evil,"[ 03, 11, 06, 12, 12, 10 ]",9.0,Commoner,360
Dwarf: ,Female,72,132,51,Lawful Evil,"[ 09, 13, 12, 04, 07, 07 ]",8.67,Commoner,360
Human: ,Female,16,139,68,Neutral Good,"[ 12, 08, 14, 18, 10, 14 ]",12.67,Elite,108
Dwarf: ,Female,66,130,49,Chaotic Neutral,"[ 10, 10, 11, 07, 06, 07 ]",8.5,Commoner,391
Dwarf: ,Female,63,129,43,Neutral Evil,"[ 09, 07, 07, 08, 13, 06 ]",8.33,Commoner,341
Dwarf: ,Female,65,125,45,True Neutral,"[ 13, 06, 11, 07, 11, 15 ]",10.5,Commoner,266
Dwarf: ,Female,69,126,44,Neutral Evil,"[ 05, 12, 03, 08, 08, 14 ]",8.33,Commoner,271
Dwarf: ,Male,78,155,50,Lawful Evil,"[ 05, 07, 10, 07, 08, 10 ]",7.83,Commoner,360
Dwarf: ,Female,60,133,47,Neutral Good,"[ 04, 14, 13, 12, 10, 10 ]",10.5,Commoner,382
Dwarf: ,Female,62,128,47,Chaotic Evil,"[ 10, 10, 14, 12, 11, 06 ]",10.5,Commoner,361
Dwarf: ,Male,67,148,48,Lawful Evil,"[ 06, 10, 04, 09, 09, 15 ]",8.83,Commoner,344
Dwarf: ,Male,66,153,46,Lawful Neutral,"[ 09, 09, 10, 05, 10, 13 ]",9.33,Commoner,328
Dwarf: ,Female,70,138,50,Lawful Evil,"[ 09, 04, 05, 07, 13, 05 ]",7.17,Commoner,316
Dwarf: ,Female,72,115,47,Lawful Evil,"[ 09, 10, 11, 09, 09, 09 ]",9.5,Commoner,260
Dwarf: ,Male,65,151,46,Chaotic Evil,"[ 12, 14, 14, 07, 04, 14 ]",10.83,Commoner,341
Dwarf: ,Female,73,129,46,Neutral Good,"[ 09, 09, 08, 08, 08, 08 ]",8.33,Commoner,380
Dwarf: ,Female,52,125,46,Neutral Evil,"[ 05, 09, 08, 10, 09, 12 ]",8.83,Commoner,374
Dwarf: ,Male,61,143,53,Chaotic Neutral,"[ 11, 10, 08, 06, 11, 06 ]",8.67,Commoner,338
Dwarf: ,Male,62,148,47,Lawful Neutral,"[ 10, 10, 08, 15, 12, 07 ]",10.33,Commoner,396
Dwarf: ,Female,64,130,44,Neutral Good,"[ 05, 10, 07, 14, 09, 09 ]",9.0,Commoner,325
Dwarf: ,Male,63,157,44,Neutral Evil,"[ 12, 09, 06, 09, 12, 10 ]",9.67,Commoner,414
Dwarf: ,Female,64,132,43,Lawful Neutral,"[ 08, 12, 06, 10, 10, 12 ]",9.67,Commoner,337
Dwarf: ,Male,66,149,51,Lawful Evil,"[ 09, 09, 13, 12, 06, 07 ]",9.33,Commoner,377
Dwarf: ,Male,63,153,49,Lawful Evil,"[ 10, 09, 12, 11, 08, 06 ]",9.33,Commoner,340
Dwarf: ,Male,63,148,52,Neutral Good,"[ 07, 09, 06, 11, 09, 08 ]",8.33,Commoner,349
Dwarf: ,Female,52,125,49,Lawful Evil,"[ 09, 10, 05, 05, 12, 08 ]",8.17,Commoner,417
Dwarf: ,Female,66,128,46,True Neutral,"[ 07, 12, 12, 09, 12, 08 ]",10.0,Commoner,359
Dwarf: ,Female,64,131,50,Chaotic Evil,"[ 10, 07, 09, 13, 07, 12 ]",9.67,Commoner,324
Dwarf: ,Male,58,158,49,Chaotic Neutral,"[ 10, 09, 11, 08, 14, 06 ]",9.67,Commoner,404
Dwarf: ,Female,64,133,49,Chaotic Good,"[ 06, 07, 07, 05, 13, 08 ]",7.67,Commoner,379
Dwarf: ,Female,66,127,46,Neutral Good,"[ 09, 10, 13, 10, 09, 11 ]",10.33,Commoner,331
Dwarf: ,Female,54,122,45,Neutral Evil,"[ 09, 08, 05, 06, 06, 11 ]",7.5,Commoner,363
Gnome: ,Male,84,82,42,Neutral Good,"[ 11, 11, 16, 15, 12, 14 ]",13.17,Adventurer,373
Dwarf: ,Male,65,151,50,Chaotic Good,"[ 13, 12, 11, 11, 12, 09 ]",11.33,Elite,312
Dwarf: ,Female,57,131,46,Chaotic Neutral,"[ 13, 10, 10, 05, 09, 10 ]",9.5,Commoner,407
Human: ,Female,18,142,77,True Neutral,"[ 17, 10, 14, 09, 16, 10 ]",12.67,Elite,117
Dwarf: ,Female,72,123,50,Lawful Evil,"[ 09, 08, 07, 08, 14, 04 ]",8.33,Commoner,280
Dwarf: ,Female,64,126,49,Lawful Good,"[ 13, 11, 07, 08, 09, 09 ]",9.5,Commoner,412
Dwarf: ,Female,64,127,43,Lawful Good,"[ 07, 08, 11, 11, 12, 13 ]",10.33,Commoner,362
Dwarf: ,Female,63,124,46,Lawful Evil,"[ 11, 08, 16, 07, 12, 13 ]",11.17,Commoner,287
Half-Elf: ,Female,17,115,68,Chaotic Good,"[ 08, 09, 14, 18, 14, 13 ]",12.67,Elite,165
Human: ,Male,18,174,71,Lawful Good,"[ 15, 10, 12, 14, 12, 11 ]",12.33,Elite,105
Dwarf: ,Male,71,148,49,True Neutral,"[ 07, 09, 10, 10, 08, 06 ]",8.33,Commoner,332
Dwarf: ,Male,69,147,52,Lawful Evil,"[ 08, 13, 07, 07, 10, 07 ]",8.67,Commoner,304
Dwarf: ,Female,60,130,50,Neutral Evil,"[ 05, 06, 11, 12, 10, 05 ]",8.17,Commoner,316
Dwarf: ,Male,64,140,47,Lawful Neutral,"[ 08, 10, 10, 06, 09, 05 ]",8.0,Commoner,359
Dwarf: ,Female,75,130,46,Lawful Evil,"[ 12, 15, 11, 12, 06, 07 ]",10.5,Commoner,326
Dwarf: ,Male,70,156,46,Lawful Good,"[ 14, 05, 04, 11, 08, 09 ]",8.5,Commoner,340
Dwarf: ,Female,56,130,51,Neutral Evil,"[ 11, 09, 08, 11, 06, 10 ]",9.17,Commoner,352
Dwarf: ,Male,63,151,48,Lawful Neutral,"[ 07, 09, 07, 07, 07, 10 ]",7.83,Commoner,359
Dwarf: ,Female,71,125,45,Neutral Good,"[ 11, 07, 11, 14, 07, 09 ]",9.83,Commoner,333
Dwarf: ,Male,57,152,49,True Neutral,"[ 08, 12, 12, 08, 09, 11 ]",10.0,Commoner,350
Dwarf: ,Female,62,128,46,Chaotic Good,"[ 14, 08, 11, 08, 14, 06 ]",10.17,Commoner,334
Dwarf: ,Male,67,153,45,Chaotic Evil,"[ 14, 08, 08, 14, 12, 07 ]",10.5,Commoner,390
Dwarf: ,Female,58,129,47,Neutral Good,"[ 10, 04, 10, 10, 06, 07 ]",7.83,Commoner,369
Dwarf: ,Male,67,146,49,Lawful Good,"[ 15, 07, 09, 06, 06, 07 ]",8.33,Commoner,301
Dwarf: ,Female,72,133,45,Chaotic Neutral,"[ 08, 08, 08, 11, 14, 10 ]",9.83,Commoner,327
Dwarf: ,Female,67,135,47,Lawful Good,"[ 11, 10, 10, 14, 10, 10 ]",10.83,Commoner,432
Gnome: ,Male,80,87,39,True Neutral,"[ 13, 15, 13, 08, 09, 15 ]",12.17,Elite,367
Dwarf: ,Female,77,122,49,Neutral Good,"[ 09, 11, 14, 12, 07, 08 ]",10.17,Commoner,431
Elf: ,Male,113,102,65,Neutral Good,"[ 09, 17, 16, 11, 16, 11 ]",13.33,Adventurer,564
Dwarf: ,Male,72,154,48,Chaotic Neutral,"[ 06, 07, 09, 08, 07, 11 ]",8.0,Commoner,431
Dwarf: ,Female,67,119,45,Chaotic Neutral,"[ 11, 06, 10, 12, 09, 10 ]",9.67,Commoner,378
Dwarf: ,Male,77,154,50,True Neutral,"[ 05, 09, 10, 08, 10, 12 ]",9.0,Commoner,295
Dwarf: ,Female,62,136,46,Lawful Good,"[ 12, 10, 12, 08, 08, 13 ]",10.5,Commoner,331
Dwarf: ,Male,69,156,53,Chaotic Good,"[ 08, 09, 09, 07, 05, 09 ]",7.83,Commoner,323
Dwarf: ,Female,63,119,47,Neutral Evil,"[ 16, 15, 03, 06, 11, 07 ]",9.67,Commoner,372
Dwarf: ,Female,74,120,44,Neutral Evil,"[ 07, 11, 08, 06, 08, 10 ]",8.33,Commoner,402
Dwarf: ,Female,70,131,47,Neutral Good,"[ 08, 11, 08, 08, 07, 05 ]",7.83,Commoner,410
Dwarf: ,Female,68,123,44,Chaotic Good,"[ 10, 08, 08, 12, 12, 12 ]",10.33,Commoner,339
Dwarf: ,Female,59,131,43,Lawful Good,"[ 06, 10, 08, 07, 06, 09 ]",7.67,Commoner,315
Dwarf: ,Female,74,128,47,Neutral Evil,"[ 12, 08, 13, 11, 07, 10 ]",10.17,Commoner,365
Dwarf: ,Female,62,126,50,Neutral Good,"[ 09, 13, 08, 11, 07, 10 ]",9.67,Commoner,344
Dwarf: ,Female,73,128,50,Chaotic Evil,"[ 07, 10, 10, 03, 09, 12 ]",8.5,Commoner,359
Dwarf: ,Male,68,159,51,True Neutral,"[ 11, 11, 07, 11, 12, 07 ]",9.83,Commoner,341
Dwarf: ,Female,57,124,50,Chaotic Evil,"[ 14, 10, 12, 07, 11, 13 ]",11.17,Commoner,327
Dwarf: ,Male,77,159,53,Lawful Good,"[ 09, 07, 16, 12, 10, 09 ]",10.5,Commoner,304
Dwarf: ,Male,53,144,44,Chaotic Good,"[ 04, 10, 07, 08, 09, 06 ]",7.33,Commoner,338
Halfling: ,Male,25,63,44,Chaotic Neutral,"[ 14, 16, 04, 15, 10, 12 ]",11.83,Elite,134
Dwarf: ,Female,68,126,44,Chaotic Good,"[ 09, 05, 06, 05, 14, 10 ]",8.17,Commoner,393
Dwarf: ,Male,50,155,52,Chaotic Evil,"[ 08, 07, 03, 09, 05, 11 ]",7.17,Commoner,371
Dwarf: ,Male,54,148,53,Chaotic Good,"[ 08, 09, 07, 13, 08, 11 ]",9.33,Commoner,310
Dwarf: ,Male,67,155,52,True Neutral,"[ 12, 08, 06, 06, 06, 11 ]",8.17,Commoner,382
Dwarf: ,Male,67,154,52,Neutral Good,"[ 12, 06, 08, 12, 06, 10 ]",9.0,Commoner,347
Dwarf: ,Male,69,145,50,Chaotic Neutral,"[ 06, 10, 07, 09, 08, 07 ]",7.83,Commoner,409
Halfling: ,Female,30,61,45,Lawful Evil,"[ 15, 13, 07, 12, 14, 17 ]",13.0,Adventurer,199
Dwarf: ,Male,67,145,45,True Neutral,"[ 11, 08, 09, 08, 09, 09 ]",9.0,Commoner,359
Dwarf: ,Female,89,126,47,Chaotic Neutral,"[ 09, 08, 08, 04, 12, 07 ]",8.0,Commoner,379
Dwarf: ,Male,63,154,45,Lawful Good,"[ 06, 17, 05, 09, 10, 09 ]",9.33,Commoner,360
Dwarf: ,Male,72,162,50,Neutral Evil,"[ 08, 08, 09, 09, 12, 09 ]",9.17,Commoner,378
Dwarf: ,Male,73,154,45,Chaotic Good,"[ 10, 08, 11, 08, 11, 14 ]",10.33,Commoner,327
Dwarf: ,Female,59,135,51,Chaotic Good,"[ 12, 08, 06, 08, 10, 06 ]",8.33,Commoner,403
Half-Elf: ,Female,16,114,61,Chaotic Evil,"[ 12, 12, 09, 18, 09, 10 ]",11.67,Elite,154
Dwarf: ,Female,68,123,42,True Neutral,"[ 07, 12, 12, 11, 10, 03 ]",9.17,Commoner,377
Dwarf: ,Female,61,123,46,Neutral Evil,"[ 07, 08, 06, 09, 06, 06 ]",7.0,Commoner,341
Dwarf: ,Male,62,149,51,Chaotic Neutral,"[ 12, 05, 08, 11, 09, 06 ]",8.5,Commoner,295
Half-Elf: ,Female,20,112,61,Lawful Evil,"[ 16, 11, 09, 08, 18, 09 ]",11.83,Elite,150
Halfling: ,Female,26,59,40,Neutral Good,"[ 16, 08, 05, 18, 17, 12 ]",12.67,Elite,178
Dwarf: ,Female,66,120,43,Chaotic Evil,"[ 12, 12, 11, 07, 10, 07 ]",9.83,Commoner,307
Dwarf: ,Female,75,125,44,Lawful Neutral,"[ 08, 10, 15, 15, 12, 08 ]",11.33,Elite,426
Dwarf: ,Male,57,155,51,Lawful Good,"[ 08, 12, 10, 11, 05, 06 ]",8.67,Commoner,434
Dwarf: ,Male,59,148,47,Chaotic Neutral,"[ 06, 12, 11, 10, 14, 10 ]",10.5,Commoner,395
Dwarf: ,Female,63,126,44,Neutral Evil,"[ 13, 09, 05, 08, 07, 07 ]",8.17,Commoner,314
Dwarf: ,Male,63,153,46,Chaotic Evil,"[ 09, 10, 06, 10, 10, 03 ]",8.0,Commoner,322
Dwarf: ,Female,62,132,50,Neutral Good,"[ 08, 15, 07, 14, 08, 09 ]",10.17,Commoner,424
Dwarf: ,Female,64,132,49,True Neutral,"[ 10, 10, 11, 08, 09, 09 ]",9.5,Commoner,365
Dwarf: ,Male,76,148,44,Chaotic Evil,"[ 11, 15, 04, 09, 13, 15 ]",11.17,Commoner,315
Dwarf: ,Female,65,131,42,Lawful Good,"[ 09, 07, 13, 13, 09, 12 ]",10.5,Commoner,374
Dwarf: ,Female,64,140,47,Lawful Neutral,"[ 12, 11, 06, 09, 07, 08 ]",8.83,Commoner,295
Gnome: ,Female,81,83,42,Chaotic Good,"[ 13, 07, 15, 17, 10, 13 ]",12.5,Elite,437
Dwarf: ,Male,72,150,51,Neutral Evil,"[ 08, 12, 14, 16, 12, 05 ]",11.17,Commoner,376
Dwarf: ,Male,59,149,44,Lawful Evil,"[ 10, 06, 07, 09, 07, 07 ]",7.67,Commoner,379
Dwarf: ,Female,68,122,50,Neutral Evil,"[ 14, 06, 06, 09, 07, 13 ]",9.17,Commoner,271
Dwarf: ,Female,68,123,50,Chaotic Evil,"[ 08, 06, 08, 12, 06, 12 ]",8.67,Commoner,358
Dwarf: ,Male,74,150,49,Neutral Evil,"[ 10, 09, 13, 10, 06, 03 ]",8.5,Commoner,354
Dwarf: ,Male,73,164,46,Neutral Good,"[ 04, 18, 09, 12, 12, 10 ]",10.83,Commoner,325
Dwarf: ,Male,62,156,50,Neutral Evil,"[ 06, 10, 04, 10, 06, 10 ]",7.67,Commoner,313
Dwarf: ,Male,62,164,53,Chaotic Good,"[ 06, 09, 04, 07, 09, 08 ]",7.17,Commoner,334
Dwarf: ,Male,73,140,44,Lawful Evil,"[ 03, 07, 08, 18, 17, 09 ]",10.33,Commoner,368
Dwarf: ,Female,77,120,50,Chaotic Evil,"[ 11, 15, 08, 14, 09, 12 ]",11.5,Elite,392
Dwarf: ,Male,63,153,49,Neutral Good,"[ 06, 09, 06, 07, 08, 09 ]",7.5,Commoner,323
Dwarf: ,Female,67,123,43,Neutral Evil,"[ 13, 11, 08, 11, 09, 09 ]",10.17,Commoner,320
Dwarf: ,Female,63,128,51,Chaotic Good,"[ 10, 11, 10, 09, 11, 04 ]",9.17,Commoner,417
Dwarf: ,Male,72,150,47,True Neutral,"[ 06, 09, 09, 09, 04, 09 ]",7.67,Commoner,372
Dwarf: ,Female,58,132,49,Lawful Evil,"[ 08, 14, 16, 08, 10, 11 ]",11.17,Commoner,317
Dwarf: ,Female,68,127,46,Lawful Evil,"[ 06, 12, 09, 03, 04, 12 ]",7.67,Commoner,313
Dwarf: ,Female,79,126,44,Lawful Evil,"[ 06, 13, 05, 07, 06, 13 ]",8.33,Commoner,367
Dwarf: ,Male,64,155,51,Neutral Good,"[ 06, 06, 09, 11, 09, 13 ]",9.0,Commoner,347
Dwarf: ,Male,61,156,53,Lawful Good,"[ 08, 09, 05, 05, 12, 06 ]",7.5,Commoner,329
Dwarf: ,Male,72,146,51,Lawful Good,"[ 09, 11, 11, 11, 05, 06 ]",8.83,Commoner,351
Dwarf: ,Male,63,147,51,Lawful Good,"[ 09, 10, 08, 12, 05, 11 ]",9.17,Commoner,329
Dwarf: ,Male,63,155,44,Chaotic Neutral,"[ 15, 06, 07, 11, 11, 11 ]",10.17,Commoner,339
Dwarf: ,Female,77,117,45,True Neutral,"[ 10, 13, 08, 11, 17, 07 ]",11.0,Commoner,350
Dwarf: ,Female,66,127,42,Chaotic Neutral,"[ 09, 12, 05, 10, 06, 04 ]",7.67,Commoner,322
Dwarf: ,Male,79,144,50,Lawful Good,"[ 11, 11, 08, 10, 08, 03 ]",8.5,Commoner,297
Dwarf: ,Male,77,149,45,Chaotic Neutral,"[ 06, 09, 09, 13, 11, 10 ]",9.67,Commoner,357
Dwarf: ,Male,75,153,47,Lawful Good,"[ 10, 08, 13, 09, 14, 06 ]",10.0,Commoner,278
Dwarf: ,Female,79,125,42,Neutral Evil,"[ 09, 07, 10, 10, 09, 09 ]",9.0,Commoner,379
Dwarf: ,Female,70,128,47,Neutral Good,"[ 05, 10, 10, 08, 13, 09 ]",9.17,Commoner,347
Dwarf: ,Female,64,131,43,Chaotic Neutral,"[ 10, 09, 09, 07, 08, 09 ]",8.67,Commoner,336
Dwarf: ,Male,69,153,45,Chaotic Neutral,"[ 06, 10, 04, 08, 06, 07 ]",6.83,Commoner,290
Dwarf: ,Male,69,141,46,Neutral Evil,"[ 11, 06, 06, 05, 08, 08 ]",7.33,Commoner,333
Dwarf: ,Female,72,133,49,Neutral Good,"[ 07, 03, 13, 07, 10, 09 ]",8.17,Commoner,306
Dwarf: ,Female,62,125,44,Neutral Evil,"[ 10, 09, 08, 13, 11, 07 ]",9.67,Commoner,373
Dwarf: ,Female,79,125,50,Chaotic Neutral,"[ 12, 09, 06, 09, 06, 12 ]",9.0,Commoner,367
Dwarf: ,Female,68,133,44,Neutral Evil,"[ 11, 08, 09, 12, 07, 11 ]",9.67,Commoner,382
Dwarf: ,Female,55,124,48,Chaotic Neutral,"[ 14, 05, 09, 08, 08, 09 ]",8.83,Commoner,332
Dwarf: ,Female,75,129,47,True Neutral,"[ 12, 09, 04, 09, 09, 07 ]",8.33,Commoner,350
