Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,73,127,49,True Neutral,"[ 10, 07, 06, 12, 07, 08 ]",8.33,Commoner,400
Dwarf: ,Male,64,157,52,Lawful Evil,"[ 08, 08, 07, 07, 05, 10 ]",7.5,Commoner,341
Dwarf: ,Male,67,149,44,True Neutral,"[ 10, 14, 05, 13, 09, 12 ]",10.5,Commoner,332
Dwarf: ,Female,69,128,43,Neutral Good,"[ 11, 08, 03, 11, 08, 07 ]",8.0,Commoner,335
Dwarf: ,Female,66,114,43,Chaotic Good,"[ 09, 11, 06, 08, 09, 09 ]",8.67,Commoner,437
Dwarf: ,Male,68,161,51,Chaotic Evil,"[ 10, 07, 15, 11, 15, 06 ]",10.67,Commoner,328
Dwarf: ,Male,61,156,51,Chaotic Good,"[ 09, 09, 12, 10, 08, 10 ]",9.67,Commoner,352
Dwarf: ,Male,70,160,51,Lawful Good,"[ 08, 10, 05, 07, 11, 07 ]",8.0,Commoner,382
Dwarf: ,Male,61,143,50,Lawful Good,"[ 09, 12, 09, 09, 08, 04 ]",8.5,Commoner,349
Dwarf: ,Male,71,159,48,Lawful Good,"[ 07, 09, 09, 08, 12, 08 ]",8.83,Commoner,343
Dwarf: ,Female,62,126,45,Neutral Good,"[ 09, 14, 09, 07, 10, 12 ]",10.17,Commoner,386
Dwarf: ,Male,65,153,48,True Neutral,"[ 08, 08, 09, 08, 08, 11 ]",8.67,Commoner,347
Dwarf: ,Female,70,127,42,Neutral Evil,"[ 11, 11, 08, 07, 11, 05 ]",8.83,Commoner,323
Dwarf: ,Female,64,126,43,Neutral Evil,"[ 04, 12, 10, 13, 04, 11 ]",9.0,Commoner,438
Dwarf: ,Female,54,123,45,Neutral Good,"[ 10, 08, 09, 13, 15, 12 ]",11.17,Commoner,364
Dwarf: ,Female,70,126,45,True Neutral,"[ 12, 10, 11, 07, 11, 12 ]",10.5,Commoner,329
Dwarf: ,Female,66,124,49,Lawful Neutral,"[ 13, 07, 09, 10, 09, 06 ]",9.0,Commoner,307
Dwarf: ,Female,69,129,45,Lawful Neutral,"[ 04, 09, 07, 11, 07, 10 ]",8.0,Commoner,434
Half-Elf: ,Female,20,105,62,Lawful Evil,"[ 18, 08, 08, 13, 18, 08 ]",12.17,Elite,152
Dwarf: ,Male,60,148,48,Neutral Evil,"[ 12, 12, 10, 07, 10, 12 ]",10.5,Commoner,404
Dwarf: ,Female,73,134,49,Chaotic Good,"[ 12, 07, 11, 11, 03, 10 ]",9.0,Commoner,346
