Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,71,159,51,Lawful Neutral,"[ 10, 10, 07, 10, 11, 09 ]",9.5,Commoner,338
Dwarf: ,Female,63,121,44,Chaotic Neutral,"[ 10, 12, 11, 10, 07, 09 ]",9.83,Commoner,384
Dwarf: ,Female,75,132,46,Neutral Good,"[ 11, 07, 09, 06, 04, 08 ]",7.5,Commoner,370
Dwarf: ,Female,71,123,47,Neutral Evil,"[ 10, 13, 10, 08, 11, 11 ]",10.5,Commoner,379
Dwarf: ,Male,58,153,47,True Neutral,"[ 07, 05, 07, 08, 12, 10 ]",8.17,Commoner,377
Dwarf: ,Male,69,159,44,Chaotic Evil,"[ 13, 10, 11, 10, 03, 10 ]",9.5,Commoner,379
Dwarf: ,Female,53,123,45,True Neutral,"[ 09, 06, 15, 08, 12, 11 ]",10.17,Commoner,377
Dwarf: ,Male,71,144,51,True Neutral,"[ 12, 10, 09, 07, 05, 07 ]",8.33,Commoner,407
Dwarf: ,Female,68,131,45,Lawful Evil,"[ 10, 08, 10, 08, 09, 10 ]",9.17,Commoner,314
Dwarf: ,Male,73,159,50,Neutral Good,"[ 09, 12, 12, 11, 13, 04 ]",10.17,Commoner,311
Dwarf: ,Female,64,131,42,Chaotic Neutral,"[ 11, 10, 07, 07, 11, 13 ]",9.83,Commoner,329
Dwarf: ,Female,76,137,42,Lawful Good,"[ 08, 12, 09, 09, 09, 07 ]",9.0,Commoner,431
Dwarf: ,Female,63,132,50,Lawful Good,"[ 16, 05, 07, 10, 13, 09 ]",10.0,Commoner,357
Dwarf: ,Female,67,129,44,Neutral Evil,"[ 03, 09, 09, 18, 13, 10 ]",10.33,Commoner,367
Dwarf: ,Male,67,149,48,Lawful Neutral,"[ 10, 09, 09, 10, 09, 07 ]",9.0,Commoner,367
Dwarf: ,Male,72,146,50,Lawful Neutral,"[ 03, 07, 06, 08, 10, 07 ]",6.83,Commoner,309
Dwarf: ,Female,75,129,44,Lawful Neutral,"[ 09, 07, 03, 12, 08, 13 ]",8.67,Commoner,345
Dwarf: ,Male,65,150,46,Neutral Good,"[ 11, 10, 07, 10, 06, 04 ]",8.0,Commoner,408
Dwarf: ,Female,69,126,49,True Neutral,"[ 11, 05, 05, 11, 13, 09 ]",9.0,Commoner,289
Dwarf: ,Female,57,132,51,Neutral Evil,"[ 08, 07, 12, 12, 06, 08 ]",8.83,Commoner,324
Dwarf: ,Male,68,155,45,True Neutral,"[ 07, 09, 10, 08, 11, 12 ]",9.5,Commoner,304
Dwarf: ,Female,60,127,45,Chaotic Good,"[ 06, 07, 13, 10, 06, 04 ]",7.67,Commoner,400
Dwarf: ,Male,64,155,48,True Neutral,"[ 06, 12, 12, 12, 06, 09 ]",9.5,Commoner,389
Human: ,Male,17,170,70,Lawful Neutral,"[ 14, 09, 11, 16, 17, 10 ]",12.83,Adventurer,114
Dwarf: ,Female,58,116,46,Neutral Evil,"[ 11, 06, 11, 10, 15, 08 ]",10.17,Commoner,383
Dwarf: ,Female,61,120,43,Lawful Evil,"[ 08, 13, 08, 07, 09, 12 ]",9.5,Commoner,282
Dwarf: ,Male,75,162,50,Lawful Good,"[ 11, 09, 10, 11, 07, 16 ]",10.67,Commoner,279
Halfling: ,Male,23,67,41,Lawful Evil,"[ 07, 17, 14, 12, 09, 14 ]",12.17,Elite,171
Dwarf: ,Male,56,159,48,True Neutral,"[ 07, 12, 07, 18, 16, 05 ]",10.83,Commoner,381
Gnome: ,Female,83,80,37,Lawful Good,"[ 11, 13, 13, 10, 13, 13 ]",12.17,Elite,359
Dwarf: ,Female,69,130,42,Chaotic Evil,"[ 09, 09, 09, 13, 11, 10 ]",10.17,Commoner,298
Dwarf: ,Male,70,150,46,True Neutral,"[ 13, 09, 08, 09, 10, 06 ]",9.17,Commoner,374
Dwarf: ,Female,74,131,48,Chaotic Evil,"[ 05, 09, 10, 06, 10, 12 ]",8.67,Commoner,338
Dwarf: ,Female,61,129,51,Neutral Good,"[ 10, 06, 08, 07, 11, 06 ]",8.0,Commoner,305
Dwarf: ,Male,64,149,50,Lawful Good,"[ 14, 11, 05, 14, 04, 07 ]",9.17,Commoner,361
Dwarf: ,Female,75,123,51,Neutral Evil,"[ 11, 10, 04, 09, 09, 11 ]",9.0,Commoner,289
Gnome: ,Female,83,81,42,Chaotic Evil,"[ 09, 10, 14, 09, 11, 18 ]",11.83,Elite,336
Dwarf: ,Male,59,152,45,Neutral Good,"[ 07, 11, 11, 05, 13, 07 ]",9.0,Commoner,343
Dwarf: ,Female,74,135,50,Neutral Good,"[ 12, 08, 08, 12, 07, 13 ]",10.0,Commoner,350
Gnome: ,Female,76,84,40,Lawful Evil,"[ 08, 12, 13, 12, 10, 18 ]",12.17,Elite,254
Dwarf: ,Female,81,126,45,Lawful Evil,"[ 11, 09, 10, 06, 08, 09 ]",8.83,Commoner,318
Dwarf: ,Female,71,128,45,Chaotic Good,"[ 06, 15, 06, 06, 05, 08 ]",7.67,Commoner,288
Dwarf: ,Male,65,151,50,True Neutral,"[ 08, 09, 11, 08, 12, 11 ]",9.83,Commoner,367
Dwarf: ,Male,76,154,50,True Neutral,"[ 07, 14, 10, 07, 07, 07 ]",8.67,Commoner,356
Dwarf: ,Female,65,124,42,Chaotic Evil,"[ 05, 10, 12, 11, 06, 07 ]",8.5,Commoner,296
Dwarf: ,Male,72,145,45,Neutral Good,"[ 09, 14, 07, 10, 12, 08 ]",10.0,Commoner,381
Dwarf: ,Male,64,149,48,Chaotic Neutral,"[ 08, 11, 05, 09, 10, 04 ]",7.83,Commoner,394
Dwarf: ,Female,64,138,49,Neutral Evil,"[ 09, 12, 08, 08, 07, 08 ]",8.67,Commoner,362
Dwarf: ,Male,72,152,51,Neutral Good,"[ 09, 07, 05, 06, 09, 11 ]",7.83,Commoner,360
Dwarf: ,Male,72,144,48,Lawful Good,"[ 11, 08, 14, 11, 09, 09 ]",10.33,Commoner,370
Dwarf: ,Male,69,160,44,Chaotic Neutral,"[ 08, 12, 08, 07, 12, 09 ]",9.33,Commoner,355
Dwarf: ,Male,70,157,50,True Neutral,"[ 05, 08, 03, 09, 05, 15 ]",7.5,Commoner,341
Gnome: ,Female,78,86,38,Neutral Good,"[ 11, 14, 11, 11, 11, 13 ]",11.83,Elite,285
Dwarf: ,Male,80,147,52,Lawful Good,"[ 09, 08, 05, 11, 13, 10 ]",9.33,Commoner,316
Dwarf: ,Male,57,149,53,Chaotic Neutral,"[ 09, 11, 11, 06, 10, 06 ]",8.83,Commoner,298
Dwarf: ,Male,67,158,49,Chaotic Good,"[ 08, 11, 05, 10, 10, 09 ]",8.83,Commoner,338
Dwarf: ,Male,75,148,53,True Neutral,"[ 08, 08, 11, 11, 06, 12 ]",9.33,Commoner,328
Dwarf: ,Male,71,155,48,Lawful Good,"[ 11, 08, 08, 15, 14, 13 ]",11.5,Elite,342
Dwarf: ,Male,69,147,53,Neutral Good,"[ 12, 12, 06, 15, 07, 13 ]",10.83,Commoner,319
