Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,80,139,42,Lawful Evil,"[ 11, 05, 10, 09, 09, 09 ]",8.83,Commoner,294
Dwarf: ,Male,68,145,51,Lawful Evil,"[ 09, 08, 11, 07, 11, 09 ]",9.17,Commoner,332
Dwarf: ,Male,62,160,50,Neutral Good,"[ 09, 12, 14, 09, 07, 11 ]",10.33,Commoner,363
Dwarf: ,Female,78,132,51,Lawful Good,"[ 13, 07, 07, 15, 08, 04 ]",9.0,Commoner,350
Dwarf: ,Male,67,149,53,Lawful Evil,"[ 11, 10, 11, 14, 09, 05 ]",10.0,Commoner,412
Dwarf: ,Male,69,154,49,Lawful Good,"[ 06, 08, 08, 12, 03, 08 ]",7.5,Commoner,301
Dwarf: ,Male,74,154,44,Lawful Evil,"[ 03, 09, 07, 09, 10, 08 ]",7.67,Commoner,329
Dwarf: ,Male,65,147,46,Neutral Evil,"[ 05, 14, 14, 06, 12, 11 ]",10.33,Commoner,330
Dwarf: ,Female,63,139,44,Chaotic Evil,"[ 10, 06, 08, 11, 07, 13 ]",9.17,Commoner,337
Dwarf: ,Male,70,157,48,Chaotic Neutral,"[ 05, 11, 04, 09, 11, 08 ]",8.0,Commoner,358
Gnome: ,Female,93,78,37,Neutral Evil,"[ 08, 13, 11, 14, 13, 16 ]",12.5,Elite,413
Dwarf: ,Female,71,125,49,Chaotic Good,"[ 13, 03, 11, 14, 06, 12 ]",9.83,Commoner,328
Dwarf: ,Male,82,152,49,Lawful Neutral,"[ 11, 12, 03, 08, 07, 10 ]",8.5,Commoner,373
Dwarf: ,Female,70,133,49,Chaotic Evil,"[ 10, 06, 11, 06, 09, 05 ]",7.83,Commoner,335
Dwarf: ,Male,69,156,47,Neutral Evil,"[ 07, 11, 12, 09, 07, 09 ]",9.17,Commoner,393
Dwarf: ,Female,71,127,45,Lawful Evil,"[ 12, 07, 04, 14, 11, 12 ]",10.0,Commoner,367
Dwarf: ,Male,66,149,45,Chaotic Evil,"[ 09, 07, 07, 09, 10, 06 ]",8.0,Commoner,356
Dwarf: ,Male,60,144,44,Chaotic Neutral,"[ 13, 10, 08, 17, 08, 09 ]",10.83,Commoner,341
Dwarf: ,Male,84,157,53,Chaotic Evil,"[ 12, 10, 06, 11, 08, 07 ]",9.0,Commoner,347
Dwarf: ,Male,63,153,45,Chaotic Neutral,"[ 11, 08, 10, 07, 06, 10 ]",8.67,Commoner,332
Dwarf: ,Female,68,130,44,Chaotic Good,"[ 10, 03, 08, 09, 13, 08 ]",8.5,Commoner,351
Dwarf: ,Female,62,125,50,Lawful Neutral,"[ 06, 07, 10, 10, 11, 06 ]",8.33,Commoner,338
Dwarf: ,Female,66,123,44,Chaotic Evil,"[ 08, 12, 08, 05, 08, 10 ]",8.5,Commoner,307
Dwarf: ,Female,65,127,51,True Neutral,"[ 07, 12, 08, 09, 07, 08 ]",8.5,Commoner,385
Dwarf: ,Female,66,126,43,Lawful Neutral,"[ 06, 10, 12, 13, 05, 07 ]",8.83,Commoner,308
Dwarf: ,Female,69,125,45,Lawful Neutral,"[ 12, 12, 05, 09, 12, 07 ]",9.5,Commoner,393
Dwarf: ,Male,77,154,49,Neutral Evil,"[ 05, 08, 12, 03, 10, 11 ]",8.17,Commoner,297
Dwarf: ,Female,61,131,47,Neutral Good,"[ 13, 10, 14, 08, 10, 08 ]",10.5,Commoner,361
Dwarf: ,Male,64,142,47,True Neutral,"[ 12, 06, 10, 08, 09, 06 ]",8.5,Commoner,391
Dwarf: ,Female,57,116,50,Lawful Neutral,"[ 06, 04, 11, 12, 08, 10 ]",8.5,Commoner,353
