Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,64,127,44,Neutral Good,"[ 06, 10, 14, 07, 07, 04 ]",8.0,Commoner,350
Dwarf: ,Female,67,118,44,Chaotic Good,"[ 09, 08, 10, 07, 08, 10 ]",8.67,Commoner,434
Dwarf: ,Male,68,146,46,True Neutral,"[ 06, 11, 08, 08, 10, 06 ]",8.17,Commoner,380
Dwarf: ,Female,65,130,46,Chaotic Evil,"[ 09, 12, 12, 11, 08, 08 ]",10.0,Commoner,401
Dwarf: ,Female,74,125,47,Lawful Neutral,"[ 08, 09, 08, 06, 08, 12 ]",8.5,Commoner,408
Dwarf: ,Male,77,160,53,Neutral Evil,"[ 07, 10, 10, 06, 13, 08 ]",9.0,Commoner,394
Dwarf: ,Male,66,151,46,Chaotic Neutral,"[ 09, 10, 10, 10, 07, 10 ]",9.33,Commoner,409
Dwarf: ,Male,65,156,44,Lawful Good,"[ 12, 08, 16, 04, 12, 16 ]",11.33,Elite,338
Dwarf: ,Female,65,126,43,Chaotic Neutral,"[ 06, 12, 06, 06, 09, 11 ]",8.33,Commoner,259
Dwarf: ,Female,68,130,42,Lawful Evil,"[ 07, 08, 05, 04, 12, 10 ]",7.67,Commoner,366
Dwarf: ,Female,63,119,47,True Neutral,"[ 09, 09, 12, 11, 10, 06 ]",9.5,Commoner,392
Dwarf: ,Male,67,145,44,Chaotic Good,"[ 08, 05, 06, 11, 13, 05 ]",8.0,Commoner,365
Dwarf: ,Female,68,127,46,Lawful Neutral,"[ 18, 08, 08, 16, 08, 08 ]",11.0,Commoner,383
Dwarf: ,Male,71,157,45,Lawful Neutral,"[ 05, 09, 13, 11, 08, 11 ]",9.5,Commoner,308
Dwarf: ,Male,73,159,45,Neutral Evil,"[ 11, 13, 05, 08, 18, 11 ]",11.0,Commoner,346
Dwarf: ,Female,71,129,47,True Neutral,"[ 09, 12, 11, 08, 09, 12 ]",10.17,Commoner,318
Dwarf: ,Female,56,128,46,Neutral Evil,"[ 09, 15, 09, 08, 11, 10 ]",10.33,Commoner,369
Dwarf: ,Male,58,152,48,Lawful Evil,"[ 10, 11, 06, 10, 06, 08 ]",8.5,Commoner,341
Dwarf: ,Male,65,150,48,Chaotic Neutral,"[ 04, 11, 10, 13, 12, 08 ]",9.67,Commoner,332
