Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,63,161,44,Lawful Evil,"[ 12, 06, 12, 13, 08, 05 ]",9.33,Commoner,311
Dwarf: ,Male,72,153,53,Chaotic Evil,"[ 06, 07, 16, 07, 16, 13 ]",10.83,Commoner,434
Halfling: ,Female,28,60,39,Chaotic Neutral,"[ 11, 15, 09, 13, 17, 10 ]",12.5,Elite,158
Dwarf: ,Male,69,164,52,Lawful Good,"[ 12, 15, 15, 06, 10, 07 ]",10.83,Commoner,355
Dwarf: ,Male,69,150,47,Neutral Evil,"[ 06, 11, 10, 07, 11, 10 ]",9.17,Commoner,329
Half-Elf: ,Female,21,113,66,Lawful Neutral,"[ 14, 13, 17, 08, 09, 10 ]",11.83,Elite,157
Dwarf: ,Female,62,123,46,Chaotic Good,"[ 12, 05, 07, 08, 11, 06 ]",8.17,Commoner,375
Dwarf: ,Male,74,152,47,True Neutral,"[ 08, 09, 06, 11, 07, 07 ]",8.0,Commoner,367
Dwarf: ,Male,64,149,46,Lawful Evil,"[ 12, 08, 09, 09, 14, 05 ]",9.5,Commoner,361
Dwarf: ,Female,69,131,47,Lawful Neutral,"[ 11, 13, 17, 08, 09, 17 ]",12.5,Elite,286
Dwarf: ,Female,61,126,47,Lawful Neutral,"[ 10, 11, 06, 07, 10, 09 ]",8.83,Commoner,367
Dwarf: ,Female,71,121,46,True Neutral,"[ 10, 06, 05, 03, 07, 10 ]",6.83,Commoner,317
Dwarf: ,Female,56,134,44,Neutral Good,"[ 08, 07, 06, 07, 08, 11 ]",7.83,Commoner,345
Dwarf: ,Female,69,140,50,True Neutral,"[ 06, 12, 12, 07, 11, 06 ]",9.0,Commoner,340
Dwarf: ,Male,71,155,53,Lawful Good,"[ 10, 11, 13, 09, 05, 12 ]",10.0,Commoner,278
Dwarf: ,Male,72,151,49,Lawful Neutral,"[ 10, 08, 10, 07, 12, 09 ]",9.33,Commoner,279
Dwarf: ,Female,58,138,47,Lawful Evil,"[ 08, 08, 08, 06, 10, 05 ]",7.5,Commoner,354
Dwarf: ,Male,65,159,53,True Neutral,"[ 09, 08, 06, 08, 09, 09 ]",8.17,Commoner,303
Dwarf: ,Female,59,126,42,Lawful Evil,"[ 08, 13, 03, 03, 12, 10 ]",8.17,Commoner,377
Dwarf: ,Female,65,130,49,Neutral Good,"[ 09, 07, 06, 09, 10, 06 ]",7.83,Commoner,354
Dwarf: ,Male,75,162,53,Lawful Neutral,"[ 07, 06, 12, 10, 08, 08 ]",8.5,Commoner,405
Dwarf: ,Female,68,133,48,True Neutral,"[ 07, 10, 08, 09, 05, 10 ]",8.17,Commoner,301
Dwarf: ,Female,50,124,50,Lawful Evil,"[ 09, 09, 10, 06, 11, 14 ]",9.83,Commoner,327
Dwarf: ,Female,72,132,42,Chaotic Neutral,"[ 09, 07, 11, 09, 09, 08 ]",8.83,Commoner,306
Dwarf: ,Female,69,127,51,Lawful Neutral,"[ 07, 08, 11, 07, 06, 12 ]",8.5,Commoner,322
Dwarf: ,Female,54,112,51,Chaotic Evil,"[ 07, 07, 10, 09, 05, 10 ]",8.0,Commoner,370
Dwarf: ,Female,69,122,47,Lawful Good,"[ 13, 11, 10, 09, 15, 08 ]",11.0,Commoner,302
Dwarf: ,Female,68,133,47,Lawful Good,"[ 08, 06, 09, 06, 13, 12 ]",9.0,Commoner,306
Dwarf: ,Male,61,144,44,Neutral Evil,"[ 13, 08, 07, 08, 04, 12 ]",8.67,Commoner,329
Dwarf: ,Female,70,124,46,Neutral Good,"[ 09, 11, 11, 07, 10, 10 ]",9.67,Commoner,343
Dwarf: ,Female,65,126,50,Lawful Good,"[ 07, 09, 07, 08, 11, 13 ]",9.17,Commoner,317
Dwarf: ,Male,79,159,46,Chaotic Good,"[ 06, 10, 10, 03, 13, 09 ]",8.5,Commoner,278
Dwarf: ,Female,70,129,48,Neutral Good,"[ 05, 11, 06, 12, 05, 08 ]",7.83,Commoner,397
Dwarf: ,Male,67,152,51,Chaotic Neutral,"[ 04, 13, 09, 06, 08, 12 ]",8.67,Commoner,364
Dwarf: ,Female,78,123,50,Neutral Good,"[ 06, 12, 07, 12, 06, 09 ]",8.67,Commoner,350
Dwarf: ,Male,66,155,48,Chaotic Good,"[ 11, 10, 07, 11, 10, 08 ]",9.5,Commoner,332
Dwarf: ,Male,59,150,49,Neutral Good,"[ 11, 13, 11, 09, 08, 09 ]",10.17,Commoner,388
Dwarf: ,Female,62,127,49,Chaotic Good,"[ 06, 08, 09, 10, 12, 13 ]",9.67,Commoner,337
Dwarf: ,Female,77,135,50,True Neutral,"[ 13, 17, 04, 12, 18, 03 ]",11.17,Commoner,279
Dwarf: ,Female,73,128,47,Chaotic Evil,"[ 05, 13, 07, 06, 12, 05 ]",8.0,Commoner,287
Dwarf: ,Male,70,150,47,Lawful Neutral,"[ 10, 12, 05, 10, 04, 11 ]",8.67,Commoner,385
Dwarf: ,Male,72,140,49,Lawful Neutral,"[ 09, 10, 10, 12, 10, 08 ]",9.83,Commoner,324
Dwarf: ,Female,58,127,42,Neutral Evil,"[ 14, 09, 09, 05, 07, 09 ]",8.83,Commoner,427
Dwarf: ,Female,66,129,49,Lawful Evil,"[ 05, 13, 09, 05, 08, 08 ]",8.0,Commoner,340
Dwarf: ,Male,58,153,51,Neutral Good,"[ 06, 08, 10, 08, 06, 13 ]",8.5,Commoner,285
Dwarf: ,Female,62,117,42,Neutral Evil,"[ 10, 08, 09, 11, 09, 08 ]",9.17,Commoner,331
Dwarf: ,Male,79,163,45,Lawful Good,"[ 09, 09, 11, 08, 09, 06 ]",8.67,Commoner,285
Dwarf: ,Female,66,119,42,Lawful Good,"[ 12, 05, 05, 06, 12, 09 ]",8.17,Commoner,394
Dwarf: ,Male,62,162,51,Chaotic Good,"[ 05, 08, 07, 11, 10, 07 ]",8.0,Commoner,284
Dwarf: ,Female,72,130,47,Lawful Neutral,"[ 11, 11, 08, 10, 08, 11 ]",9.83,Commoner,353
Halfling: ,Male,26,64,42,Chaotic Neutral,"[ 09, 16, 06, 14, 16, 13 ]",12.33,Elite,197
Halfling: ,Male,29,63,43,Lawful Neutral,"[ 13, 14, 16, 09, 10, 09 ]",11.83,Elite,169
Dwarf: ,Male,70,147,52,Chaotic Good,"[ 11, 14, 08, 07, 13, 11 ]",10.67,Commoner,428
Dwarf: ,Male,86,153,47,Chaotic Good,"[ 06, 10, 11, 08, 08, 11 ]",9.0,Commoner,397
Dwarf: ,Female,66,121,51,Neutral Good,"[ 13, 12, 10, 14, 06, 08 ]",10.5,Commoner,385
Dwarf: ,Female,66,122,46,Lawful Evil,"[ 12, 08, 08, 13, 09, 14 ]",10.67,Commoner,394
Dwarf: ,Male,68,142,48,Lawful Neutral,"[ 08, 08, 11, 12, 05, 06 ]",8.33,Commoner,341
Dwarf: ,Female,79,130,49,Chaotic Neutral,"[ 09, 10, 09, 09, 10, 07 ]",9.0,Commoner,299
Dwarf: ,Female,73,112,50,Lawful Good,"[ 08, 11, 09, 10, 14, 03 ]",9.17,Commoner,362
Dwarf: ,Female,54,128,45,Chaotic Evil,"[ 12, 03, 10, 10, 09, 08 ]",8.67,Commoner,361
Dwarf: ,Female,56,137,51,True Neutral,"[ 12, 08, 09, 07, 09, 11 ]",9.33,Commoner,337
Dwarf: ,Female,79,118,45,Lawful Evil,"[ 09, 05, 09, 09, 07, 06 ]",7.5,Commoner,378
Dwarf: ,Female,70,119,44,Lawful Good,"[ 10, 14, 09, 12, 06, 09 ]",10.0,Commoner,365
Dwarf: ,Male,59,158,48,True Neutral,"[ 14, 06, 12, 09, 11, 10 ]",10.33,Commoner,390
Dwarf: ,Male,64,148,47,Neutral Evil,"[ 09, 12, 07, 06, 05, 08 ]",7.83,Commoner,353
Gnome: ,Male,77,85,43,Lawful Evil,"[ 12, 13, 12, 12, 13, 16 ]",13.0,Adventurer,367
Dwarf: ,Male,73,150,45,Neutral Evil,"[ 08, 11, 11, 11, 08, 11 ]",10.0,Commoner,324
Dwarf: ,Female,70,123,42,True Neutral,"[ 07, 17, 16, 09, 04, 11 ]",10.67,Commoner,366
Dwarf: ,Female,70,117,51,Lawful Evil,"[ 12, 11, 10, 06, 08, 04 ]",8.5,Commoner,363
Dwarf: ,Female,58,122,43,Lawful Evil,"[ 09, 10, 13, 12, 14, 08 ]",11.0,Commoner,365
Dwarf: ,Female,67,131,50,Lawful Neutral,"[ 13, 10, 14, 08, 06, 10 ]",10.17,Commoner,342
Dwarf: ,Female,75,119,51,True Neutral,"[ 15, 12, 13, 09, 08, 03 ]",10.0,Commoner,285
