Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,64,140,48,Neutral Evil,"[ 13, 08, 07, 09, 12, 08 ]",9.5,Commoner,281
Gnome: ,Male,84,83,44,True Neutral,"[ 09, 08, 12, 18, 14, 11 ]",12.0,Elite,366
Dwarf: ,Female,73,126,45,Lawful Evil,"[ 03, 09, 14, 14, 09, 08 ]",9.5,Commoner,394
Dwarf: ,Male,62,163,50,Lawful Evil,"[ 12, 08, 04, 08, 10, 10 ]",8.67,Commoner,416
Dwarf: ,Female,71,118,51,Lawful Evil,"[ 05, 04, 14, 14, 14, 08 ]",9.83,Commoner,405
Dwarf: ,Female,71,122,46,Neutral Good,"[ 09, 09, 06, 12, 07, 08 ]",8.5,Commoner,336
Gnome: ,Male,88,85,40,Lawful Good,"[ 09, 15, 09, 09, 17, 18 ]",12.83,Adventurer,380
Dwarf: ,Female,76,134,50,Lawful Evil,"[ 05, 08, 07, 04, 08, 05 ]",6.17,Commoner,313
Dwarf: ,Male,71,149,44,True Neutral,"[ 10, 07, 11, 07, 13, 09 ]",9.5,Commoner,336
Dwarf: ,Female,84,123,51,True Neutral,"[ 10, 08, 07, 08, 10, 10 ]",8.83,Commoner,347
Dwarf: ,Female,79,126,46,Chaotic Good,"[ 08, 09, 08, 08, 09, 08 ]",8.33,Commoner,291
Dwarf: ,Female,59,118,46,Chaotic Neutral,"[ 11, 11, 05, 09, 09, 08 ]",8.83,Commoner,366
