Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,64,120,44,True Neutral,"[ 06, 09, 08, 06, 07, 10 ]",7.67,Commoner,359
Dwarf: ,Male,60,157,46,True Neutral,"[ 13, 10, 07, 09, 10, 10 ]",9.83,Commoner,315
Dwarf: ,Female,55,123,45,Chaotic Good,"[ 08, 12, 06, 10, 07, 09 ]",8.67,Commoner,424
Dwarf: ,Male,68,155,53,Neutral Evil,"[ 09, 07, 07, 10, 07, 07 ]",7.83,Commoner,328
Dwarf: ,Female,74,127,42,Chaotic Evil,"[ 12, 11, 14, 08, 14, 06 ]",10.83,Commoner,423
Dwarf: ,Male,64,154,53,Chaotic Good,"[ 07, 10, 11, 08, 12, 03 ]",8.5,Commoner,428
Dwarf: ,Female,63,132,43,Chaotic Neutral,"[ 11, 11, 04, 12, 12, 14 ]",10.67,Commoner,408
Dwarf: ,Male,70,153,51,Chaotic Evil,"[ 16, 07, 10, 11, 10, 11 ]",10.83,Commoner,402
Dwarf: ,Female,56,127,44,Chaotic Evil,"[ 12, 12, 13, 10, 09, 05 ]",10.17,Commoner,336
Dwarf: ,Male,69,150,46,Lawful Neutral,"[ 07, 06, 09, 07, 10, 08 ]",7.83,Commoner,306
Dwarf: ,Female,69,124,46,Chaotic Good,"[ 12, 09, 13, 10, 08, 10 ]",10.33,Commoner,387
Dwarf: ,Female,67,133,49,True Neutral,"[ 13, 16, 17, 12, 11, 05 ]",12.33,Elite,377
Dwarf: ,Male,77,160,46,Lawful Evil,"[ 04, 06, 11, 09, 06, 09 ]",7.5,Commoner,375
Dwarf: ,Male,70,157,45,True Neutral,"[ 12, 11, 09, 05, 10, 10 ]",9.5,Commoner,390
Dwarf: ,Male,63,154,48,Lawful Evil,"[ 10, 09, 05, 09, 10, 14 ]",9.5,Commoner,398
Dwarf: ,Female,73,137,50,True Neutral,"[ 09, 11, 08, 12, 12, 04 ]",9.33,Commoner,347
Dwarf: ,Female,56,129,42,Neutral Evil,"[ 09, 11, 07, 13, 08, 04 ]",8.67,Commoner,357
Dwarf: ,Female,83,128,43,Chaotic Good,"[ 06, 10, 12, 07, 11, 09 ]",9.17,Commoner,338
Dwarf: ,Female,69,127,46,Neutral Good,"[ 09, 08, 09, 07, 09, 11 ]",8.83,Commoner,409
Dwarf: ,Male,68,163,48,True Neutral,"[ 13, 10, 08, 09, 09, 10 ]",9.83,Commoner,308
