Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,71,153,46,True Neutral,"[ 15, 08, 13, 13, 11, 07 ]",11.17,Commoner,351
Dwarf: ,Female,60,124,47,Chaotic Good,"[ 06, 06, 13, 13, 09, 09 ]",9.33,Commoner,404
Dwarf: ,Male,72,148,51,Lawful Good,"[ 07, 11, 10, 10, 14, 10 ]",10.33,Commoner,346
Dwarf: ,Male,69,144,48,True Neutral,"[ 13, 08, 05, 11, 08, 10 ]",9.17,Commoner,301
Dwarf: ,Female,64,130,49,Chaotic Good,"[ 05, 11, 17, 13, 18, 04 ]",11.33,Elite,387
Dwarf: ,Female,68,122,43,True Neutral,"[ 07, 05, 13, 06, 09, 13 ]",8.83,Commoner,299
Dwarf: ,Female,60,124,49,Chaotic Good,"[ 11, 08, 09, 07, 10, 07 ]",8.67,Commoner,321
Dwarf: ,Female,69,134,50,Chaotic Good,"[ 14, 15, 07, 09, 15, 05 ]",10.83,Commoner,341
Dwarf: ,Female,79,131,46,Chaotic Good,"[ 08, 08, 08, 13, 14, 10 ]",10.17,Commoner,333
Dwarf: ,Female,72,127,50,Neutral Good,"[ 08, 06, 09, 09, 09, 09 ]",8.33,Commoner,331
Dwarf: ,Female,70,127,43,Chaotic Evil,"[ 04, 16, 08, 18, 04, 16 ]",11.0,Commoner,363
Dwarf: ,Female,69,117,42,Neutral Good,"[ 06, 08, 09, 07, 11, 10 ]",8.5,Commoner,336
Dwarf: ,Female,68,126,48,Chaotic Evil,"[ 12, 05, 07, 17, 05, 10 ]",9.33,Commoner,329
Dwarf: ,Male,71,151,45,True Neutral,"[ 08, 09, 11, 07, 08, 10 ]",8.83,Commoner,376
Dwarf: ,Female,64,121,49,Chaotic Evil,"[ 06, 08, 07, 11, 07, 07 ]",7.67,Commoner,318
Dwarf: ,Female,74,127,46,Lawful Neutral,"[ 03, 09, 04, 12, 08, 13 ]",8.17,Commoner,302
Dwarf: ,Male,67,156,45,True Neutral,"[ 08, 05, 05, 08, 08, 10 ]",7.33,Commoner,363
Dwarf: ,Female,63,130,45,Neutral Good,"[ 11, 07, 10, 14, 10, 09 ]",10.17,Commoner,412
Dwarf: ,Male,69,153,52,Neutral Good,"[ 12, 04, 08, 09, 11, 07 ]",8.5,Commoner,315
Dwarf: ,Female,66,123,47,Chaotic Evil,"[ 11, 10, 05, 07, 12, 13 ]",9.67,Commoner,368
Dwarf: ,Female,61,122,50,Lawful Neutral,"[ 06, 08, 11, 08, 11, 07 ]",8.5,Commoner,387
Dwarf: ,Female,74,116,43,Lawful Good,"[ 10, 06, 08, 04, 11, 08 ]",7.83,Commoner,356
Dwarf: ,Female,80,129,46,Neutral Good,"[ 08, 13, 15, 06, 12, 10 ]",10.67,Commoner,265
Dwarf: ,Male,64,151,44,Lawful Evil,"[ 09, 08, 13, 05, 05, 06 ]",7.67,Commoner,374
Dwarf: ,Female,66,125,47,Chaotic Good,"[ 13, 10, 10, 10, 10, 13 ]",11.0,Commoner,365
Dwarf: ,Male,73,152,50,Lawful Evil,"[ 06, 05, 09, 05, 09, 08 ]",7.0,Commoner,371
Dwarf: ,Male,74,158,51,True Neutral,"[ 14, 09, 10, 12, 12, 14 ]",11.83,Elite,332
Dwarf: ,Female,69,116,51,Chaotic Good,"[ 10, 09, 10, 11, 11, 08 ]",9.83,Commoner,301
Dwarf: ,Female,69,124,46,Neutral Good,"[ 11, 08, 04, 09, 13, 09 ]",9.0,Commoner,372
Dwarf: ,Male,71,155,49,Chaotic Good,"[ 12, 11, 07, 08, 08, 08 ]",9.0,Commoner,305
Dwarf: ,Female,73,115,49,Lawful Good,"[ 14, 08, 17, 05, 06, 13 ]",10.5,Commoner,301
Dwarf: ,Male,68,152,48,Chaotic Neutral,"[ 11, 11, 12, 09, 15, 05 ]",10.5,Commoner,373
Dwarf: ,Male,68,153,52,Lawful Neutral,"[ 08, 18, 08, 16, 08, 08 ]",11.0,Commoner,351
Dwarf: ,Female,67,133,44,Chaotic Good,"[ 11, 08, 10, 09, 06, 06 ]",8.33,Commoner,414
Dwarf: ,Female,70,117,43,True Neutral,"[ 09, 07, 04, 09, 18, 16 ]",10.5,Commoner,355
Dwarf: ,Female,61,124,51,Chaotic Good,"[ 06, 06, 10, 12, 10, 07 ]",8.5,Commoner,326
Dwarf: ,Female,70,135,45,Chaotic Neutral,"[ 09, 14, 05, 07, 11, 09 ]",9.17,Commoner,361
Dwarf: ,Male,71,145,50,Chaotic Good,"[ 06, 13, 08, 09, 13, 10 ]",9.83,Commoner,395
Dwarf: ,Male,65,154,49,Chaotic Neutral,"[ 10, 08, 12, 04, 08, 12 ]",9.0,Commoner,328
Dwarf: ,Male,61,150,45,Lawful Good,"[ 07, 13, 13, 09, 12, 08 ]",10.33,Commoner,435
Dwarf: ,Male,73,152,45,Chaotic Neutral,"[ 10, 11, 10, 08, 09, 10 ]",9.67,Commoner,353
Dwarf: ,Male,67,153,48,Lawful Evil,"[ 13, 09, 11, 10, 11, 08 ]",10.33,Commoner,353
Dwarf: ,Male,84,155,52,Chaotic Good,"[ 09, 08, 09, 08, 08, 06 ]",8.0,Commoner,382
Dwarf: ,Male,62,146,45,Chaotic Evil,"[ 13, 08, 12, 09, 04, 07 ]",8.83,Commoner,335
Dwarf: ,Female,73,131,48,Chaotic Good,"[ 08, 11, 11, 10, 13, 11 ]",10.67,Commoner,349
Dwarf: ,Female,63,128,47,Lawful Neutral,"[ 08, 10, 11, 09, 10, 10 ]",9.67,Commoner,340
Dwarf: ,Male,65,148,52,Neutral Evil,"[ 09, 05, 12, 09, 12, 06 ]",8.83,Commoner,360
Dwarf: ,Male,70,148,47,Chaotic Evil,"[ 12, 14, 09, 08, 10, 03 ]",9.33,Commoner,305
Dwarf: ,Male,63,147,45,Chaotic Good,"[ 10, 05, 07, 13, 14, 09 ]",9.67,Commoner,325
Dwarf: ,Female,62,134,50,True Neutral,"[ 10, 09, 11, 06, 09, 13 ]",9.67,Commoner,316
Dwarf: ,Female,65,128,42,Chaotic Good,"[ 09, 06, 11, 07, 09, 13 ]",9.17,Commoner,365
Dwarf: ,Male,67,157,47,Neutral Evil,"[ 04, 12, 14, 09, 08, 06 ]",8.83,Commoner,316
Dwarf: ,Female,79,120,50,Neutral Evil,"[ 10, 13, 12, 15, 08, 11 ]",11.5,Elite,389
Dwarf: ,Male,63,150,49,Chaotic Evil,"[ 11, 08, 07, 08, 06, 12 ]",8.67,Commoner,330
Dwarf: ,Male,71,145,53,Lawful Good,"[ 09, 10, 06, 11, 08, 10 ]",9.0,Commoner,414
Dwarf: ,Male,78,153,44,Chaotic Evil,"[ 04, 06, 06, 07, 11, 06 ]",6.67,Commoner,359
Dwarf: ,Female,64,120,46,Lawful Neutral,"[ 10, 09, 10, 05, 06, 11 ]",8.5,Commoner,396
