Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,73,122,44,Lawful Good,"[ 05, 08, 10, 05, 12, 04 ]",7.33,Commoner,362
Dwarf: ,Male,78,155,49,Lawful Evil,"[ 07, 09, 08, 06, 11, 09 ]",8.33,Commoner,384
Dwarf: ,Male,69,145,52,Lawful Good,"[ 09, 13, 09, 12, 08, 08 ]",9.83,Commoner,369
Dwarf: ,Female,71,129,50,Neutral Good,"[ 13, 07, 10, 09, 09, 10 ]",9.67,Commoner,348
Dwarf: ,Male,66,151,51,Lawful Evil,"[ 09, 11, 07, 07, 09, 09 ]",8.67,Commoner,419
Dwarf: ,Female,82,130,51,Lawful Neutral,"[ 08, 08, 11, 09, 08, 10 ]",9.0,Commoner,296
Dwarf: ,Male,65,150,44,Neutral Good,"[ 09, 07, 05, 05, 08, 08 ]",7.0,Commoner,413
Dwarf: ,Female,65,118,51,Lawful Neutral,"[ 13, 08, 10, 13, 14, 09 ]",11.17,Commoner,268
Dwarf: ,Female,71,123,50,Lawful Neutral,"[ 05, 11, 09, 05, 05, 08 ]",7.17,Commoner,318
Dwarf: ,Female,68,118,48,Chaotic Good,"[ 11, 17, 15, 09, 08, 09 ]",11.5,Elite,372
Half-Elf: ,Female,21,100,68,Neutral Good,"[ 16, 14, 10, 15, 13, 10 ]",13.0,Adventurer,165
Dwarf: ,Male,61,147,48,Lawful Evil,"[ 12, 16, 10, 10, 15, 05 ]",11.33,Elite,353
Dwarf: ,Male,67,148,44,Lawful Neutral,"[ 16, 12, 10, 11, 13, 12 ]",12.33,Elite,342
Dwarf: ,Female,62,116,44,Lawful Evil,"[ 05, 14, 12, 09, 08, 06 ]",9.0,Commoner,356
