Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,77,160,46,Chaotic Evil,"[ 08, 07, 11, 07, 03, 10 ]",7.67,Commoner,294
Dwarf: ,Male,84,158,51,Chaotic Good,"[ 07, 11, 14, 11, 07, 13 ]",10.5,Commoner,392
Dwarf: ,Female,80,119,47,Lawful Neutral,"[ 09, 10, 08, 06, 09, 14 ]",9.33,Commoner,397
Dwarf: ,Male,61,151,44,Chaotic Neutral,"[ 10, 10, 09, 12, 10, 08 ]",9.83,Commoner,325
Dwarf: ,Female,64,127,42,Chaotic Evil,"[ 11, 10, 09, 06, 10, 12 ]",9.67,Commoner,359
Dwarf: ,Male,79,152,44,Chaotic Neutral,"[ 08, 07, 10, 09, 08, 11 ]",8.83,Commoner,295
Dwarf: ,Male,72,161,50,Chaotic Good,"[ 09, 06, 13, 09, 14, 11 ]",10.33,Commoner,307
Dwarf: ,Female,61,132,48,Lawful Evil,"[ 12, 13, 07, 09, 09, 09 ]",9.83,Commoner,400
Elf: ,Male,117,98,63,Chaotic Evil,"[ 10, 08, 17, 11, 13, 12 ]",11.83,Elite,509
Gnome: ,Female,69,80,41,Chaotic Neutral,"[ 07, 14, 17, 05, 13, 17 ]",12.17,Elite,363
Dwarf: ,Male,68,152,45,Chaotic Evil,"[ 09, 10, 11, 09, 06, 07 ]",8.67,Commoner,440
Dwarf: ,Male,67,149,46,Lawful Good,"[ 09, 06, 12, 03, 08, 05 ]",7.17,Commoner,375
Dwarf: ,Male,63,150,44,Chaotic Evil,"[ 11, 09, 14, 12, 09, 10 ]",10.83,Commoner,347
Dwarf: ,Male,74,150,49,Chaotic Good,"[ 08, 08, 18, 18, 08, 08 ]",11.33,Elite,375
Dwarf: ,Female,68,124,42,Lawful Evil,"[ 10, 08, 06, 12, 11, 08 ]",9.17,Commoner,411
Dwarf: ,Female,77,125,43,Lawful Evil,"[ 07, 07, 07, 14, 09, 09 ]",8.83,Commoner,370
Dwarf: ,Female,69,140,48,Lawful Neutral,"[ 08, 09, 10, 10, 07, 06 ]",8.33,Commoner,417
Dwarf: ,Male,61,157,48,Chaotic Neutral,"[ 13, 10, 12, 04, 08, 05 ]",8.67,Commoner,354
Dwarf: ,Female,69,129,49,Chaotic Good,"[ 05, 07, 09, 13, 07, 06 ]",7.83,Commoner,354
Dwarf: ,Male,57,161,52,True Neutral,"[ 05, 12, 07, 06, 09, 13 ]",8.67,Commoner,344
Dwarf: ,Female,68,120,46,Neutral Good,"[ 09, 10, 11, 06, 09, 03 ]",8.0,Commoner,413
