Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,68,153,47,Lawful Good,"[ 07, 11, 08, 07, 09, 07 ]",8.17,Commoner,425
Dwarf: ,Female,62,119,44,Chaotic Evil,"[ 08, 10, 12, 17, 13, 08 ]",11.33,Elite,381
Dwarf: ,Female,58,125,47,Chaotic Evil,"[ 05, 10, 10, 07, 09, 13 ]",9.0,Commoner,440
Dwarf: ,Male,66,143,53,Lawful Good,"[ 06, 13, 07, 12, 12, 05 ]",9.17,Commoner,332
Dwarf: ,Female,69,127,42,Lawful Evil,"[ 12, 07, 08, 07, 13, 13 ]",10.0,Commoner,439
Dwarf: ,Male,72,150,44,Chaotic Neutral,"[ 09, 09, 10, 11, 13, 10 ]",10.33,Commoner,327
Dwarf: ,Female,60,122,43,Chaotic Evil,"[ 09, 07, 05, 09, 07, 08 ]",7.5,Commoner,314
Dwarf: ,Female,59,128,48,Lawful Good,"[ 12, 07, 13, 12, 05, 09 ]",9.67,Commoner,367
Dwarf: ,Male,61,151,48,Lawful Evil,"[ 08, 06, 10, 12, 12, 13 ]",10.17,Commoner,280
Dwarf: ,Male,65,153,53,Neutral Good,"[ 08, 08, 13, 13, 06, 06 ]",9.0,Commoner,346
Dwarf: ,Female,63,134,47,True Neutral,"[ 09, 14, 12, 12, 10, 14 ]",11.83,Elite,372
Dwarf: ,Male,63,148,48,Lawful Evil,"[ 10, 13, 06, 05, 12, 07 ]",8.83,Commoner,328
Dwarf: ,Male,63,153,53,Chaotic Good,"[ 13, 04, 16, 18, 09, 04 ]",10.67,Commoner,350
Dwarf: ,Male,64,142,53,Lawful Evil,"[ 11, 12, 11, 08, 11, 09 ]",10.33,Commoner,377
Half-Elf: ,Male,17,122,68,Lawful Good,"[ 12, 11, 16, 17, 15, 10 ]",13.5,Adventurer,153
Dwarf: ,Male,76,157,45,Lawful Neutral,"[ 08, 11, 10, 09, 07, 12 ]",9.5,Commoner,416
Half-Elf: ,Male,21,136,67,True Neutral,"[ 17, 11, 13, 09, 11, 17 ]",13.0,Adventurer,150
Dwarf: ,Male,60,150,46,Lawful Good,"[ 12, 07, 06, 05, 12, 10 ]",8.67,Commoner,351
Dwarf: ,Male,60,156,49,Lawful Good,"[ 11, 08, 08, 08, 09, 10 ]",9.0,Commoner,349
Dwarf: ,Male,60,148,49,Neutral Good,"[ 09, 05, 08, 10, 08, 09 ]",8.17,Commoner,370
Dwarf: ,Male,66,147,52,Chaotic Good,"[ 08, 10, 06, 07, 12, 10 ]",8.83,Commoner,385
Dwarf: ,Female,66,124,50,Chaotic Good,"[ 09, 11, 10, 08, 10, 11 ]",9.83,Commoner,302
Dwarf: ,Male,61,144,45,Lawful Good,"[ 11, 11, 08, 08, 10, 09 ]",9.5,Commoner,285
Dwarf: ,Male,54,153,45,Chaotic Evil,"[ 05, 05, 04, 09, 07, 08 ]",6.33,Commoner,288
Dwarf: ,Male,80,141,52,Chaotic Good,"[ 06, 09, 08, 14, 11, 09 ]",9.5,Commoner,388
Dwarf: ,Male,55,157,53,Lawful Evil,"[ 05, 08, 06, 07, 09, 09 ]",7.33,Commoner,394
Halfling: ,Female,29,59,42,Lawful Good,"[ 13, 15, 18, 08, 16, 07 ]",12.83,Adventurer,178
Dwarf: ,Male,83,150,48,Neutral Good,"[ 06, 09, 04, 07, 07, 10 ]",7.17,Commoner,325
Dwarf: ,Male,74,155,53,Neutral Evil,"[ 09, 12, 04, 09, 08, 13 ]",9.17,Commoner,326
Dwarf: ,Male,62,148,49,Chaotic Evil,"[ 05, 13, 11, 11, 09, 08 ]",9.5,Commoner,278
Dwarf: ,Male,69,164,51,Neutral Evil,"[ 03, 11, 11, 08, 08, 05 ]",7.67,Commoner,307
Dwarf: ,Female,64,126,47,Neutral Evil,"[ 05, 05, 11, 14, 07, 11 ]",8.83,Commoner,324
Dwarf: ,Female,63,125,49,Chaotic Evil,"[ 05, 07, 10, 06, 09, 11 ]",8.0,Commoner,328
Dwarf: ,Female,73,131,43,Lawful Neutral,"[ 10, 12, 05, 08, 07, 06 ]",8.0,Commoner,346
Dwarf: ,Male,65,149,46,Chaotic Good,"[ 04, 09, 04, 09, 05, 08 ]",6.5,Commoner,353
Dwarf: ,Male,69,164,49,Lawful Good,"[ 18, 15, 06, 18, 07, 12 ]",12.67,Elite,338
Dwarf: ,Female,60,135,51,Chaotic Neutral,"[ 12, 11, 13, 10, 06, 12 ]",10.67,Commoner,381
Dwarf: ,Female,60,126,44,Chaotic Good,"[ 07, 07, 13, 09, 06, 09 ]",8.5,Commoner,289
Dwarf: ,Female,67,121,44,Neutral Evil,"[ 11, 05, 14, 10, 12, 10 ]",10.33,Commoner,433
Dwarf: ,Female,71,130,44,Chaotic Good,"[ 13, 09, 11, 09, 05, 11 ]",9.67,Commoner,335
Dwarf: ,Male,76,144,52,Chaotic Good,"[ 08, 12, 05, 06, 06, 09 ]",7.67,Commoner,309
Dwarf: ,Male,56,157,51,Neutral Good,"[ 07, 10, 08, 07, 04, 10 ]",7.67,Commoner,290
Dwarf: ,Female,60,125,43,True Neutral,"[ 07, 12, 13, 08, 06, 08 ]",9.0,Commoner,291
Dwarf: ,Male,69,165,44,Chaotic Good,"[ 11, 13, 10, 10, 08, 07 ]",9.83,Commoner,317
Dwarf: ,Male,66,153,50,True Neutral,"[ 11, 11, 09, 10, 10, 13 ]",10.67,Commoner,359
Dwarf: ,Female,72,128,48,Lawful Evil,"[ 13, 07, 07, 13, 08, 11 ]",9.83,Commoner,375
Dwarf: ,Female,64,131,43,Chaotic Evil,"[ 09, 08, 09, 10, 10, 07 ]",8.83,Commoner,331
Dwarf: ,Female,72,126,45,True Neutral,"[ 11, 07, 07, 09, 08, 09 ]",8.5,Commoner,275
Dwarf: ,Male,68,149,52,Neutral Evil,"[ 12, 07, 06, 10, 11, 07 ]",8.83,Commoner,366
Dwarf: ,Male,77,150,53,Neutral Good,"[ 06, 12, 06, 06, 13, 08 ]",8.5,Commoner,327
Dwarf: ,Male,65,146,51,Neutral Evil,"[ 09, 09, 11, 11, 09, 09 ]",9.67,Commoner,371
Dwarf: ,Female,82,134,45,Chaotic Evil,"[ 09, 06, 07, 08, 04, 11 ]",7.5,Commoner,283
Dwarf: ,Female,63,141,44,Lawful Neutral,"[ 11, 13, 15, 11, 07, 08 ]",10.83,Commoner,365
Gnome: ,Male,80,86,43,Lawful Neutral,"[ 13, 18, 09, 09, 13, 14 ]",12.67,Elite,410
Dwarf: ,Male,74,155,48,Lawful Neutral,"[ 11, 07, 08, 12, 11, 10 ]",9.83,Commoner,365
Dwarf: ,Female,59,134,43,Neutral Good,"[ 07, 13, 13, 11, 09, 09 ]",10.33,Commoner,271
Dwarf: ,Female,61,123,51,Chaotic Good,"[ 11, 12, 08, 07, 08, 10 ]",9.33,Commoner,408
Dwarf: ,Female,70,133,48,Neutral Good,"[ 10, 13, 16, 11, 11, 08 ]",11.5,Elite,341
Dwarf: ,Female,83,123,48,Lawful Neutral,"[ 06, 10, 07, 10, 06, 06 ]",7.5,Commoner,362
Dwarf: ,Male,77,155,49,Chaotic Neutral,"[ 08, 08, 04, 14, 09, 15 ]",9.67,Commoner,421
Dwarf: ,Female,71,124,45,Lawful Evil,"[ 09, 11, 11, 12, 13, 10 ]",11.0,Commoner,318
Dwarf: ,Female,60,121,42,Neutral Good,"[ 08, 11, 07, 12, 08, 10 ]",9.33,Commoner,316
Dwarf: ,Male,69,153,48,Lawful Evil,"[ 07, 13, 12, 13, 11, 11 ]",11.17,Commoner,320
Dwarf: ,Female,61,129,48,Neutral Good,"[ 08, 08, 05, 11, 06, 06 ]",7.33,Commoner,403
Dwarf: ,Male,69,153,51,Chaotic Neutral,"[ 12, 09, 09, 14, 08, 14 ]",11.0,Commoner,393
Dwarf: ,Male,66,153,44,Lawful Evil,"[ 10, 08, 13, 12, 05, 06 ]",9.0,Commoner,338
Dwarf: ,Male,66,144,45,Neutral Good,"[ 15, 07, 07, 12, 05, 10 ]",9.33,Commoner,407
Half-Elf: ,Female,21,100,64,Chaotic Neutral,"[ 14, 15, 11, 14, 11, 11 ]",12.67,Elite,164
Gnome: ,Female,80,81,41,True Neutral,"[ 08, 13, 11, 10, 12, 18 ]",12.0,Elite,393
Dwarf: ,Female,69,117,49,Chaotic Evil,"[ 11, 08, 05, 11, 10, 06 ]",8.5,Commoner,391
Dwarf: ,Female,75,130,49,Neutral Good,"[ 10, 08, 13, 08, 07, 08 ]",9.0,Commoner,306
Dwarf: ,Male,58,155,46,Chaotic Good,"[ 08, 09, 12, 10, 07, 10 ]",9.33,Commoner,338
Dwarf: ,Female,63,125,50,Lawful Neutral,"[ 08, 06, 06, 10, 07, 11 ]",8.0,Commoner,420
Dwarf: ,Female,56,133,46,Chaotic Neutral,"[ 10, 11, 12, 12, 09, 11 ]",10.83,Commoner,374
Dwarf: ,Male,70,153,44,Chaotic Neutral,"[ 10, 10, 08, 13, 06, 06 ]",8.83,Commoner,416
Dwarf: ,Female,72,128,42,Lawful Evil,"[ 13, 10, 09, 08, 04, 11 ]",9.17,Commoner,334
Dwarf: ,Male,61,148,49,Lawful Evil,"[ 06, 14, 12, 10, 10, 04 ]",9.33,Commoner,306
Dwarf: ,Male,64,148,47,Neutral Good,"[ 12, 10, 08, 13, 12, 07 ]",10.33,Commoner,390
Dwarf: ,Female,69,126,46,Chaotic Good,"[ 09, 09, 07, 15, 11, 11 ]",10.33,Commoner,445
Dwarf: ,Male,75,168,47,Lawful Evil,"[ 04, 08, 10, 06, 11, 10 ]",8.17,Commoner,400
Dwarf: ,Male,63,155,45,Lawful Neutral,"[ 11, 12, 09, 12, 10, 13 ]",11.17,Commoner,300
Dwarf: ,Male,61,160,47,Neutral Good,"[ 08, 08, 10, 12, 12, 09 ]",9.83,Commoner,410
Dwarf: ,Male,85,139,52,Chaotic Good,"[ 03, 07, 05, 10, 08, 13 ]",7.67,Commoner,331
Dwarf: ,Male,68,149,49,Lawful Neutral,"[ 10, 05, 10, 06, 08, 12 ]",8.5,Commoner,336
Gnome: ,Female,91,79,38,Lawful Good,"[ 11, 10, 12, 17, 14, 13 ]",12.83,Adventurer,254
Dwarf: ,Male,68,149,51,Chaotic Neutral,"[ 08, 11, 07, 08, 13, 07 ]",9.0,Commoner,335
Dwarf: ,Male,59,157,46,Chaotic Evil,"[ 10, 13, 11, 13, 11, 09 ]",11.17,Commoner,367
Dwarf: ,Female,53,134,42,Chaotic Good,"[ 14, 10, 05, 09, 11, 06 ]",9.17,Commoner,375
Dwarf: ,Female,61,135,51,Lawful Neutral,"[ 06, 09, 11, 11, 12, 09 ]",9.67,Commoner,363
Dwarf: ,Male,74,151,45,True Neutral,"[ 07, 12, 12, 12, 14, 12 ]",11.5,Elite,338
Dwarf: ,Female,68,134,46,True Neutral,"[ 11, 12, 04, 05, 11, 05 ]",8.0,Commoner,316
Dwarf: ,Male,72,158,45,Lawful Good,"[ 08, 08, 08, 08, 11, 10 ]",8.83,Commoner,356
Dwarf: ,Female,68,130,46,Chaotic Evil,"[ 07, 08, 05, 08, 07, 08 ]",7.17,Commoner,314
Dwarf: ,Female,69,129,42,Chaotic Evil,"[ 13, 08, 11, 08, 11, 04 ]",9.17,Commoner,373
Dwarf: ,Male,73,149,45,Chaotic Evil,"[ 10, 11, 04, 04, 12, 08 ]",8.17,Commoner,427
Dwarf: ,Male,57,146,50,Lawful Neutral,"[ 11, 09, 06, 11, 09, 07 ]",8.83,Commoner,372
Dwarf: ,Male,62,154,51,Neutral Good,"[ 08, 11, 08, 12, 08, 10 ]",9.5,Commoner,378
Half-Elf: ,Female,21,96,66,Lawful Neutral,"[ 12, 11, 09, 18, 09, 13 ]",12.0,Elite,144
Halfling: ,Female,29,57,40,Chaotic Evil,"[ 10, 13, 15, 13, 13, 07 ]",11.83,Elite,152
Dwarf: ,Female,72,132,42,Chaotic Evil,"[ 10, 12, 09, 11, 10, 08 ]",10.0,Commoner,424
Dwarf: ,Male,63,156,48,Lawful Neutral,"[ 07, 09, 13, 10, 10, 11 ]",10.0,Commoner,292
Dwarf: ,Female,66,123,49,Chaotic Good,"[ 04, 12, 09, 11, 09, 04 ]",8.17,Commoner,368
Half-Elf: ,Male,17,127,68,Neutral Evil,"[ 14, 15, 08, 12, 16, 09 ]",12.33,Elite,150
Dwarf: ,Female,67,131,42,Lawful Neutral,"[ 04, 14, 16, 14, 07, 08 ]",10.5,Commoner,389
Dwarf: ,Male,63,144,45,True Neutral,"[ 09, 09, 09, 08, 08, 07 ]",8.33,Commoner,263
Dwarf: ,Female,58,121,43,Lawful Neutral,"[ 12, 09, 07, 10, 11, 07 ]",9.33,Commoner,311
Dwarf: ,Male,68,159,46,True Neutral,"[ 09, 07, 06, 10, 08, 10 ]",8.33,Commoner,344
Dwarf: ,Female,59,133,47,Chaotic Good,"[ 08, 09, 05, 08, 10, 11 ]",8.5,Commoner,392
Dwarf: ,Female,62,125,47,Chaotic Neutral,"[ 11, 10, 05, 11, 09, 07 ]",8.83,Commoner,404
Dwarf: ,Male,69,148,45,Lawful Neutral,"[ 08, 13, 09, 08, 09, 08 ]",9.17,Commoner,305
Dwarf: ,Male,69,148,46,Lawful Neutral,"[ 12, 08, 12, 07, 05, 04 ]",8.0,Commoner,355
Dwarf: ,Female,57,135,46,Chaotic Neutral,"[ 10, 11, 07, 05, 11, 08 ]",8.67,Commoner,307
Dwarf: ,Male,53,155,47,Lawful Neutral,"[ 12, 11, 09, 14, 07, 06 ]",9.83,Commoner,357
Dwarf: ,Male,72,160,46,Chaotic Good,"[ 09, 11, 13, 14, 13, 08 ]",11.33,Elite,279
Dwarf: ,Female,72,124,42,Neutral Evil,"[ 04, 08, 06, 04, 07, 10 ]",6.5,Commoner,383
Dwarf: ,Male,65,154,47,Lawful Good,"[ 05, 07, 03, 10, 08, 15 ]",8.0,Commoner,272
Dwarf: ,Male,79,146,44,Chaotic Evil,"[ 09, 06, 10, 10, 14, 14 ]",10.5,Commoner,419
Dwarf: ,Female,63,129,48,True Neutral,"[ 18, 08, 13, 08, 18, 08 ]",12.17,Elite,349
Dwarf: ,Male,64,152,49,Lawful Evil,"[ 16, 09, 08, 03, 11, 12 ]",9.83,Commoner,361
Dwarf: ,Female,78,129,51,Chaotic Evil,"[ 13, 08, 03, 08, 11, 06 ]",8.17,Commoner,340
Halfling: ,Male,31,65,45,True Neutral,"[ 12, 16, 10, 18, 11, 12 ]",13.17,Adventurer,177
Dwarf: ,Female,52,128,48,Chaotic Neutral,"[ 08, 06, 10, 07, 13, 09 ]",8.83,Commoner,332
Dwarf: ,Female,61,118,48,Neutral Good,"[ 13, 10, 10, 07, 09, 07 ]",9.33,Commoner,332
Dwarf: ,Female,59,128,51,Chaotic Evil,"[ 10, 11, 09, 06, 05, 04 ]",7.5,Commoner,358
Dwarf: ,Male,69,150,50,Chaotic Neutral,"[ 09, 05, 10, 13, 13, 11 ]",10.17,Commoner,333
Dwarf: ,Male,56,142,49,Neutral Evil,"[ 10, 09, 10, 07, 13, 10 ]",9.83,Commoner,325
Dwarf: ,Male,71,154,50,Chaotic Good,"[ 10, 05, 11, 12, 10, 06 ]",9.0,Commoner,301
Dwarf: ,Female,67,134,50,Chaotic Neutral,"[ 13, 10, 08, 09, 05, 09 ]",9.0,Commoner,347
Dwarf: ,Male,67,150,53,Lawful Evil,"[ 08, 13, 11, 10, 11, 06 ]",9.83,Commoner,312
Dwarf: ,Female,66,129,47,Lawful Good,"[ 08, 09, 08, 10, 11, 10 ]",9.33,Commoner,373
Dwarf: ,Male,70,160,46,Lawful Good,"[ 11, 09, 06, 12, 06, 08 ]",8.67,Commoner,397
Dwarf: ,Male,71,150,46,Chaotic Good,"[ 10, 09, 09, 10, 12, 07 ]",9.5,Commoner,325
Dwarf: ,Male,64,149,51,Chaotic Evil,"[ 06, 11, 09, 09, 13, 09 ]",9.5,Commoner,292
Dwarf: ,Male,73,148,45,Lawful Neutral,"[ 13, 10, 12, 14, 11, 06 ]",11.0,Commoner,300
Dwarf: ,Male,66,154,45,Chaotic Neutral,"[ 09, 08, 12, 07, 11, 09 ]",9.33,Commoner,385
Dwarf: ,Female,66,119,47,Neutral Evil,"[ 10, 14, 06, 06, 13, 11 ]",10.0,Commoner,440
Dwarf: ,Male,60,159,46,Neutral Good,"[ 10, 11, 07, 06, 10, 14 ]",9.67,Commoner,309
Dwarf: ,Male,72,149,44,Chaotic Evil,"[ 11, 09, 11, 08, 12, 08 ]",9.83,Commoner,348
