Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,63,124,43,Lawful Good,"[ 10, 05, 05, 11, 05, 08 ]",7.33,Commoner,335
Dwarf: ,Male,69,156,49,Lawful Neutral,"[ 07, 06, 13, 09, 05, 09 ]",8.17,Commoner,313
Dwarf: ,Male,74,153,51,Lawful Neutral,"[ 10, 11, 09, 07, 09, 07 ]",8.83,Commoner,370
Dwarf: ,Female,61,117,50,Neutral Good,"[ 05, 08, 10, 10, 09, 11 ]",8.83,Commoner,290
Dwarf: ,Female,67,123,48,Chaotic Good,"[ 13, 09, 09, 08, 12, 05 ]",9.33,Commoner,333
Dwarf: ,Female,74,125,44,Chaotic Good,"[ 11, 07, 13, 14, 10, 13 ]",11.33,Elite,368
Dwarf: ,Female,68,126,42,Chaotic Neutral,"[ 07, 11, 15, 09, 05, 09 ]",9.33,Commoner,320
Dwarf: ,Male,78,141,48,Lawful Evil,"[ 09, 14, 06, 06, 15, 15 ]",10.83,Commoner,373
Dwarf: ,Female,71,131,46,Neutral Evil,"[ 04, 10, 14, 05, 10, 09 ]",8.67,Commoner,387
Dwarf: ,Female,64,126,46,True Neutral,"[ 08, 06, 05, 10, 12, 05 ]",7.67,Commoner,321
Dwarf: ,Female,68,125,48,Chaotic Good,"[ 12, 12, 09, 06, 12, 10 ]",10.17,Commoner,392
Dwarf: ,Female,66,128,48,Chaotic Good,"[ 06, 08, 13, 10, 10, 10 ]",9.5,Commoner,437
Dwarf: ,Male,59,149,50,True Neutral,"[ 06, 13, 04, 09, 08, 06 ]",7.67,Commoner,375
Dwarf: ,Male,59,146,51,Chaotic Good,"[ 08, 09, 08, 09, 05, 13 ]",8.67,Commoner,349
Human: ,Male,19,171,68,Chaotic Evil,"[ 12, 09, 16, 09, 12, 15 ]",12.17,Elite,109
Dwarf: ,Male,73,154,48,Chaotic Good,"[ 07, 12, 11, 06, 13, 08 ]",9.5,Commoner,440
Dwarf: ,Male,66,155,49,Lawful Evil,"[ 09, 13, 09, 13, 13, 08 ]",10.83,Commoner,351
Dwarf: ,Female,69,131,43,Neutral Good,"[ 06, 13, 07, 12, 12, 09 ]",9.83,Commoner,277
Dwarf: ,Female,57,124,48,Lawful Good,"[ 13, 08, 07, 10, 10, 10 ]",9.67,Commoner,392
Dwarf: ,Female,70,123,51,True Neutral,"[ 06, 08, 09, 09, 04, 08 ]",7.33,Commoner,296
Dwarf: ,Male,60,147,50,Lawful Good,"[ 12, 13, 10, 10, 13, 11 ]",11.5,Elite,312
Gnome: ,Male,80,85,44,Neutral Evil,"[ 09, 14, 15, 15, 12, 12 ]",12.83,Adventurer,360
Dwarf: ,Male,66,158,52,True Neutral,"[ 10, 12, 05, 11, 10, 06 ]",9.0,Commoner,427
Dwarf: ,Female,59,127,48,Neutral Good,"[ 08, 11, 08, 12, 08, 09 ]",9.33,Commoner,374
Dwarf: ,Female,71,136,42,Chaotic Evil,"[ 06, 08, 07, 07, 08, 11 ]",7.83,Commoner,312
Dwarf: ,Female,59,136,45,Lawful Neutral,"[ 04, 14, 13, 18, 05, 14 ]",11.33,Elite,318
Dwarf: ,Female,66,127,51,Lawful Evil,"[ 07, 12, 07, 07, 12, 14 ]",9.83,Commoner,423
Dwarf: ,Male,59,147,44,Chaotic Evil,"[ 10, 12, 11, 10, 10, 05 ]",9.67,Commoner,317
Dwarf: ,Male,60,151,53,Lawful Evil,"[ 06, 08, 04, 11, 13, 06 ]",8.0,Commoner,375
Dwarf: ,Female,73,134,48,Lawful Good,"[ 11, 08, 06, 10, 07, 08 ]",8.33,Commoner,367
Dwarf: ,Male,76,163,53,Chaotic Evil,"[ 08, 10, 06, 08, 11, 07 ]",8.33,Commoner,388
Dwarf: ,Female,60,127,50,Chaotic Evil,"[ 05, 09, 12, 09, 04, 10 ]",8.17,Commoner,298
Dwarf: ,Female,68,118,46,Chaotic Evil,"[ 12, 11, 07, 10, 07, 06 ]",8.83,Commoner,397
Dwarf: ,Male,75,152,48,Neutral Good,"[ 09, 12, 04, 08, 15, 10 ]",9.67,Commoner,272
Dwarf: ,Male,68,151,50,Chaotic Evil,"[ 08, 05, 09, 08, 09, 11 ]",8.33,Commoner,377
Dwarf: ,Male,83,156,53,Chaotic Neutral,"[ 11, 08, 11, 09, 10, 12 ]",10.17,Commoner,291
Dwarf: ,Female,80,122,45,Chaotic Evil,"[ 11, 04, 08, 08, 07, 13 ]",8.5,Commoner,387
Dwarf: ,Female,61,124,47,Lawful Neutral,"[ 09, 07, 10, 09, 13, 08 ]",9.33,Commoner,442
Dwarf: ,Male,72,146,52,True Neutral,"[ 12, 07, 09, 07, 11, 14 ]",10.0,Commoner,384
Elf: ,Male,111,108,56,Neutral Good,"[ 10, 13, 14, 16, 10, 11 ]",12.33,Elite,525
Dwarf: ,Female,78,129,49,Chaotic Neutral,"[ 05, 08, 07, 11, 10, 08 ]",8.17,Commoner,313
Dwarf: ,Male,59,148,44,Neutral Good,"[ 12, 07, 10, 11, 08, 11 ]",9.83,Commoner,378
Dwarf: ,Male,67,151,46,Chaotic Neutral,"[ 10, 13, 10, 09, 11, 06 ]",9.83,Commoner,430
Dwarf: ,Female,54,131,45,Chaotic Evil,"[ 12, 04, 05, 11, 09, 09 ]",8.33,Commoner,332
Dwarf: ,Male,72,143,47,Lawful Good,"[ 10, 14, 11, 10, 13, 05 ]",10.5,Commoner,342
Dwarf: ,Male,75,154,52,True Neutral,"[ 07, 07, 13, 06, 07, 08 ]",8.0,Commoner,365
Dwarf: ,Male,66,157,48,True Neutral,"[ 07, 06, 13, 08, 09, 12 ]",9.17,Commoner,438
Dwarf: ,Female,73,121,48,Lawful Evil,"[ 14, 11, 11, 08, 09, 10 ]",10.5,Commoner,303
Dwarf: ,Male,67,156,44,Chaotic Good,"[ 08, 09, 10, 09, 12, 16 ]",10.67,Commoner,312
Dwarf: ,Female,74,116,43,Lawful Evil,"[ 09, 10, 11, 10, 08, 08 ]",9.33,Commoner,292
Dwarf: ,Male,77,151,49,Chaotic Neutral,"[ 14, 08, 14, 10, 13, 08 ]",11.17,Commoner,342
Dwarf: ,Female,73,128,51,Neutral Good,"[ 07, 10, 11, 11, 07, 10 ]",9.33,Commoner,312
