Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,58,156,53,Chaotic Good,"[ 08, 11, 07, 06, 10, 03 ]",7.5,Commoner,426
Dwarf: ,Female,58,123,51,True Neutral,"[ 06, 08, 08, 08, 11, 11 ]",8.67,Commoner,318
Dwarf: ,Male,86,148,45,Neutral Evil,"[ 07, 10, 11, 11, 07, 11 ]",9.5,Commoner,369
Dwarf: ,Female,73,118,42,Neutral Good,"[ 10, 13, 10, 06, 11, 09 ]",9.83,Commoner,345
Dwarf: ,Male,70,148,49,Lawful Neutral,"[ 06, 09, 09, 08, 09, 05 ]",7.67,Commoner,410
Dwarf: ,Female,57,125,50,Lawful Neutral,"[ 06, 09, 13, 05, 08, 11 ]",8.67,Commoner,378
Dwarf: ,Male,67,160,51,Lawful Neutral,"[ 08, 03, 06, 09, 06, 13 ]",7.5,Commoner,359
Dwarf: ,Male,73,148,45,Neutral Good,"[ 06, 07, 07, 10, 08, 11 ]",8.17,Commoner,398
Dwarf: ,Male,69,154,46,Lawful Neutral,"[ 10, 12, 09, 13, 10, 09 ]",10.5,Commoner,296
Dwarf: ,Male,77,147,53,Chaotic Good,"[ 09, 08, 11, 04, 06, 06 ]",7.33,Commoner,291
Dwarf: ,Male,67,147,53,True Neutral,"[ 11, 05, 08, 06, 10, 08 ]",8.0,Commoner,349
Dwarf: ,Female,72,130,43,Neutral Good,"[ 10, 11, 05, 09, 12, 09 ]",9.33,Commoner,445
Dwarf: ,Male,66,142,50,Neutral Evil,"[ 10, 13, 10, 07, 09, 10 ]",9.83,Commoner,361
Dwarf: ,Female,71,130,43,Neutral Evil,"[ 05, 07, 11, 06, 05, 10 ]",7.33,Commoner,375
Dwarf: ,Female,76,121,51,Chaotic Neutral,"[ 08, 06, 10, 07, 10, 11 ]",8.67,Commoner,388
Dwarf: ,Male,74,165,49,True Neutral,"[ 11, 08, 11, 06, 11, 10 ]",9.5,Commoner,387
Dwarf: ,Male,69,144,53,Neutral Evil,"[ 11, 05, 08, 08, 10, 05 ]",7.83,Commoner,393
