Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,62,160,45,Chaotic Neutral,"[ 10, 09, 13, 06, 07, 15 ]",10.0,Commoner,406
Dwarf: ,Female,61,120,51,True Neutral,"[ 04, 09, 08, 08, 08, 11 ]",8.0,Commoner,377
Dwarf: ,Male,62,155,44,Neutral Evil,"[ 10, 09, 07, 06, 04, 09 ]",7.5,Commoner,386
Dwarf: ,Female,76,115,46,Neutral Evil,"[ 12, 06, 07, 10, 08, 07 ]",8.33,Commoner,381
Dwarf: ,Male,69,154,53,Lawful Neutral,"[ 06, 18, 15, 15, 05, 07 ]",11.0,Commoner,365
Dwarf: ,Female,68,126,48,Lawful Good,"[ 08, 09, 07, 07, 09, 06 ]",7.67,Commoner,306
Dwarf: ,Female,70,128,50,Chaotic Neutral,"[ 14, 08, 05, 09, 14, 16 ]",11.0,Commoner,287
Dwarf: ,Female,76,135,50,Lawful Neutral,"[ 12, 11, 08, 09, 10, 11 ]",10.17,Commoner,262
Dwarf: ,Male,82,150,46,Lawful Neutral,"[ 10, 13, 11, 07, 06, 04 ]",8.5,Commoner,321
Dwarf: ,Female,67,130,48,Lawful Evil,"[ 07, 09, 05, 08, 12, 03 ]",7.33,Commoner,376
Dwarf: ,Male,72,147,47,Lawful Good,"[ 12, 06, 11, 10, 05, 08 ]",8.67,Commoner,265
Dwarf: ,Male,71,148,52,Lawful Evil,"[ 11, 09, 06, 05, 06, 07 ]",7.33,Commoner,353
Dwarf: ,Female,82,134,47,Lawful Evil,"[ 18, 07, 03, 09, 07, 10 ]",9.0,Commoner,346
Dwarf: ,Male,65,155,51,Neutral Good,"[ 13, 05, 08, 10, 03, 14 ]",8.83,Commoner,396
Dwarf: ,Male,79,145,49,True Neutral,"[ 09, 09, 09, 10, 12, 09 ]",9.67,Commoner,351
Dwarf: ,Female,56,132,42,Neutral Evil,"[ 10, 07, 09, 12, 12, 10 ]",10.0,Commoner,271
Dwarf: ,Male,79,153,51,Lawful Good,"[ 10, 13, 07, 10, 10, 12 ]",10.33,Commoner,366
Dwarf: ,Male,72,145,48,Neutral Good,"[ 06, 10, 10, 08, 08, 11 ]",8.83,Commoner,284
Dwarf: ,Male,76,152,49,Neutral Good,"[ 09, 08, 15, 09, 08, 08 ]",9.5,Commoner,399
Dwarf: ,Male,63,158,44,Chaotic Good,"[ 07, 14, 09, 11, 11, 09 ]",10.17,Commoner,340
Dwarf: ,Female,68,117,43,True Neutral,"[ 06, 14, 11, 06, 09, 05 ]",8.5,Commoner,337
Dwarf: ,Male,69,151,52,Neutral Evil,"[ 13, 09, 11, 10, 12, 14 ]",11.5,Elite,363
Gnome: ,Female,82,77,42,Chaotic Good,"[ 11, 13, 08, 15, 14, 10 ]",11.83,Elite,374
Dwarf: ,Male,60,157,51,Chaotic Neutral,"[ 06, 09, 12, 15, 12, 09 ]",10.5,Commoner,284
Dwarf: ,Female,62,129,47,Neutral Evil,"[ 09, 08, 03, 12, 17, 17 ]",11.0,Commoner,363
Dwarf: ,Male,67,151,47,Chaotic Neutral,"[ 08, 06, 09, 05, 07, 11 ]",7.67,Commoner,310
Dwarf: ,Male,74,154,45,Neutral Good,"[ 12, 09, 07, 11, 04, 06 ]",8.17,Commoner,326
Dwarf: ,Male,76,142,50,Neutral Evil,"[ 11, 13, 05, 09, 11, 11 ]",10.0,Commoner,427
Dwarf: ,Male,65,152,45,Lawful Evil,"[ 11, 10, 08, 08, 08, 08 ]",8.83,Commoner,372
Dwarf: ,Female,73,123,49,Chaotic Good,"[ 08, 09, 12, 07, 17, 04 ]",9.5,Commoner,384
Dwarf: ,Male,74,153,48,Lawful Neutral,"[ 05, 10, 05, 09, 09, 09 ]",7.83,Commoner,347
Dwarf: ,Male,57,147,50,Lawful Evil,"[ 11, 09, 08, 09, 13, 10 ]",10.0,Commoner,326
Dwarf: ,Male,67,159,45,Chaotic Evil,"[ 12, 07, 06, 06, 12, 11 ]",9.0,Commoner,371
Dwarf: ,Male,71,154,45,Chaotic Good,"[ 11, 09, 08, 08, 08, 14 ]",9.67,Commoner,434
Dwarf: ,Female,76,134,46,Lawful Evil,"[ 06, 09, 05, 10, 10, 05 ]",7.5,Commoner,319
Dwarf: ,Female,67,124,49,Neutral Evil,"[ 07, 09, 09, 09, 11, 08 ]",8.83,Commoner,391
Half-Elf: ,Female,20,108,64,Lawful Neutral,"[ 11, 15, 13, 15, 10, 15 ]",13.17,Adventurer,156
Dwarf: ,Male,67,159,45,Chaotic Neutral,"[ 09, 13, 10, 10, 12, 12 ]",11.0,Commoner,273
Dwarf: ,Female,67,131,42,Neutral Good,"[ 11, 12, 06, 12, 10, 09 ]",10.0,Commoner,351
Dwarf: ,Male,71,161,51,Neutral Evil,"[ 11, 10, 16, 07, 10, 06 ]",10.0,Commoner,378
Dwarf: ,Female,83,130,48,True Neutral,"[ 12, 13, 05, 08, 08, 12 ]",9.67,Commoner,432
Dwarf: ,Female,82,125,46,Lawful Neutral,"[ 11, 09, 08, 10, 11, 06 ]",9.17,Commoner,290
Dwarf: ,Male,65,152,50,Lawful Good,"[ 14, 11, 09, 15, 08, 08 ]",10.83,Commoner,318
Dwarf: ,Male,61,150,50,Chaotic Good,"[ 09, 06, 05, 08, 06, 10 ]",7.33,Commoner,395
Dwarf: ,Male,79,146,50,Chaotic Evil,"[ 07, 09, 06, 14, 13, 09 ]",9.67,Commoner,398
Dwarf: ,Female,64,123,42,Lawful Evil,"[ 04, 12, 10, 09, 04, 09 ]",8.0,Commoner,281
Dwarf: ,Female,78,130,48,Neutral Evil,"[ 08, 06, 08, 07, 15, 07 ]",8.5,Commoner,364
Dwarf: ,Male,73,155,48,Chaotic Good,"[ 06, 07, 06, 05, 05, 08 ]",6.17,Commoner,353
Dwarf: ,Female,59,138,48,Lawful Good,"[ 10, 08, 15, 13, 07, 11 ]",10.67,Commoner,368
Dwarf: ,Female,66,130,46,Lawful Neutral,"[ 08, 12, 07, 08, 04, 10 ]",8.17,Commoner,381
Dwarf: ,Male,65,155,46,Chaotic Neutral,"[ 09, 09, 10, 05, 13, 09 ]",9.17,Commoner,305
Dwarf: ,Female,65,122,44,Neutral Evil,"[ 12, 03, 12, 08, 11, 10 ]",9.33,Commoner,296
