Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,76,154,51,Chaotic Good,"[ 07, 14, 08, 13, 11, 07 ]",10.0,Commoner,307
Dwarf: ,Female,68,124,44,Chaotic Good,"[ 11, 10, 05, 14, 07, 12 ]",9.83,Commoner,359
Dwarf: ,Male,67,153,51,Chaotic Good,"[ 06, 08, 07, 13, 09, 06 ]",8.17,Commoner,368
Dwarf: ,Male,71,165,45,Chaotic Evil,"[ 10, 10, 10, 05, 06, 06 ]",7.83,Commoner,375
Dwarf: ,Female,70,132,45,Lawful Good,"[ 09, 10, 08, 10, 12, 11 ]",10.0,Commoner,362
Dwarf: ,Male,56,165,48,Neutral Evil,"[ 14, 11, 10, 11, 08, 11 ]",10.83,Commoner,348
Dwarf: ,Male,61,159,49,Lawful Evil,"[ 05, 13, 09, 05, 06, 08 ]",7.67,Commoner,360
Dwarf: ,Female,71,127,46,Chaotic Good,"[ 12, 07, 05, 11, 11, 10 ]",9.33,Commoner,297
Dwarf: ,Male,66,155,51,Chaotic Evil,"[ 06, 12, 06, 11, 10, 05 ]",8.33,Commoner,378
Dwarf: ,Female,53,134,45,Chaotic Good,"[ 09, 10, 08, 09, 11, 10 ]",9.5,Commoner,360
Dwarf: ,Male,70,145,51,Chaotic Neutral,"[ 10, 08, 07, 10, 14, 12 ]",10.17,Commoner,360
Dwarf: ,Female,52,117,46,Neutral Evil,"[ 13, 06, 08, 08, 12, 08 ]",9.17,Commoner,371
Dwarf: ,Female,63,139,48,Lawful Evil,"[ 09, 08, 09, 13, 11, 04 ]",9.0,Commoner,431
Dwarf: ,Male,54,148,47,Lawful Good,"[ 13, 11, 09, 10, 10, 10 ]",10.5,Commoner,298
Half-Elf: ,Female,17,109,64,Neutral Good,"[ 10, 10, 10, 16, 13, 12 ]",11.83,Elite,164
Dwarf: ,Male,58,153,49,Chaotic Evil,"[ 12, 11, 09, 05, 09, 06 ]",8.67,Commoner,354
Dwarf: ,Female,63,124,44,True Neutral,"[ 13, 08, 09, 11, 07, 08 ]",9.33,Commoner,364
Dwarf: ,Female,73,128,48,Chaotic Neutral,"[ 06, 13, 11, 11, 15, 06 ]",10.33,Commoner,330
Dwarf: ,Female,69,111,43,True Neutral,"[ 06, 08, 12, 07, 07, 06 ]",7.67,Commoner,286
Dwarf: ,Female,61,132,48,Chaotic Good,"[ 12, 07, 08, 11, 09, 11 ]",9.67,Commoner,311
Dwarf: ,Male,65,160,45,Chaotic Neutral,"[ 08, 10, 11, 12, 08, 08 ]",9.5,Commoner,326
Dwarf: ,Male,77,148,53,Chaotic Evil,"[ 09, 09, 09, 07, 08, 05 ]",7.83,Commoner,351
Dwarf: ,Male,70,146,47,Neutral Evil,"[ 10, 10, 11, 06, 09, 12 ]",9.67,Commoner,327
Half-Elf: ,Female,17,110,60,Chaotic Good,"[ 15, 08, 17, 13, 09, 13 ]",12.5,Elite,164
Dwarf: ,Female,76,128,42,Lawful Evil,"[ 06, 11, 18, 16, 08, 05 ]",10.67,Commoner,397
Dwarf: ,Male,71,156,51,True Neutral,"[ 12, 08, 12, 05, 08, 07 ]",8.67,Commoner,342
Dwarf: ,Female,64,133,45,True Neutral,"[ 05, 07, 11, 03, 09, 12 ]",7.83,Commoner,389
Dwarf: ,Female,66,114,50,Lawful Evil,"[ 12, 12, 11, 06, 11, 13 ]",10.83,Commoner,284
Dwarf: ,Male,66,157,49,Lawful Neutral,"[ 06, 13, 09, 06, 12, 07 ]",8.83,Commoner,323
Dwarf: ,Male,64,161,47,Lawful Evil,"[ 08, 06, 10, 10, 08, 12 ]",9.0,Commoner,423
Dwarf: ,Female,64,128,42,Chaotic Neutral,"[ 05, 13, 08, 12, 09, 06 ]",8.83,Commoner,369
Human: ,Female,18,120,66,True Neutral,"[ 14, 16, 16, 13, 13, 11 ]",13.83,Adventurer,104
Dwarf: ,Male,66,144,48,Lawful Evil,"[ 14, 09, 12, 05, 14, 07 ]",10.17,Commoner,262
Dwarf: ,Male,71,158,50,Neutral Evil,"[ 08, 11, 06, 09, 12, 09 ]",9.17,Commoner,398
Dwarf: ,Female,74,128,48,Lawful Evil,"[ 09, 08, 12, 12, 06, 14 ]",10.17,Commoner,374
Dwarf: ,Female,68,132,49,Lawful Neutral,"[ 11, 10, 11, 12, 04, 09 ]",9.5,Commoner,311
Dwarf: ,Male,60,154,45,Lawful Neutral,"[ 12, 09, 08, 10, 09, 07 ]",9.17,Commoner,269
Dwarf: ,Male,68,138,46,Lawful Good,"[ 10, 09, 08, 09, 10, 07 ]",8.83,Commoner,352
Dwarf: ,Male,63,151,45,Lawful Neutral,"[ 05, 12, 07, 10, 10, 07 ]",8.5,Commoner,362
Dwarf: ,Female,62,111,48,Neutral Good,"[ 09, 12, 07, 11, 04, 07 ]",8.33,Commoner,271
