Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Half-Elf: ,Male,18,121,69,True Neutral,"[ 09, 10, 18, 11, 09, 15 ]",12.0,Elite,156
Dwarf: ,Female,63,133,44,Chaotic Good,"[ 10, 07, 05, 07, 10, 06 ]",7.5,Commoner,422
Dwarf: ,Male,74,142,44,Neutral Evil,"[ 10, 12, 06, 06, 12, 08 ]",9.0,Commoner,347
Dwarf: ,Male,81,146,51,Chaotic Neutral,"[ 08, 07, 13, 07, 10, 07 ]",8.67,Commoner,352
Dwarf: ,Female,68,116,42,Neutral Evil,"[ 11, 10, 08, 13, 12, 09 ]",10.5,Commoner,394
Dwarf: ,Female,64,122,47,Chaotic Evil,"[ 09, 09, 14, 09, 12, 10 ]",10.5,Commoner,354
Dwarf: ,Female,63,130,42,Lawful Neutral,"[ 07, 06, 14, 09, 13, 13 ]",10.33,Commoner,264
Dwarf: ,Female,78,134,43,Lawful Good,"[ 04, 09, 07, 09, 06, 10 ]",7.5,Commoner,376
Dwarf: ,Female,71,134,45,Neutral Evil,"[ 11, 08, 04, 03, 06, 06 ]",6.33,Commoner,338
Dwarf: ,Female,72,120,46,Chaotic Neutral,"[ 11, 08, 09, 09, 13, 08 ]",9.67,Commoner,377
Dwarf: ,Female,70,139,45,Chaotic Good,"[ 13, 11, 08, 12, 08, 09 ]",10.17,Commoner,362
Dwarf: ,Female,61,125,50,Neutral Good,"[ 08, 06, 11, 08, 05, 08 ]",7.67,Commoner,344
Dwarf: ,Female,73,135,44,Chaotic Neutral,"[ 10, 11, 09, 10, 13, 10 ]",10.5,Commoner,335
Dwarf: ,Female,57,125,43,Lawful Neutral,"[ 07, 10, 10, 04, 09, 09 ]",8.17,Commoner,393
Dwarf: ,Male,70,154,52,Neutral Evil,"[ 11, 08, 08, 07, 07, 08 ]",8.17,Commoner,376
Halfling: ,Female,28,58,35,Lawful Neutral,"[ 13, 13, 15, 08, 17, 13 ]",13.17,Adventurer,149
Dwarf: ,Male,59,146,46,Neutral Evil,"[ 07, 10, 09, 05, 09, 15 ]",9.17,Commoner,317
Dwarf: ,Male,55,152,45,Chaotic Good,"[ 09, 07, 05, 13, 07, 09 ]",8.33,Commoner,387
Dwarf: ,Male,70,153,53,Lawful Evil,"[ 09, 11, 09, 07, 11, 08 ]",9.17,Commoner,315
Dwarf: ,Female,70,121,48,True Neutral,"[ 04, 11, 07, 10, 12, 11 ]",9.17,Commoner,316
Dwarf: ,Female,57,116,46,Chaotic Evil,"[ 07, 06, 05, 03, 07, 10 ]",6.33,Commoner,416
Dwarf: ,Female,58,121,46,Lawful Good,"[ 07, 10, 05, 09, 10, 07 ]",8.0,Commoner,297
Dwarf: ,Female,71,119,51,True Neutral,"[ 06, 07, 15, 11, 06, 13 ]",9.67,Commoner,374
Dwarf: ,Female,59,132,42,Chaotic Evil,"[ 10, 13, 08, 07, 06, 09 ]",8.83,Commoner,350
Dwarf: ,Male,79,152,49,Lawful Neutral,"[ 09, 10, 05, 10, 07, 08 ]",8.17,Commoner,374
