Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,71,127,47,True Neutral,"[ 07, 06, 10, 10, 09, 05 ]",7.83,Commoner,360
Dwarf: ,Male,56,150,49,Lawful Evil,"[ 09, 08, 10, 04, 10, 07 ]",8.0,Commoner,396
Dwarf: ,Female,67,121,49,Neutral Good,"[ 13, 07, 10, 09, 11, 07 ]",9.5,Commoner,357
Dwarf: ,Male,56,159,50,Lawful Good,"[ 09, 09, 11, 06, 09, 11 ]",9.17,Commoner,369
Dwarf: ,Female,76,124,49,Chaotic Evil,"[ 10, 04, 12, 06, 10, 08 ]",8.33,Commoner,322
Human: ,Female,18,146,67,Lawful Evil,"[ 09, 11, 10, 13, 11, 18 ]",12.0,Elite,116
Dwarf: ,Female,70,128,51,Lawful Neutral,"[ 07, 07, 12, 10, 11, 11 ]",9.67,Commoner,304
Human: ,Female,18,145,64,Lawful Good,"[ 09, 14, 10, 17, 10, 13 ]",12.17,Elite,123
Dwarf: ,Female,57,137,44,Neutral Good,"[ 08, 12, 11, 11, 14, 09 ]",10.83,Commoner,327
Dwarf: ,Male,70,156,49,Lawful Evil,"[ 09, 11, 10, 12, 14, 11 ]",11.17,Commoner,360
Dwarf: ,Male,65,158,44,Neutral Evil,"[ 08, 03, 08, 14, 13, 13 ]",9.83,Commoner,425
Dwarf: ,Female,70,127,49,Chaotic Evil,"[ 05, 06, 08, 07, 10, 10 ]",7.67,Commoner,277
Human: ,Female,16,129,71,Chaotic Good,"[ 08, 08, 18, 11, 18, 08 ]",11.83,Elite,116
Dwarf: ,Male,56,147,44,Lawful Good,"[ 08, 08, 11, 09, 10, 08 ]",9.0,Commoner,330
Dwarf: ,Female,73,129,45,Lawful Evil,"[ 09, 10, 08, 13, 05, 14 ]",9.83,Commoner,381
Dwarf: ,Male,77,155,44,Neutral Good,"[ 09, 11, 09, 10, 10, 09 ]",9.67,Commoner,366
Dwarf: ,Male,66,165,46,Lawful Neutral,"[ 14, 13, 08, 08, 07, 08 ]",9.67,Commoner,290
Dwarf: ,Female,70,124,45,Neutral Good,"[ 15, 09, 13, 10, 14, 15 ]",12.67,Elite,369
Dwarf: ,Male,63,145,53,Chaotic Neutral,"[ 04, 11, 06, 10, 08, 08 ]",7.83,Commoner,372
Dwarf: ,Male,72,150,51,Neutral Evil,"[ 11, 11, 09, 08, 07, 13 ]",9.83,Commoner,369
Dwarf: ,Male,75,158,50,Neutral Good,"[ 16, 11, 06, 11, 15, 09 ]",11.33,Elite,327
Dwarf: ,Female,61,126,47,Chaotic Neutral,"[ 06, 09, 12, 05, 05, 06 ]",7.17,Commoner,358
Dwarf: ,Male,70,162,53,Lawful Good,"[ 09, 11, 11, 10, 11, 11 ]",10.5,Commoner,290
