Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,73,127,48,Lawful Good,"[ 05, 12, 08, 11, 10, 10 ]",9.33,Commoner,310
Dwarf: ,Male,60,155,45,True Neutral,"[ 06, 07, 10, 09, 08, 07 ]",7.83,Commoner,360
Dwarf: ,Female,64,125,50,True Neutral,"[ 13, 06, 11, 11, 13, 11 ]",10.83,Commoner,384
Dwarf: ,Male,64,137,52,Chaotic Neutral,"[ 10, 12, 11, 05, 08, 15 ]",10.17,Commoner,303
Dwarf: ,Female,66,129,43,Chaotic Neutral,"[ 05, 06, 06, 12, 10, 07 ]",7.67,Commoner,301
Dwarf: ,Female,58,130,45,Chaotic Good,"[ 09, 07, 08, 05, 08, 11 ]",8.0,Commoner,330
Dwarf: ,Male,67,156,46,Neutral Good,"[ 07, 09, 10, 05, 10, 12 ]",8.83,Commoner,348
Dwarf: ,Male,72,151,52,Chaotic Good,"[ 09, 11, 11, 13, 07, 14 ]",10.83,Commoner,302
Half-Elf: ,Male,18,136,69,Neutral Evil,"[ 15, 17, 18, 11, 10, 13 ]",14.0,Adventurer,146
Human: ,Male,18,160,69,Chaotic Evil,"[ 03, 14, 14, 14, 12, 14 ]",11.83,Elite,101
Dwarf: ,Male,69,148,51,Neutral Good,"[ 10, 08, 07, 10, 03, 08 ]",7.67,Commoner,377
Dwarf: ,Female,78,123,49,Lawful Good,"[ 12, 11, 08, 04, 07, 04 ]",7.67,Commoner,379
Dwarf: ,Male,65,145,44,Chaotic Neutral,"[ 10, 10, 09, 04, 12, 08 ]",8.83,Commoner,410
Dwarf: ,Male,64,155,53,Chaotic Evil,"[ 11, 10, 11, 08, 08, 07 ]",9.17,Commoner,408
Dwarf: ,Male,62,155,44,Chaotic Neutral,"[ 10, 09, 09, 06, 10, 13 ]",9.5,Commoner,297
Dwarf: ,Female,78,129,50,Chaotic Good,"[ 12, 17, 09, 09, 07, 07 ]",10.17,Commoner,315
Dwarf: ,Female,71,130,43,Chaotic Good,"[ 04, 05, 11, 10, 17, 07 ]",9.0,Commoner,327
Dwarf: ,Male,71,158,50,Chaotic Evil,"[ 07, 06, 09, 08, 11, 09 ]",8.33,Commoner,445
Gnome: ,Female,70,80,40,Chaotic Neutral,"[ 14, 09, 18, 05, 15, 16 ]",12.83,Adventurer,377
Dwarf: ,Female,68,133,46,True Neutral,"[ 08, 10, 10, 12, 13, 07 ]",10.0,Commoner,359
Dwarf: ,Male,74,156,44,Chaotic Evil,"[ 10, 04, 11, 08, 09, 09 ]",8.5,Commoner,308
Dwarf: ,Female,74,122,46,Neutral Good,"[ 05, 11, 11, 07, 07, 07 ]",8.0,Commoner,350
Dwarf: ,Female,66,114,51,Lawful Good,"[ 09, 10, 09, 08, 13, 10 ]",9.83,Commoner,336
Dwarf: ,Male,74,145,51,Chaotic Evil,"[ 08, 06, 10, 06, 09, 05 ]",7.33,Commoner,391
Half-Elf: ,Female,18,103,66,Chaotic Evil,"[ 10, 18, 17, 14, 04, 08 ]",11.83,Elite,147
Dwarf: ,Female,68,129,50,Chaotic Evil,"[ 11, 10, 10, 07, 11, 12 ]",10.17,Commoner,350
Dwarf: ,Male,78,151,48,Neutral Evil,"[ 08, 06, 15, 07, 08, 14 ]",9.67,Commoner,347
Dwarf: ,Male,64,155,53,True Neutral,"[ 08, 08, 11, 09, 07, 10 ]",8.83,Commoner,309
Dwarf: ,Female,70,122,44,Chaotic Evil,"[ 14, 12, 07, 12, 11, 12 ]",11.33,Elite,367
Dwarf: ,Male,75,150,50,Chaotic Good,"[ 07, 09, 07, 07, 08, 11 ]",8.17,Commoner,278
Dwarf: ,Male,69,151,45,Chaotic Neutral,"[ 09, 06, 08, 10, 11, 08 ]",8.67,Commoner,347
Dwarf: ,Male,72,155,53,Chaotic Evil,"[ 11, 06, 15, 08, 11, 08 ]",9.83,Commoner,350
Dwarf: ,Female,83,128,51,True Neutral,"[ 13, 11, 14, 05, 13, 11 ]",11.17,Commoner,264
Dwarf: ,Female,57,126,43,Neutral Good,"[ 10, 06, 12, 08, 14, 06 ]",9.33,Commoner,310
Dwarf: ,Female,62,135,47,Chaotic Good,"[ 08, 08, 08, 07, 09, 13 ]",8.83,Commoner,343
Dwarf: ,Female,77,126,50,Chaotic Good,"[ 09, 08, 09, 06, 06, 05 ]",7.17,Commoner,384
Dwarf: ,Male,71,142,50,Neutral Evil,"[ 10, 15, 10, 10, 09, 09 ]",10.5,Commoner,368
Dwarf: ,Male,66,164,49,Chaotic Good,"[ 08, 05, 09, 15, 04, 06 ]",7.83,Commoner,422
Dwarf: ,Female,72,129,48,Chaotic Good,"[ 09, 08, 12, 06, 13, 06 ]",9.0,Commoner,323
Dwarf: ,Female,86,124,47,Lawful Evil,"[ 11, 13, 08, 08, 10, 10 ]",10.0,Commoner,263
Dwarf: ,Male,73,158,52,Lawful Good,"[ 11, 11, 10, 07, 09, 12 ]",10.0,Commoner,389
Dwarf: ,Male,64,148,45,Lawful Neutral,"[ 08, 14, 10, 13, 12, 08 ]",10.83,Commoner,315
Dwarf: ,Male,78,148,51,True Neutral,"[ 10, 12, 12, 06, 12, 13 ]",10.83,Commoner,307
Dwarf: ,Male,72,139,50,Lawful Neutral,"[ 09, 13, 12, 07, 09, 06 ]",9.33,Commoner,413
Dwarf: ,Male,64,152,46,True Neutral,"[ 09, 12, 12, 09, 09, 09 ]",10.0,Commoner,355
Dwarf: ,Male,71,159,45,Neutral Evil,"[ 12, 08, 07, 09, 08, 09 ]",8.83,Commoner,260
Dwarf: ,Female,73,126,47,Lawful Evil,"[ 08, 08, 09, 06, 09, 08 ]",8.0,Commoner,350
Dwarf: ,Male,70,150,52,Neutral Evil,"[ 06, 10, 11, 10, 09, 06 ]",8.67,Commoner,396
Dwarf: ,Female,62,131,44,Lawful Neutral,"[ 09, 10, 08, 05, 11, 04 ]",7.83,Commoner,368
Dwarf: ,Male,73,142,48,Chaotic Good,"[ 10, 08, 08, 06, 04, 07 ]",7.17,Commoner,289
Dwarf: ,Female,58,127,44,Chaotic Evil,"[ 12, 10, 07, 13, 11, 05 ]",9.67,Commoner,381
Dwarf: ,Male,68,147,47,Lawful Neutral,"[ 09, 11, 08, 10, 09, 10 ]",9.5,Commoner,355
Dwarf: ,Male,57,153,51,Neutral Evil,"[ 09, 12, 08, 15, 10, 14 ]",11.33,Elite,341
Dwarf: ,Male,65,146,47,Chaotic Neutral,"[ 09, 13, 06, 11, 08, 12 ]",9.83,Commoner,355
Dwarf: ,Female,69,139,43,Neutral Good,"[ 07, 14, 06, 14, 10, 05 ]",9.33,Commoner,277
Dwarf: ,Male,61,138,47,Chaotic Evil,"[ 06, 06, 08, 08, 09, 13 ]",8.33,Commoner,349
