Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,82,148,52,Lawful Good,"[ 08, 07, 12, 09, 13, 07 ]",9.33,Commoner,373
Halfling: ,Female,29,62,40,Lawful Good,"[ 18, 09, 10, 12, 17, 12 ]",13.0,Adventurer,175
Dwarf: ,Female,61,128,49,Neutral Evil,"[ 16, 09, 08, 08, 15, 11 ]",11.17,Commoner,356
Dwarf: ,Female,74,123,44,True Neutral,"[ 10, 08, 11, 11, 10, 07 ]",9.5,Commoner,439
Dwarf: ,Male,70,157,53,Chaotic Neutral,"[ 10, 12, 07, 12, 07, 10 ]",9.67,Commoner,364
Dwarf: ,Male,70,156,53,Lawful Neutral,"[ 06, 04, 08, 03, 10, 10 ]",6.83,Commoner,333
Dwarf: ,Male,78,159,48,Lawful Evil,"[ 11, 09, 09, 10, 11, 11 ]",10.17,Commoner,281
Gnome: ,Male,88,81,43,Chaotic Good,"[ 13, 04, 17, 17, 08, 11 ]",11.67,Elite,332
Dwarf: ,Male,67,155,49,True Neutral,"[ 10, 05, 07, 13, 04, 10 ]",8.17,Commoner,368
Dwarf: ,Female,72,116,45,Lawful Good,"[ 15, 07, 06, 10, 05, 06 ]",8.17,Commoner,315
Dwarf: ,Female,59,119,51,Lawful Evil,"[ 07, 08, 11, 13, 08, 10 ]",9.5,Commoner,277
Dwarf: ,Male,70,158,45,Chaotic Evil,"[ 12, 05, 10, 15, 09, 14 ]",10.83,Commoner,364
Dwarf: ,Male,76,153,44,True Neutral,"[ 08, 06, 06, 12, 12, 04 ]",8.0,Commoner,370
Dwarf: ,Female,72,133,48,Neutral Evil,"[ 12, 10, 05, 08, 08, 06 ]",8.17,Commoner,404
Dwarf: ,Male,63,150,48,Chaotic Good,"[ 09, 13, 07, 09, 11, 13 ]",10.33,Commoner,426
Dwarf: ,Female,78,120,46,Lawful Evil,"[ 13, 11, 14, 12, 11, 05 ]",11.0,Commoner,422
Dwarf: ,Female,69,122,50,Lawful Evil,"[ 12, 10, 12, 07, 10, 15 ]",11.0,Commoner,387
Human: ,Male,19,183,64,Chaotic Good,"[ 08, 10, 17, 14, 12, 11 ]",12.0,Elite,112
Dwarf: ,Male,69,146,50,True Neutral,"[ 10, 11, 11, 08, 08, 12 ]",10.0,Commoner,313
Dwarf: ,Female,50,124,47,Chaotic Good,"[ 09, 10, 09, 05, 11, 07 ]",8.5,Commoner,383
Dwarf: ,Female,61,132,42,Chaotic Good,"[ 08, 12, 09, 08, 11, 09 ]",9.5,Commoner,427
Dwarf: ,Female,63,129,43,True Neutral,"[ 08, 07, 10, 05, 08, 09 ]",7.83,Commoner,343
Dwarf: ,Male,65,154,52,Lawful Evil,"[ 10, 06, 10, 06, 10, 11 ]",8.83,Commoner,359
Dwarf: ,Female,57,125,51,Lawful Good,"[ 13, 06, 09, 10, 10, 07 ]",9.17,Commoner,283
Dwarf: ,Female,64,136,47,Neutral Evil,"[ 05, 10, 08, 10, 09, 08 ]",8.33,Commoner,341
Dwarf: ,Female,75,126,46,Neutral Evil,"[ 07, 12, 08, 08, 06, 10 ]",8.5,Commoner,375
Dwarf: ,Female,70,128,49,Lawful Good,"[ 11, 14, 08, 08, 04, 08 ]",8.83,Commoner,390
Dwarf: ,Male,76,153,51,Chaotic Neutral,"[ 08, 06, 07, 10, 07, 12 ]",8.33,Commoner,272
Dwarf: ,Female,60,136,50,Neutral Evil,"[ 11, 08, 18, 18, 08, 08 ]",11.83,Elite,356
Dwarf: ,Male,70,141,50,Lawful Good,"[ 07, 10, 06, 10, 09, 08 ]",8.33,Commoner,312
Dwarf: ,Male,72,158,47,Lawful Neutral,"[ 10, 08, 07, 09, 07, 11 ]",8.67,Commoner,290
Dwarf: ,Male,73,157,48,Neutral Evil,"[ 07, 08, 10, 08, 05, 06 ]",7.33,Commoner,325
Dwarf: ,Male,62,156,46,Neutral Evil,"[ 08, 05, 13, 09, 11, 05 ]",8.5,Commoner,283
Dwarf: ,Female,80,131,50,Chaotic Neutral,"[ 07, 09, 14, 06, 06, 09 ]",8.5,Commoner,281
Dwarf: ,Male,66,159,49,Lawful Neutral,"[ 11, 09, 07, 09, 06, 09 ]",8.5,Commoner,393
Dwarf: ,Male,76,143,50,Lawful Neutral,"[ 09, 05, 11, 09, 09, 08 ]",8.5,Commoner,321
Dwarf: ,Female,59,131,49,True Neutral,"[ 12, 08, 08, 12, 07, 07 ]",9.0,Commoner,341
Dwarf: ,Female,63,143,47,Lawful Good,"[ 11, 06, 07, 07, 11, 05 ]",7.83,Commoner,397
Dwarf: ,Female,69,137,42,Lawful Neutral,"[ 07, 09, 08, 09, 11, 12 ]",9.33,Commoner,365
Dwarf: ,Male,62,151,45,Neutral Evil,"[ 06, 07, 07, 08, 09, 04 ]",6.83,Commoner,401
Dwarf: ,Male,72,152,45,Lawful Good,"[ 05, 08, 08, 08, 12, 09 ]",8.33,Commoner,406
Halfling: ,Male,28,65,34,Lawful Good,"[ 10, 11, 11, 13, 12, 14 ]",11.83,Elite,169
Human: ,Male,18,167,67,Lawful Good,"[ 14, 12, 10, 14, 14, 11 ]",12.5,Elite,114
Dwarf: ,Female,65,117,49,Neutral Evil,"[ 14, 10, 10, 10, 06, 06 ]",9.33,Commoner,282
Dwarf: ,Female,70,127,50,Chaotic Good,"[ 08, 09, 09, 09, 09, 04 ]",8.0,Commoner,316
Dwarf: ,Male,73,140,51,Chaotic Evil,"[ 10, 09, 12, 13, 09, 13 ]",11.0,Commoner,300
Dwarf: ,Male,76,154,48,Neutral Good,"[ 09, 10, 09, 07, 12, 10 ]",9.5,Commoner,302
Dwarf: ,Male,57,155,44,Neutral Evil,"[ 10, 12, 09, 12, 04, 10 ]",9.5,Commoner,330
Dwarf: ,Female,66,128,42,Neutral Good,"[ 11, 03, 12, 08, 08, 04 ]",7.67,Commoner,347
Dwarf: ,Female,63,120,42,Chaotic Good,"[ 10, 09, 08, 05, 12, 09 ]",8.83,Commoner,302
Dwarf: ,Female,72,126,49,Neutral Evil,"[ 10, 04, 10, 10, 11, 09 ]",9.0,Commoner,335
