Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,59,130,44,Chaotic Good,"[ 13, 08, 09, 05, 11, 10 ]",9.33,Commoner,254
Dwarf: ,Male,75,149,51,Chaotic Evil,"[ 10, 11, 10, 08, 10, 14 ]",10.5,Commoner,338
Dwarf: ,Female,67,112,44,Lawful Evil,"[ 11, 08, 11, 08, 06, 08 ]",8.67,Commoner,369
Dwarf: ,Male,68,162,52,Chaotic Good,"[ 15, 10, 09, 06, 07, 11 ]",9.67,Commoner,259
Dwarf: ,Male,74,146,47,Lawful Evil,"[ 09, 10, 11, 07, 10, 11 ]",9.67,Commoner,382
Dwarf: ,Female,67,116,48,Chaotic Good,"[ 10, 12, 10, 09, 12, 11 ]",10.67,Commoner,352
Dwarf: ,Female,72,135,43,True Neutral,"[ 10, 12, 13, 12, 13, 11 ]",11.83,Elite,356
Dwarf: ,Female,56,130,50,Neutral Good,"[ 10, 11, 07, 09, 09, 10 ]",9.33,Commoner,332
Dwarf: ,Male,79,151,52,Chaotic Good,"[ 08, 12, 11, 08, 05, 10 ]",9.0,Commoner,385
Dwarf: ,Female,68,126,46,Chaotic Good,"[ 08, 10, 07, 07, 06, 10 ]",8.0,Commoner,352
Dwarf: ,Male,67,145,47,Neutral Evil,"[ 08, 13, 12, 07, 15, 04 ]",9.83,Commoner,363
Dwarf: ,Female,64,123,50,Neutral Good,"[ 11, 04, 12, 06, 11, 09 ]",8.83,Commoner,266
Dwarf: ,Female,71,125,51,Chaotic Evil,"[ 08, 07, 08, 08, 09, 08 ]",8.0,Commoner,310
Dwarf: ,Female,62,132,46,Neutral Evil,"[ 10, 09, 06, 07, 10, 10 ]",8.67,Commoner,351
Dwarf: ,Male,73,150,47,Lawful Neutral,"[ 11, 09, 07, 14, 11, 12 ]",10.67,Commoner,355
Dwarf: ,Male,64,154,45,Lawful Evil,"[ 08, 08, 10, 10, 06, 12 ]",9.0,Commoner,363
Dwarf: ,Male,70,156,52,Lawful Neutral,"[ 06, 07, 06, 13, 10, 15 ]",9.5,Commoner,350
Dwarf: ,Female,65,128,44,Lawful Good,"[ 10, 15, 11, 06, 07, 12 ]",10.17,Commoner,324
Dwarf: ,Male,70,141,48,Chaotic Good,"[ 06, 13, 09, 13, 09, 06 ]",9.33,Commoner,392
Dwarf: ,Male,69,150,51,Lawful Evil,"[ 08, 12, 09, 15, 07, 11 ]",10.33,Commoner,313
Dwarf: ,Female,74,132,44,Chaotic Good,"[ 05, 12, 12, 10, 09, 05 ]",8.83,Commoner,379
Dwarf: ,Male,71,149,53,Neutral Evil,"[ 07, 10, 07, 13, 10, 07 ]",9.0,Commoner,358
Dwarf: ,Female,58,122,45,Lawful Good,"[ 11, 10, 14, 09, 11, 12 ]",11.17,Commoner,344
Dwarf: ,Female,69,130,50,True Neutral,"[ 09, 10, 06, 11, 05, 07 ]",8.0,Commoner,375
Dwarf: ,Female,76,123,46,Chaotic Good,"[ 10, 08, 09, 08, 07, 10 ]",8.67,Commoner,348
Dwarf: ,Male,70,151,46,Lawful Neutral,"[ 11, 11, 13, 09, 15, 09 ]",11.33,Elite,372
Dwarf: ,Female,66,139,48,Neutral Evil,"[ 09, 08, 06, 07, 09, 12 ]",8.5,Commoner,295
Dwarf: ,Female,61,120,51,True Neutral,"[ 11, 09, 15, 03, 09, 05 ]",8.67,Commoner,348
Dwarf: ,Female,70,130,48,Lawful Neutral,"[ 08, 08, 09, 08, 09, 07 ]",8.17,Commoner,283
Dwarf: ,Female,67,131,48,Lawful Good,"[ 10, 10, 10, 08, 04, 08 ]",8.33,Commoner,335
Dwarf: ,Male,74,142,49,True Neutral,"[ 06, 11, 04, 10, 07, 07 ]",7.5,Commoner,344
Dwarf: ,Female,74,126,44,Neutral Good,"[ 13, 05, 10, 06, 09, 14 ]",9.5,Commoner,274
Dwarf: ,Female,71,134,51,Lawful Neutral,"[ 09, 12, 11, 09, 06, 10 ]",9.5,Commoner,372
Dwarf: ,Female,73,128,50,Lawful Good,"[ 08, 04, 05, 10, 12, 12 ]",8.5,Commoner,344
Dwarf: ,Female,71,122,45,Chaotic Neutral,"[ 08, 10, 10, 12, 07, 05 ]",8.67,Commoner,314
Dwarf: ,Male,62,157,50,Lawful Neutral,"[ 14, 10, 10, 10, 08, 10 ]",10.33,Commoner,354
Dwarf: ,Female,68,131,48,Chaotic Neutral,"[ 10, 07, 08, 13, 07, 09 ]",9.0,Commoner,341
Dwarf: ,Female,73,121,42,Lawful Neutral,"[ 07, 08, 13, 12, 11, 09 ]",10.0,Commoner,407
Dwarf: ,Female,68,138,50,Lawful Neutral,"[ 12, 08, 10, 06, 12, 10 ]",9.67,Commoner,302
Dwarf: ,Female,74,118,44,Neutral Good,"[ 06, 14, 04, 10, 10, 14 ]",9.67,Commoner,408
Dwarf: ,Male,74,161,52,True Neutral,"[ 08, 05, 09, 09, 08, 08 ]",7.83,Commoner,378
Dwarf: ,Female,70,129,46,Lawful Good,"[ 08, 10, 07, 13, 11, 10 ]",9.83,Commoner,352
Dwarf: ,Female,62,135,44,True Neutral,"[ 08, 05, 07, 15, 09, 11 ]",9.17,Commoner,327
Dwarf: ,Male,68,152,51,Chaotic Good,"[ 08, 13, 11, 09, 13, 10 ]",10.67,Commoner,297
Dwarf: ,Male,72,157,52,Neutral Good,"[ 08, 11, 11, 05, 12, 08 ]",9.17,Commoner,418
Dwarf: ,Male,68,149,44,Chaotic Evil,"[ 04, 09, 06, 06, 10, 10 ]",7.5,Commoner,407
Dwarf: ,Female,68,137,42,Lawful Good,"[ 08, 13, 07, 09, 06, 03 ]",7.67,Commoner,359
Dwarf: ,Female,69,137,47,Lawful Good,"[ 08, 06, 12, 11, 09, 12 ]",9.67,Commoner,338
Dwarf: ,Female,72,126,45,Neutral Evil,"[ 09, 08, 11, 05, 09, 13 ]",9.17,Commoner,340
Dwarf: ,Male,70,158,44,Lawful Neutral,"[ 08, 08, 07, 07, 09, 08 ]",7.83,Commoner,296
Dwarf: ,Female,68,130,51,Chaotic Neutral,"[ 13, 09, 10, 04, 08, 07 ]",8.5,Commoner,355
Dwarf: ,Male,75,148,53,True Neutral,"[ 10, 06, 06, 12, 12, 12 ]",9.67,Commoner,357
Dwarf: ,Female,67,126,50,Lawful Neutral,"[ 07, 12, 09, 08, 09, 09 ]",9.0,Commoner,360
Dwarf: ,Female,62,124,44,Lawful Neutral,"[ 06, 09, 10, 09, 09, 09 ]",8.67,Commoner,405
Dwarf: ,Female,76,117,43,Chaotic Neutral,"[ 06, 16, 10, 05, 17, 06 ]",10.0,Commoner,348
Dwarf: ,Female,62,129,49,Lawful Good,"[ 09, 07, 14, 12, 10, 09 ]",10.17,Commoner,278
Dwarf: ,Female,71,127,51,Lawful Neutral,"[ 08, 10, 09, 08, 13, 11 ]",9.83,Commoner,362
Dwarf: ,Male,70,149,53,True Neutral,"[ 09, 07, 09, 10, 10, 10 ]",9.17,Commoner,349
Dwarf: ,Male,65,155,51,True Neutral,"[ 08, 08, 03, 06, 12, 11 ]",8.0,Commoner,358
Dwarf: ,Female,72,126,47,Lawful Evil,"[ 11, 12, 06, 09, 11, 06 ]",9.17,Commoner,322
Dwarf: ,Female,67,128,45,Lawful Neutral,"[ 18, 05, 06, 04, 04, 12 ]",8.17,Commoner,316
Dwarf: ,Female,62,127,48,Chaotic Good,"[ 07, 14, 09, 13, 09, 08 ]",10.0,Commoner,331
Dwarf: ,Female,66,128,50,Chaotic Evil,"[ 10, 09, 09, 12, 05, 04 ]",8.17,Commoner,328
Dwarf: ,Male,64,146,44,Lawful Neutral,"[ 04, 12, 09, 10, 12, 08 ]",9.17,Commoner,309
Dwarf: ,Female,62,124,43,Chaotic Neutral,"[ 08, 06, 13, 09, 09, 07 ]",8.67,Commoner,404
Dwarf: ,Male,66,150,52,Chaotic Good,"[ 05, 12, 10, 07, 10, 11 ]",9.17,Commoner,299
Dwarf: ,Female,73,135,46,Lawful Evil,"[ 07, 12, 14, 11, 11, 09 ]",10.67,Commoner,294
Dwarf: ,Female,60,124,48,Chaotic Neutral,"[ 09, 09, 07, 14, 08, 13 ]",10.0,Commoner,385
Dwarf: ,Female,68,131,43,Lawful Neutral,"[ 14, 14, 08, 06, 13, 08 ]",10.5,Commoner,391
Dwarf: ,Female,85,129,43,Lawful Evil,"[ 16, 10, 11, 07, 16, 07 ]",11.17,Commoner,297
Dwarf: ,Male,65,145,50,True Neutral,"[ 10, 13, 10, 08, 11, 13 ]",10.83,Commoner,291
Dwarf: ,Male,71,150,52,Lawful Evil,"[ 12, 05, 11, 09, 14, 12 ]",10.5,Commoner,348
Dwarf: ,Male,69,157,48,Chaotic Evil,"[ 10, 08, 11, 14, 05, 05 ]",8.83,Commoner,254
Dwarf: ,Male,61,160,48,Lawful Good,"[ 08, 05, 08, 08, 05, 07 ]",6.83,Commoner,410
Dwarf: ,Female,66,130,50,Chaotic Good,"[ 06, 08, 11, 06, 10, 11 ]",8.67,Commoner,387
Dwarf: ,Female,65,124,49,True Neutral,"[ 07, 08, 09, 07, 03, 06 ]",6.67,Commoner,293
Dwarf: ,Male,67,156,49,Neutral Evil,"[ 10, 11, 07, 10, 07, 14 ]",9.83,Commoner,388
Dwarf: ,Female,67,129,46,Chaotic Good,"[ 09, 12, 13, 07, 09, 11 ]",10.17,Commoner,387
Half-Elf: ,Male,21,134,68,Chaotic Evil,"[ 11, 13, 08, 16, 13, 12 ]",12.17,Elite,168
Dwarf: ,Female,82,127,46,Lawful Evil,"[ 09, 06, 09, 07, 09, 09 ]",8.17,Commoner,401
Dwarf: ,Male,87,164,49,Chaotic Neutral,"[ 08, 14, 10, 08, 06, 14 ]",10.0,Commoner,302
Dwarf: ,Male,71,157,48,Neutral Evil,"[ 07, 04, 12, 10, 09, 12 ]",9.0,Commoner,424
Dwarf: ,Female,65,135,44,Chaotic Evil,"[ 13, 10, 08, 10, 07, 09 ]",9.5,Commoner,348
Dwarf: ,Male,77,145,48,Neutral Evil,"[ 09, 09, 11, 07, 11, 10 ]",9.5,Commoner,351
Dwarf: ,Female,66,128,49,Chaotic Evil,"[ 09, 07, 11, 07, 08, 06 ]",8.0,Commoner,359
Elf: ,Female,124,92,57,Chaotic Evil,"[ 15, 11, 14, 14, 12, 13 ]",13.17,Adventurer,639
Dwarf: ,Male,70,143,44,Lawful Evil,"[ 07, 10, 08, 09, 10, 09 ]",8.83,Commoner,329
