Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,73,125,51,Neutral Good,"[ 08, 15, 09, 08, 10, 11 ]",10.17,Commoner,329
Dwarf: ,Female,70,134,47,Lawful Good,"[ 14, 09, 12, 05, 11, 11 ]",10.33,Commoner,421
Dwarf: ,Female,76,129,45,Chaotic Evil,"[ 10, 08, 11, 13, 10, 07 ]",9.83,Commoner,383
Dwarf: ,Female,62,139,48,Chaotic Neutral,"[ 11, 08, 06, 03, 09, 07 ]",7.33,Commoner,400
Dwarf: ,Female,73,113,48,Chaotic Neutral,"[ 14, 10, 10, 09, 05, 12 ]",10.0,Commoner,270
Dwarf: ,Male,65,158,44,Chaotic Neutral,"[ 12, 10, 06, 05, 10, 10 ]",8.83,Commoner,390
Dwarf: ,Male,69,144,49,Neutral Good,"[ 08, 06, 08, 09, 08, 08 ]",7.83,Commoner,361
Dwarf: ,Female,60,120,49,Chaotic Evil,"[ 11, 04, 16, 08, 10, 08 ]",9.5,Commoner,281
Dwarf: ,Female,72,121,42,Lawful Neutral,"[ 08, 07, 08, 12, 05, 06 ]",7.67,Commoner,293
Dwarf: ,Female,79,130,50,Lawful Evil,"[ 14, 10, 08, 12, 09, 14 ]",11.17,Commoner,350
Dwarf: ,Male,59,146,53,Neutral Evil,"[ 09, 09, 10, 07, 13, 05 ]",8.83,Commoner,361
